N_unmapped	10610355	10610355	10610355
N_multimapping	5934688	5934688	5934688
N_noFeature	13712099	29532264	29391210
N_ambiguous	2368332	285363	290267
maker-Mar.3.4.6.p1_scaffold10-snap-gene-1.0-mRNA-1	148	79	69
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-1.4-mRNA-1	5	63	75
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-1.7-mRNA-1	12	9	3
maker-Mar.3.4.6.p1_scaffold10-snap-gene-0.9-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-0.11-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-0.14-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-3.6-mRNA-1	486	317	345
maker-Mar.3.4.6.p1_scaffold10-snap-gene-3.15-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-3.12-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-2.2-mRNA-1	208	87	121
maker-Mar.3.4.6.p1_scaffold10-snap-gene-2.6-mRNA-1	143	146	130
maker-Mar.3.4.6.p1_scaffold10-snap-gene-2.9-mRNA-1	29	15	14
maker-Mar.3.4.6.p1_scaffold10-snap-gene-2.16-mRNA-1	253	130	123
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-2.24-mRNA-1	3	88	91
maker-Mar.3.4.6.p1_scaffold10-snap-gene-2.18-mRNA-1	0	0	0
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-4.6-mRNA-1	0	0	0
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-4.9-mRNA-1	2230	1172	1058
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-4.10-mRNA-1	75	39	36
maker-Mar.3.4.6.p1_scaffold10-snap-gene-4.17-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-5.6-mRNA-1	571	239	332
maker-Mar.3.4.6.p1_scaffold10-snap-gene-5.12-mRNA-1	476	234	242
maker-Mar.3.4.6.p1_scaffold10-snap-gene-6.0-mRNA-1	209	97	114
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-6.17-mRNA-1	60	26	34
maker-Mar.3.4.6.p1_scaffold10-snap-gene-6.4-mRNA-1	357	198	159
maker-Mar.3.4.6.p1_scaffold10-snap-gene-6.7-mRNA-1	81	40	41
maker-Mar.3.4.6.p1_scaffold10-snap-gene-6.8-mRNA-1	84	43	43
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-7.27-mRNA-1	60	95	114
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-7.32-mRNA-1	269	225	220
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-7.33-mRNA-1	0	5	3
maker-Mar.3.4.6.p1_scaffold10-snap-gene-7.2-mRNA-1	14	6	8
maker-Mar.3.4.6.p1_scaffold10-snap-gene-7.0-mRNA-1	4	3	1
maker-Mar.3.4.6.p1_scaffold10-snap-gene-7.13-mRNA-1	65	100	125
