Disease 	Genetic defect	Inheritance	GOF/DN	OMIM	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	Associated features	Major category	Subcategory	ICD9	ICD10	HPO (table)	HPO (subtable)	HPO	HPO
Chromosome 11q deletion syndrome (Jacobsen syndrome)	11q23del	AD 		147791	Variably low	Decreased numbers of B cells and switched memory B cells	Variably low	Normal		"Recurrent respiratory infections, multiple warts, facial dysmorphism, growth retardation"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 3 Thymic Defects with Additional Congenital Anomalies	279.2	D81.9	HP:0002715	HP:0005403	HP:0012759	
Ig heavy chain mutations and deletions	14q32 deletion or mutation	AR			Normal	Normal	Low			May be asymptomatic	Table 3 Predominantly Antibody Deficiencies	"Subtable 4 Isotype, Light Chain, or Functional Deficiencies with Generally Normal Numbers of B Cells"	279	D80.3	HP:0002715	HP:0010701		
DKCA6	ACD	AD		616553	normal to low	Normal to low			Hematopoietic stem cell	"Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation; microcephaly, neurodevelopmental delay"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528	HP:0002745	
DKCA6	ACD	AR		616553	normal to low	Normal to low			Hematopoietic stem cell	"Bone marrow failure, pulmonary and hepatic fibrosis, nail dystrophy, leukoplakia, reticulate skin pigmentation; microcephaly, neurodevelopmental delay"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528	HP:0002745	
Spondyloenchondro-dysplasia with immune dysregulation (SPENCD)	ACP5	AR		171640						"Short stature, SP, ICC, SLE, thrombocytopenia and autoimmune hemolytic anemia, possibly recurrent bacterial and viral infections "	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
b actin deficiency	ACTB	AD		102630						"Mental retardation, short stature"	Table 5 Congenital defects of phagocyte number or function	Subtable 2 Defects of Motility	288.2	D71	HP:0002715	HP:0004322		
Adenosine deaminase (ADA) deficiency	ADA	AR		608958	Very low	"Low, decreasing"	Low	Normal	Low NK	"Low NK, bone defects, may have pulmonary alveolar proteinosis, cognitive defects"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.3	HP:0002715	HP:0005403		
ADA2 deficiency	ADA2	AR		607575						"Polyarteritis nodosa, childhood-onset, early-onset recurrent ischemic stroke and fever"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002715	HP:0002633	HP:0001297	
ADAM17 deficiency	ADAM17 	AR		614328	Normal 	Normal	Normal	Normal	Leukocytes and epithelial cells	Early onset diarrhea and skin lesions	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	 HP:0004387		
"ADAR1 deficiency, AGS6"	ADAR1	AR		146920	Normal 	Normal	Normal	Normal		"Classical AGS, BSN, SP"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
AID deficiency	AICDA 	AR		605257			Low IgG and IgA with normal or high IgM			"Bacterial infections, enlarged lymph nodes and germinal centers"	Table 3 Predominantly Antibody Deficiencies	"Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM"	279.05	D80.5	HP:0002715	HP:0004313		
AID deficiency	AICDA 	AD 		605257*		Normal	Low IgG and IgA with normal or high IgM			"Bacterial infections, enlarged lymph nodes and germinal centers"	Table 3 Predominantly Antibody Deficiencies	"Subtable 3 Severe Reduction in Serum IgG and IgA with Normal/Elevated IgM and Normal Numbers of B cells, Hyper IgM"	279.05	D80.5	HP:0002715	HP:0004313		
"APECED (APS-1),  autoimmune polyendocrinopathy with candidiasis and ectodermal dystrophy"	AIRE	AR 		607358	Normal	Normal	Normal	Normal		"Autoimmunity: hypoparathyroidism hypothyroidism, adrenal insufficiency, diabetes, gonadal dysfunction and other endocrine abnormalities, chronic mucocutaneous candidiasis, dental enamel hypoplasia, alopecia areata enteropathy, pernicious anemia"	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
"APECED (APS-1),  autoimmune polyendocrinopathy with candidiasis and ectodermal dystrophy"	AIRE	AD 		607358	Normal	Normal	Normal	Normal		"Autoimmunity: hypoparathyroidism hypothyroidism, adrenal insufficiency, diabetes, gonadal dysfunction and other endocrine abnormalities, chronic mucocutaneous candidiasis, dental enamel hypoplasia, alopecia areata enteropathy, pernicious anemia"	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
Reticular dysgenesis	AK2	AR		103020	Very low	Nl to low	Low	Low		Deafness	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 2 T-B- SCID	279.2	D81.0	HP:0002715	HP:0005403		
"Retinal dystrophy, optic nerve oedema, splenomegaly, anhidrosis, and headache (ROSAH)"	ALPK1	AD		614979						"Retinal dystrophy, optic nerve edema, splenomegaly, anhidrosis, and migraine headache, fever, arthritis, colitis, dental abnormalities"	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	 HP:0004387		
ALPI deficiency	ALPI	AR		171740	Normal 	Normal	Normal	Normal	Intestinal epithelial cells	Inflammatory bowel disease	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	558.9	K52.3	HP:0002721	HP:0002037		
AP1S3 deficiency	AP1S3	AR		615781	Normal 	Normal	Normal	Normal	Keratinocytes	Pustular psoriasis	Table 7 Autoinflammatory Disorders	Subtable 3 Non-Inflammasome Related Conditions	710.8	M04.8	HP:0002721	HP:0003765		
"Hermansky-Pudlak syndrome, type 2"	AP3B1 	AR		603401	Normal	Normal		Low		"Partial albinism, recurrent infections, pulmonary fibrosis, increased bleeding, HLH"	Table 4 Diseases of Immune Dysregulation	Subtable 2 FHL Syndromes with Hypopigmentation	288.4	D76.1	HP:0002715	HP:0012156	HP:0005599	
"Hermansky-Pudlak syndrome, type 10"	AP3D1	AR		617050	Normal	Normal		Low		"Oculocutaneous albinism, recurrent infections, seizures, hearing loss and neurodevelopmental delay"	Table 4 Diseases of Immune Dysregulation	Subtable 2 FHL Syndromes with Hypopigmentation	288.4	D76.1	HP:0002715	HP:0012156	HP:0005599	
Trypanosomiasis susceptibility	APOL1	AD		603743	Normal 	Normal	Normal	Normal		Trypanosomiasis	Table 6 Defects in intrinsic and innate immunity	Subtable 8 Other Inborn Errors of Immunity Related to Non-Hematopoietic Tissues	279.9	D89.9	HP:0002715	HP:0011002		
ARHGEF1 deficiency	ARHGEF1	AR		618459			Low			"Recurrent infections, bronchiectasis"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.04	D80.0	HP:0002715	HP:0004313		
ARPC1B deficiency	ARPC1B	AR		604223	Normal	Normal Numbers	High IgE			"Mild thrombocytopenia with normal sized platelets, recurrent invasive infections, colitis, vasculitis, autoantibodies (ANA, ANCA), eosinophilia, defective Arp2/3, filament branching"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 1 Immunodeficiency with Congenital Thrombocytopenia	279.2	D81.9	HP:0002715	HP:0005403		
ARPC5 deficiency	ARPC5	AR		620565	Low-normal CD4	increased	Normal		"Increased NKT cells, neutrophils"	"Severe infections, autoimmunity, some dysmorphic features"	Table 4 Diseases of Immune Dysregulation	Subtable 4 Autoimmunity with or without Lymphoproliferation	279.9	D81.8	HP:0002715	HP:0002960		
ATAD3A deficiency	ATAD3A	AD								"Predominantly neuro defects (development delay, spasticity), elevated ISG expression, increased serum type 1 IFNs"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
ATAD3A deficiency	ATAD3A	AR								"Predominantly neuro defects (development delay, spasticity), elevated ISG expression, increased serum type 1 IFNs"	Table 7 Autoinflammatory Disorders	Subtable 1 Type 1 Interferonopathies	279.9	D89.9	HP:0002721	HP:0002514		
ATG4A 	ATG4A 	AD 				Normal 	Normal	Normal		Mollaret's meningitis HSV2	Table 6 Defects in intrinsic and innate immunity	Subtable 4 Herpes Simplex Encephalitis (HSE)	279.9	D89.9	HP:0002715	 HP:0012302		
Ataxia-telangiectasia	ATM	AR		607585	"Progressive decrease, abnormal proliferation to mitogens"	Normal	Variable			"Ataxia, telangiectasia, pulmonary infections, lymphoreticular and other malignancies, increased alpha fetoprotein,  increased radiosensitivity, chromosomal instability and chromosomal translocations"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	362.15	D81.9	HP:0002715	HP:0005403		
ATP6AP1 deficiency	ATP6AP1	XL		300197			Variable			"Hepatopathy, leukopenia, low copper"	Table 3 Predominantly Antibody Deficiencies	Subtable 2 CVID Phenotype	279.06	D83.9	HP:0002715	HP:0004313		
MHC class I deficiency 	B2M 	AR		109700	"Low CD8, Nl CD4, absent MHC I on lymphocytes"	Normal	Normal			"Sinopulmonary infections, cutaneous granulomas. Absent ?2m associated proteins MHC-I, CD1a, CD1b, CD1c "	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.6	HP:0002715	HP:0005403		
BACH2 deficiency	BACH2	AD		605394	Progressive T cell lymphopenia	Impaired memory B cell development	Low	Normal		"Lymphocytic colitis, sinopulmonary infections"	Table 4 Diseases of Immune Dysregulation	Subtable 3 Regulatory T Cell Defects	279.9	D81.8	HP:0002715	HP:0002960		
BCL10 deficiency	BCL10 	AR		616098	"Nl number, low memory T and Treg cells, poor antigen and anti-CD3 proliferation"	"Nl number, decreased memory and switched B cells"				"Recurrent bacterial and viral infections, candidiasis, gastroenteritis"	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	279.2	D81.9	HP:0002715	HP:0005403		
BCL11B deficiency	BCL11B	AD		617237	Low	Normal 	Normal 			"Congenital abnormalities, neonatal teeth, dysmorphic facies, absent corpus callosum, neurocognitive deficits"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 9 Other Combined immunodeficiencies wwith syndromic features	279.2	D81.9	HP:0002715	HP:0000695		
Bloom Syndrome	BLM              	AR		604610	Normal	Normal	Low			"Short stature, dysmorphic facies, sun-sensitive erythema, marrow failure, leukemia, lymphoma, chromosomal instability"	Table 2 Combined immunodeficiencies with associated or syndromic features	Subtable 2 DNA Repair Defects other than those listed in Table 1	279.2	D81.9	HP:0002715	HP:0005403		
BLNK deficiency	BLNK	AR		604515	Normal 	Very low	Very low			"Severe bacterial infections, normal numbers of pro-B cells"	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
Fanconi Anemia Type S	BRCA1	AR		617883	normal to low	Normal to low			Hematopoietic stem cell	"normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Fanconi Anemia Type D1	BRCA2	AR		605724	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
Fanconi Anemia Type J	BRIP1	AR		609054	normal to low	Normal to low			Hematopoietic stem cell	"Normal to low NK, CNS, skeletal, skin, cardiac, GI, urogenital anomalies, increased chromosomal breakage"	Table 9 Bone marrow failure		238.72	D61.89	HP:0002721	HP:0005528		
"BTK deficiency, X-linked agammaglobulinemia (XLA)"	BTK 	XL		300300	Normal 	Very low	Very low	Variable		"Severe bacterial infections, normal numbers of pro-B cells"	Table 3 Predominantly Antibody Deficiencies	Subtable 1 Agammaglobulinemia	279.04	D80.0	HP:0002715	HP:0004432		
