N_unmapped	22850206	22850206	22850206
N_multimapping	6685585	6685585	6685585
N_noFeature	18880024	38598381	38819225
N_ambiguous	2248422	477998	484888
maker-Mar.3.4.6.p1_scaffold10-snap-gene-1.0-mRNA-1	9	4	5
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-1.4-mRNA-1	41	31	60
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-1.7-mRNA-1	13	4	9
maker-Mar.3.4.6.p1_scaffold10-snap-gene-0.9-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-0.11-mRNA-1	1	0	1
maker-Mar.3.4.6.p1_scaffold10-snap-gene-0.14-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-3.6-mRNA-1	393	219	232
maker-Mar.3.4.6.p1_scaffold10-snap-gene-3.15-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-3.12-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-2.2-mRNA-1	289	131	158
maker-Mar.3.4.6.p1_scaffold10-snap-gene-2.6-mRNA-1	97	86	61
maker-Mar.3.4.6.p1_scaffold10-snap-gene-2.9-mRNA-1	20	16	4
maker-Mar.3.4.6.p1_scaffold10-snap-gene-2.16-mRNA-1	83	48	35
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-2.24-mRNA-1	0	26	32
maker-Mar.3.4.6.p1_scaffold10-snap-gene-2.18-mRNA-1	0	0	0
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-4.6-mRNA-1	0	0	0
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-4.9-mRNA-1	9758	4933	4825
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-4.10-mRNA-1	190	98	92
maker-Mar.3.4.6.p1_scaffold10-snap-gene-4.17-mRNA-1	53	25	28
maker-Mar.3.4.6.p1_scaffold10-snap-gene-5.6-mRNA-1	600	286	314
maker-Mar.3.4.6.p1_scaffold10-snap-gene-5.12-mRNA-1	216	111	105
maker-Mar.3.4.6.p1_scaffold10-snap-gene-6.0-mRNA-1	286	143	144
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-6.17-mRNA-1	5	1	4
maker-Mar.3.4.6.p1_scaffold10-snap-gene-6.4-mRNA-1	326	169	157
maker-Mar.3.4.6.p1_scaffold10-snap-gene-6.7-mRNA-1	248	128	120
maker-Mar.3.4.6.p1_scaffold10-snap-gene-6.8-mRNA-1	56	25	32
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-7.27-mRNA-1	18	13	23
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-7.32-mRNA-1	48	31	24
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-7.33-mRNA-1	0	1	4
maker-Mar.3.4.6.p1_scaffold10-snap-gene-7.2-mRNA-1	3	2	1
maker-Mar.3.4.6.p1_scaffold10-snap-gene-7.0-mRNA-1	7	5	2
maker-Mar.3.4.6.p1_scaffold10-snap-gene-7.13-mRNA-1	26	28	17
maker-Mar.3.4.6.p1_scaffold10-snap-gene-7.23-mRNA-1	118	64	54
maker-Mar.3.4.6.p1_scaffold10-snap-gene-7.11-mRNA-1	7	5	2
maker-Mar.3.4.6.p1_scaffold10-snap-gene-8.0-mRNA-1	156	143	118
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-8.29-mRNA-1	922	447	475
maker-Mar.3.4.6.p1_scaffold10-snap-gene-8.4-mRNA-1	2	3	4
maker-Mar.3.4.6.p1_scaffold10-snap-gene-8.12-mRNA-1	200	102	98
maker-Mar.3.4.6.p1_scaffold10-snap-gene-8.16-mRNA-1	5	58	57
maker-Mar.3.4.6.p1_scaffold10-snap-gene-8.19-mRNA-1	56	27	29
maker-Mar.3.4.6.p1_scaffold10-snap-gene-8.21-mRNA-1	1321	718	603
maker-Mar.3.4.6.p1_scaffold10-snap-gene-8.5-mRNA-1	4	3	1
maker-Mar.3.4.6.p1_scaffold10-snap-gene-9.4-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-10.0-mRNA-1	12	9	8
maker-Mar.3.4.6.p1_scaffold10-snap-gene-10.3-mRNA-1	219	119	100
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-10.25-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-10.8-mRNA-1	23	9	14
maker-Mar.3.4.6.p1_scaffold10-snap-gene-10.11-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-10.13-mRNA-1	1	0	1
maker-Mar.3.4.6.p1_scaffold10-snap-gene-10.17-mRNA-1	0	2	3
maker-Mar.3.4.6.p1_scaffold10-snap-gene-11.9-mRNA-1	7	4	3
maker-Mar.3.4.6.p1_scaffold10-snap-gene-11.11-mRNA-1	6	4	2
maker-Mar.3.4.6.p1_scaffold10-snap-gene-11.13-mRNA-1	197	102	95
maker-Mar.3.4.6.p1_scaffold10-snap-gene-11.17-mRNA-1	548	277	271
maker-Mar.3.4.6.p1_scaffold10-snap-gene-11.19-mRNA-1	7152	3512	3640
maker-Mar.3.4.6.p1_scaffold10-snap-gene-11.21-mRNA-1	792	618	588
maker-Mar.3.4.6.p1_scaffold10-snap-gene-11.22-mRNA-1	5768	3840	3574
maker-Mar.3.4.6.p1_scaffold10-snap-gene-12.1-mRNA-1	1259	808	865
maker-Mar.3.4.6.p1_scaffold10-snap-gene-12.4-mRNA-1	66	806	906
maker-Mar.3.4.6.p1_scaffold10-snap-gene-12.5-mRNA-1	2420	1202	1218
maker-Mar.3.4.6.p1_scaffold10-snap-gene-12.30-mRNA-1	314	142	172
maker-Mar.3.4.6.p1_scaffold10-snap-gene-14.1-mRNA-1	895	825	889
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-13.0-mRNA-1	172	101	71
maker-Mar.3.4.6.p1_scaffold10-snap-gene-13.20-mRNA-1	8570	4298	4272
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-13.4-mRNA-1	237	115	122
maker-Mar.3.4.6.p1_scaffold10-snap-gene-13.22-mRNA-1	173	91	82
maker-Mar.3.4.6.p1_scaffold10-snap-gene-13.25-mRNA-1	3081	1545	1536
maker-Mar.3.4.6.p1_scaffold10-snap-gene-17.6-mRNA-1	57	17	41
maker-Mar.3.4.6.p1_scaffold10-snap-gene-17.9-mRNA-1	1	1	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-17.12-mRNA-1	0	0	0
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-17.4-mRNA-1	51	24	28
maker-Mar.3.4.6.p1_scaffold10-snap-gene-18.1-mRNA-1	0	0	0
maker-Mar.3.4.6.p1_scaffold10-snap-gene-15.0-mRNA-1	268	321	356
maker-Mar.3.4.6.p1_scaffold10-snap-gene-15.4-mRNA-1	1017	529	489
maker-Mar.3.4.6.p1_scaffold10-snap-gene-15.10-mRNA-1	312	149	163
maker-Mar.3.4.6.p1_scaffold10-snap-gene-15.12-mRNA-1	1805	1362	1262
maker-Mar.3.4.6.p1_scaffold10-snap-gene-15.14-mRNA-1	138	294	253
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-15.31-mRNA-1	161	77	85
maker-Mar.3.4.6.p1_scaffold10-snap-gene-16.0-mRNA-1	109	66	43
maker-Mar.3.4.6.p1_scaffold10-snap-gene-16.1-mRNA-1	477	258	219
maker-Mar.3.4.6.p1_scaffold10-snap-gene-16.12-mRNA-1	281	116	165
maker-Mar.3.4.6.p1_scaffold10-snap-gene-16.14-mRNA-1	182	145	109
maker-Mar.3.4.6.p1_scaffold10-snap-gene-16.17-mRNA-1	5	2	3
snap_masked-Mar.3.4.6.p1_scaffold10-processed-gene-16.34-mRNA-1	171	93	78
maker-Mar.3.4.6.p1_scaffold10-snap-gene-16.21-mRNA-1	1152	627	525
maker-Mar.3.4.6.p1_scaffold10-snap-gene-16.27-mRNA-1	975	535	512
