BTN_1_BTN	BTN_2_BTN	BTN_3_BTN	BTN_1_ASW	BTN_2_ASW	BTN_3_ASW	HEL_2_heme	HEL_2_mantle	HEL_2_gill	HEL_2_muscle	HEL_2_siphon	HEL_2_foot	HEL_3_heme	HEL_3_mantle	HEL_3_gill	HEL_3_muscle	HEL_3_siphon	HEL_3_foot	HEL_1_mantle	HEL_1_foot	HEL_1_siphon	HEL_1_muscle	HEL_1_gill	HEL_1_heme	BTN_4_BTN	BTN_5_BTN	HEL_4_heme	HEL_5_heme
LOC128237006	0	0	1	0	0	0	0	18	12	361	0	55	0	8	5	228	5	45	35	212	17	84	13	0	0	0	0	0
LOC128234792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC128240612	77	45	37	21	30	25	2	8	24	5	1	3	3	0	18	3	2	0	0	2	0	0	1	2	124	63	20	1
LOC128234816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC128234511	65	16	27	29	2	69	99	63	10245	104	131	62	2015	21681	57553	7850	14894	11268	11394	12422	48537	10036	44086	957	13	14	145	13
LOC128234525	1931	1882	1488	922	1494	1388	15	43	35	36	306	6	799	458	308	576	1291	343	184	183	418	234	188	334	2087	2197	357	2
LOC128234827	607	461	411	687	524	565	5	1	0	1	0	1	3	1	0	0	1	0	0	102	3	0	0	0	285	405	2	0
LOC128238513	57	53	36	25	33	41	20	32	37	16	57	40	5	15	9	13	23	17	7	6	20	2	6	12	58	56	44	28
LOC128234834	0	2	3	0	1	2	0	0	0	0	4	3	0	0	0	1	5	0	0	117	5	0	0	0	2	1	0	0
LOC128234842	0	1	2	2	5	6	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	2	3	8	1
LOC128234950	6	5	2	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	13	4	159	0
LOC128236803	42	40	25	12	50	29	59	75	80	46	60	50	513	395	1003	615	242	1205	627	1010	810	586	1565	1410	20	51	161	47
LOC128235201	1839	1461	1576	1378	2183	2291	242	169	194	146	196	103	1333	846	1087	989	1352	330	879	646	1240	550	1154	1104	624	780	922	1018
LOC128234967	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC128212349	545	426	341	231	357	265	1950	1742	1782	1391	1509	2141	2336	1616	3201	1345	1860	2246	1195	1449	4074	570	3003	1639	358	492	2525	1182
LOC128234981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LOC128228631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC128208350	318	240	184	154	235	199	78	61	68	61	57	49	58	48	51	52	89	16	41	64	81	55	85	100	391	503	54	63
LOC128234989	0	0	0	1	0	0	0	38	42	9	0	210	0	4	5	0	0	1	15	204	10	21	80	1	0	0	0	0
LOC128234995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC128235004	0	0	0	2	0	0	0	0	8	0	1	0	0	0	0	0	1	0	3	1	1	2	5	0	0	0	0	0
LOC128209150	0	0	0	0	0	0	0	61	0	83	1	8	1	429	0	35	3	10	707	1305	4	91	27	0	0	0	0	0
LOC128237079	0	2	0	0	2	1	312	58	0	75	52	7	169	46	1	7	44	8	59	69	62	78	7	164	21	0	143	73
LOC128237070	107	98	135	53	109	97	311	304	134	426	331	559	169	135	103	83	98	340	97	148	300	131	192	328	230	284	124	253
LOC128231533	0	1	0	1	7	5	5	32	695	21	40	0	1	2	205	16	4	0	37	59	66	14	508	1	2	1	0	0
LOC128230897	3	16	4	2	24	5	345	174	90	465	179	258	385	256	278	765	149	816	538	783	769	780	162	156	16	0	326	143
LOC128230959	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	6	1	1	0	2	0	0	0	0	0	0	0	0
LOC128235013	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC128206167	13123	10172	9129	5143	7210	7798	4639	5719	4965	12428	6007	4254	5538	4054	5607	14993	7592	2768	4490	5925	9895	17350	4606	3595	7151	7931	3428	2792
LOC128206115	204	195	147	153	112	127	133	128	135	156	207	169	52	54	32	51	47	47	85	119	156	95	111	154	204	184	49	88
LOC128228641	1016	714	656	234	422	523	1627	480	156	3376	316	213	3452	550	339	4867	376	528	420	682	790	2758	433	3616	549	677	1505	4018
LOC128235019	0	0	0	0	0	0	0	0	13	0	5	0	0	0	4	0	12	0	1	0	0	0	0	0	0	0	0	0
LOC128237987	0	0	0	0	0	0	0	5	9	0	0	11	0	0	11	0	4	0	0	6	14	0	37	0	0	0	0	0
LOC128234349	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC128239485	0	0	0	0	0	0	0	6	0	0	11	0	0	0	0	0	0	0	472	0	273	2	0	0	0	0	0	0
LOC128235034	66	52	43	25	18	43	1	0	4	0	1	0	2	1	2	1	1	5	1	1	7	3	4	2	90	92	3	2
LOC128235039	32	26	33	6	20	12	2	0	0	0	3	1	1	0	1	0	1	0	0	0	0	0	0	0	35	29	3	7
LOC128235048	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LOC128204920	1	1	2	3	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
LOC128237712	8	0	7	4	4	9	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0
LOC128235097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC128213936	0	0	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0
LOC128235140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0
LOC128235151	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	3	0	7	0	0	0	1	0	0	2	0	0
LOC128226071	3456	3033	3293	2106	2394	2836	1257	1122	810	1049	1421	988	1322	1462	692	937	1352	583	1042	982	1216	747	814	1505	3596	3878	707	1153
LOC128237218	0	2	0	1	3	3	0	2	0	0	4	0	1	2	0	0	1	0	0	0	1	0	0	0	2	0	0	5
LOC128237253	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0
LOC128235184	2	4	0	2	1	5	19	9	9	5	7	8	46	14	17	12	7	12	12	43	30	11	34	41	2	1	1	18
LOC128235193	26	20	27	6	11	8	202	103	108	105	137	122	17	7	4	6	6	3	14	38	21	23	21	20	11	20	0	78
LOC128211494	0	1	0	1	0	0	58	25	41	32	65	34	1	0	0	1	3	6	0	0	0	0	0	0	0	1	0	26
LOC128235207	155	93	90	120	88	103	8	5	9	6	5	27	6	1	15	5	3	0	0	1	5	0	6	1	187	200	6	3
LOC128240227	1157	1767	1050	501	814	632	574	735	3415	453	353	1299	635	344	1994	475	442	1098	524	2323	1206	285	1828	670	1490	1314	1008	2895
LOC128231310	3975	4265	4035	1502	2614	2808	2132	1404	2048	2721	1004	1547	2352	1187	1968	2685	1670	885	1119	1989	2558	1915	2218	2190	3902	4488	1958	2231
LOC128232635	5769	5008	3938	3999	6071	5829	828	946	503	745	908	690	1062	1261	720	873	1138	537	1231	645	2193	439	906	1725	4060	4198	881	855
LOC128211433	0	3	4	11	7	14	5	122	452	65	19	86	6	221	543	77	329	718	339	327	566	35	639	4	11	14	0	0
