gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128243119	ZNFX1	9.69304452630305e-60	1022.74736381019	16.6622275308222	3.27123230063828	NFX1-type zinc finger-containing protein 1-like
LOC128220373	NA	1.17532001683531e-36	1548.31524318935	13.0586511293735	2.16010595502699	uncharacterized LOC128220373
LOC128210260	NPFF2	1.28691453459176e-36	1306.31325243824	13.0510538336267	2.41559294187943	cholecystokinin receptor type A-like
LOC128226839	CCNG1	1.68286813081048e-31	394.53416075438	12.1053555668375	2.7130810941898	cyclin-G1-like
LOC128241732	CX038	1.9154554850528e-31	707.200112429047	12.0941174397805	2.18800490295902	uncharacterized LOC128241732
LOC128240343	CTDSL	2.59821978818231e-31	915.090051640523	12.0684451315787	2.11191122494143	CTD small phosphatase-like protein
LOC128219566	NA	1.03906774173789e-30	214.131594144293	11.9520162854311	3.33422801690489	uncharacterized LOC128219566
LOC128208299	BTBD3	7.23006932408342e-30	2137.9538515649	11.7873435964169	2.00987424887102	BTB/POZ domain-containing protein 6-B-like
LOC128238571	HDC	1.97761828654716e-29	3880.75360984183	11.7005156108222	2.72879719577331	headcase protein homolog
LOC128232113	MERL	7.76223229403886e-29	431.920482610644	11.5815972477565	2.29104129993626	merlin-like
LOC128238451	ENPP4	1.44956494804671e-28	425.011824080006	11.5262343061854	2.43031381910686	bis(5'-adenosyl)-triphosphatase ENPP4-like
LOC128240988	SP3	8.32086353056747e-28	548.784656166151	11.3714022823088	2.44349965084157	transcription factor Sp4-like
LOC128245448	CASZ1	1.27724219147615e-26	422.746828984251	11.1240447802865	2.40898562408087	zinc finger protein castor homolog 1-like
LOC128214321	NA	2.08233435660693e-25	1528.27218443562	10.8671043383103	1.63790651282755	uncharacterized LOC128214321
LOC128240628	NA	4.70233793719583e-25	82731.3278914876	10.7910038254611	1.57783477108614	uncharacterized LOC128240628
LOC128239332	HDC	9.18436380176744e-25	3048.8077828336	10.7273252399327	2.34098690588028	headcase protein homolog
LOC128230057	FOXM1	2.0139071004758e-24	275.387611005485	10.6530366817813	2.68134272568899	uncharacterized LOC128230057
LOC128224801	NA	2.69061231983159e-24	557.391099544782	10.6255560227243	2.04247556164516	uncharacterized LOC128224801
LOC128230323	OAR	5.99581547602956e-24	200.106460698061	10.5477136439798	2.84940411476434	uncharacterized LOC128230323
LOC128219750	H6ST2	8.36787797570905e-24	407.952887466347	10.514853578378	2.34847569573789	heparan-sulfate 6-O-sulfotransferase 2-like
LOC128229638	NA	1.04442867927754e-23	889.697237476947	10.4930034889715	1.9836768088609	uncharacterized LOC128229638
LOC128214390	GPR84	1.15752558291489e-23	540.943943149706	10.4823603898965	2.8033596975234	cholecystokinin receptor type A-like
LOC128213877	NA	3.16301896993148e-23	924.464804243637	10.3832316537597	1.80037105773953	uncharacterized LOC128213877
LOC128235372	GLBL2	3.25094735998613e-23	440.279172084723	10.3801672782912	2.02314423944572	beta-galactosidase-1-like protein 2
LOC128209992	NA	8.6900706775437e-23	698.295177860723	10.2832160367824	1.84468307960028	actin-3-like
LOC128233459	DEDD	9.91254881105317e-23	558.952554736751	10.2696535129194	1.8969176024181	death effector domain-containing protein-like
LOC128227624	TRIM2	1.02700756365115e-22	636.259640025029	10.2658007769312	1.81124897410364	tripartite motif-containing protein 2-like
LOC128208515	TRI33	6.59807069127116e-22	234.247590906329	10.0821007536057	2.79703669244895	E3 ubiquitin-protein ligase TRIM33-like
LOC128228661	TFIP8	9.00643489361664e-22	5651.28771075602	10.0502049107948	1.38580109009686	tumor necrosis factor alpha-induced protein 8-like
LOC128221235	TRI45	9.39761303468735e-22	770.289619328135	10.0455903220991	1.69296828400698	tripartite motif-containing protein 45-like
LOC128220204	MED4	1.09659836983639e-20	582.941735396026	9.79412929685496	1.81734587923034	mediator of RNA polymerase II transcription subunit 4-like
LOC128218787	TCAB1	1.52424608092415e-20	726.132836657594	9.7591702185109	1.86137469647612	telomerase Cajal body protein 1-like
LOC128230249	FUTC	3.02630990751712e-20	442.441520916669	9.68895992745296	1.9266701551346	alpha-(1%2C3)-fucosyltransferase 7-like
LOC128241784	NA	4.56583391623126e-20	228.753741989967	9.64525351597844	2.55112307464605	uncharacterized LOC128241784
LOC128235494	NA	1.41068001308798e-19	2349.27518582489	9.52564626654557	1.55711493348218	uncharacterized LOC128235494
LOC128242639	NA	3.28000476094797e-19	3147.6321080929	9.43682646655288	1.41376707926892	zinc finger protein 62 homolog
LOC128239013	NA	3.29636026224112e-19	866.565644243866	9.43591322982025	1.97752001913061	uncharacterized LOC128239013
LOC128228804	MB212	3.69988045565782e-19	241.662617404058	9.42340925478855	2.26472533540976	uncharacterized LOC128228804
LOC128242530	NA	1.18077245273385e-18	3499.84849126436	9.29809400907952	1.40750349330563	uncharacterized LOC128242530
LOC128227485	NA	1.76265854321251e-18	702.339826586552	9.25309250078361	1.59464041462421	PWWP domain-containing DNA repair factor 3A-like
LOC128208968	KLH30	2.03241728154613e-18	130.179645037606	9.23673169228726	3.05862566747159	uncharacterized LOC128208968
LOC128244180	TIF1B	2.28267985556691e-18	91.4861967536905	9.22391854015154	3.89140056364426	protein wech-like
LOC128229010	TFAP4	9.02693285201184e-18	228.03400320978	9.070911939707	2.49106942582126	transcription factor AP-4-like
LOC128217374	NA	1.26175965276081e-17	1710.7446677872	9.0332595323632	1.38051776686989	uncharacterized LOC128217374
LOC128220218	UBIE	1.3786995417217e-17	402.965467817224	9.02319540609765	1.8106499662169	demethylmenaquinone methyltransferase-like
LOC128227172	LONF3	1.89769543316131e-17	472.688166125805	8.98777657529253	1.76871459106608	LON peptidase N-terminal domain and RING finger protein 3-like
LOC128242277	NA	2.39799253496302e-17	137.952244640788	8.96093088824927	2.716296925725	RNA-binding protein 25-like
LOC128209819	KLH20	4.71796503560111e-17	109.22311817264	8.88103636064825	4.53354144517473	uncharacterized LOC128209819
LOC128203128	B3GT6	5.33250525882545e-17	283.969693676255	8.86671356410921	1.96825566138096	beta-1%2C3-galactosyltransferase 6-like
LOC128231166	TAF8	8.42926589180754e-17	507.672793377222	8.81452254969997	1.81274942520309	transcription initiation factor TFIID subunit 8-like
LOC128234791	MTEF4	1.08556731454875e-16	145.044498974332	8.78475877624228	2.73829046697807	uncharacterized LOC128234791
