gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128217773	TUSC2	5.38638679648462e-138	782.784625702185	25.3869109630675	3.80884177732739	tumor suppressor candidate 2-like
LOC128210338	TENN	9.74367353647062e-110	44263.8761814234	22.6442108144624	7.37208507319798	fibrinogen-like protein 1
LOC128212534	PKHA1	9.59983925204765e-106	3789.67638129621	22.2270498572256	2.57206723702309	pleckstrin homology domain-containing family A member 1-like
LOC128217284	NISCH	2.89409536183175e-91	1133.092193495	20.6427541461018	2.80181426085174	nischarin-like
LOC128208805	LLR1	9.49071173762828e-89	2796.74722574448	20.3499343516921	3.54196226135137	leucine-rich repeat protein 1-like
LOC128224232	NA	3.59939187273335e-88	6702.83897396283	20.2783245250177	7.73944220445997	keratin-associated protein 10-10-like
LOC128227340	UB2Q1	3.18851362803296e-86	5375.98219128278	20.0509977733224	1.91686011218942	ubiquitin-conjugating enzyme E2 Q2-like
LOC128232857	RASF8	2.6918162678438e-83	747.127789463436	19.7078629365602	2.72231952393815	uncharacterized LOC128232857
LOC128219963	NA	8.46928566836074e-79	1662.56768082742	19.1635022724519	6.31727954536865	uncharacterized LOC128219963
LOC128243288	PDES1	3.0334079034681e-66	2167.2820055478	17.5634315372435	4.4769506798208	plasmanylethanolamine desaturase-like
LOC128226789	NA	3.22287520647759e-66	863.223746706272	17.5558306249121	3.39652849135197	uncharacterized LOC128226789
LOC128219778	ECT2	2.10665545774357e-64	2269.22898046587	17.308493962398	2.03366111666711	protein ECT2-like
LOC128207719	SNP25	2.34247184376072e-61	3887.68100063427	16.8923142847412	1.62339553992074	synaptosomal-associated protein 25-like
LOC128235334	CARME	8.07200631536428e-61	475.784645592628	16.8174281015754	5.8359550625828	carnosine N-methyltransferase-like
LOC128206985	RAC1	1.24987959222858e-60	25049.7946177205	16.789804811397	2.62468863827839	ras-related C3 botulinum toxin substrate 1-like
LOC128231872	F117B	6.76089599280325e-60	1416.51278718467	16.6868443651965	2.10429000903789	protein FAM117B-like
LOC128227724	FHDC1	1.89551520757336e-59	14216.1094480801	16.6235718722728	3.56421806020225	inverted formin-2-like
LOC128245641	EFHD2	3.90594560902425e-59	10053.4669754263	16.5782320528712	3.13212514063105	EF-hand domain-containing protein D2-like
LOC128238733	NATT4	4.11056270440996e-58	2378.81720728601	16.4327885229045	5.36081333549107	natterin-4-like
LOC128240915	CRA1B	2.69677019759913e-57	14744.4941676362	16.315467165105	4.72293171937608	collagen alpha-1(I) chain-like
LOC128240775	MRP1	8.20547056190372e-57	299.656606321266	16.2459838813566	5.31084100215327	multidrug resistance-associated protein 1-like
LOC128241733	NA	1.523353982134e-56	1758.64805256115	16.2066333048494	5.58034802540475	uncharacterized LOC128241733
LOC128217702	BAP31	1.57342191596244e-55	2124.31939207987	16.0585067355364	4.3262971827374	B-cell receptor-associated protein 31-like
LOC128213034	NA	4.23005783830102e-55	318.042571557821	15.995144297786	6.65772638262902	uncharacterized LOC128213034
LOC128238636	NA	4.31216736555851e-55	954.86049501714	15.9933272322186	5.27749034580717	uncharacterized LOC128238636
LOC128227984	UBIQ1	1.46085561621556e-54	47318.2742614624	15.914125728327	5.35460876032507	polyubiquitin-H
LOC128218899	MRP4	1.87565653367266e-54	1811.73952797394	15.8973028987673	3.74562506422502	ATP-binding cassette sub-family C member 4-like
LOC128205650	RDM1	2.66328763346359e-53	318.752121127343	15.7273227930328	5.47193083008907	RAD52 motif-containing protein 1-like
LOC128220306	NA	7.0033488490981e-53	8560.33847476146	15.6648598803291	5.1425981719073	uncharacterized LOC128220306
LOC128242807	ARD17	7.66977238411437e-53	5379.55328065236	15.6579828094799	2.9108544839127	arrestin domain-containing protein 17-like
LOC128242823	DCA11	1.70513924773811e-51	2116.13903287507	15.4546781334623	2.62411932384211	DDB1- and CUL4-associated factor 11-like
LOC128239784	NA	9.44987463447214e-51	15276.6948951502	15.3404350958322	5.29237790364227	uncharacterized LOC128239784
LOC128206074	NA	9.44987463447214e-51	1045.37153752522	15.3405397674453	8.05935969995772	receptor-type tyrosine-protein phosphatase kappa-like
LOC128246323	S26A2	2.57114798697191e-50	701.639291837807	15.2733918882268	3.75263872168519	sulfate transporter-like
LOC128220286	NUP98	4.47290399829798e-49	158.94461594348	15.0818346132068	4.0199302387505	uncharacterized LOC128220286
LOC128246874	ARHGQ	1.34784849474691e-48	11305.8959787897	15.0066048746061	4.88113143355231	rho guanine nucleotide exchange factor 5-like
LOC128238720	TMTC3	7.65912386049532e-48	334.505899641785	14.8900154538107	4.57254285189759	protein O-mannosyl-transferase TMTC3-like
LOC128214410	NA	7.67260661831649e-48	191.427785344552	14.8894622767365	5.10798680225266	uncharacterized LOC128214410
LOC128241502	PARP8	3.46127258237686e-47	432.155778559476	14.7849798158076	3.19603786414802	protein mono-ADP-ribosyltransferase PARP6-like
LOC128223123	CFAB	7.32651673519754e-47	12332.9145425589	14.7331653242089	6.0538733269429	complement factor B-like
LOC128237009	NA	1.24218153354424e-46	2905.24456609792	14.6962304756557	5.28376478828837	uncharacterized LOC128237009
LOC128238594	NA	1.24218153354424e-46	156319.717443998	14.6966223909458	7.84277636138388	uncharacterized LOC128238594
LOC128203576	YH2M	1.69339092787881e-46	837.074010015567	14.6741954896807	5.19453049433504	probable cation-transporting ATPase W08D2.5
LOC128237455	CATL1	5.99015906852753e-46	17212.8491060852	14.5838206116155	8.8234081274877	procathepsin L-like
LOC128233517	STA5B	5.78845349301253e-45	13175.2230721849	14.4223679174463	2.86060041518038	signal transducer and activator of transcription 5B-like
LOC128227979	CALX	1.04056132588014e-44	3830.54090689291	14.3807989546895	3.84989392133894	calnexin-like
LOC128237500	RRAS2	1.30856696046313e-44	4621.06526743854	14.3639038082437	2.82950704748075	ras-related protein R-Ras2-like
LOC128212868	AVT1D	1.83706537246144e-44	976.641969666305	14.3400408974687	8.00727646769083	uncharacterized LOC128212868
LOC128208898	TM260	1.87617319294763e-44	346.657547268567	14.3382411631388	2.19080193354807	transmembrane protein 260-like
LOC128211600	MET	3.23889212017687e-44	1952.28155491877	14.2996218232088	6.13351387545631	hepatocyte growth factor receptor-like
LOC128217114	BICD1	3.56549645463083e-44	3650.62182022733	14.2919370652521	3.89642110670952	protein bicaudal D-like
LOC128236548	VP13C	7.51583675781106e-44	5814.4461936794	14.2395877546267	2.81359968702946	intermembrane lipid transfer protein VPS13A-like
LOC128236569	DIRC2	2.1233085571724e-43	276.614642814628	14.1655112570346	5.80925884722094	solute carrier family 49 member 4 homolog
LOC128240734	ACVR1	3.10078872965745e-43	690.457091808946	14.1375937118706	2.5448524481407	activin receptor type-1-like
LOC128219054	SPR	4.52190777472975e-43	884.822162566478	14.1106946108512	8.37954116693102	sex peptide receptor-like
LOC128213072	NA	6.73229691339618e-43	14354.2381051384	14.0819656129742	6.40000342040732	uncharacterized LOC128213072
LOC128223326	NA	7.92223647622716e-43	2796.9561247635	14.0701441265856	4.30751937051372	WAS/WASL-interacting protein family member 2-like
LOC128214032	PTHD3	2.50718377500666e-42	411.228820543786	13.9868658235639	2.58290432281569	NPC1-like intracellular cholesterol transporter 1
LOC128234412	NA	1.20471619418404e-41	3487.50079816481	13.8708018509945	2.32246716342385	uncharacterized LOC128234412
LOC128215808	NHAX	2.21021174522717e-41	1971.2879153552	13.8245807429571	5.19688855084398	stress response protein NhaX-like
LOC128217046	GRDP1	2.88156360308259e-41	904.812552529773	13.804623874214	5.80997864360069	uncharacterized LOC128217046
LOC128232537	SNP29	2.96468607965021e-41	3335.15609681351	13.801753079859	1.44790610126368	synaptosomal-associated protein 29-like
LOC128224129	NA	2.96468607965021e-41	187.857319976492	13.8017280005395	4.53488002505006	uncharacterized LOC128224129
LOC128218962	NA	3.2764798764821e-41	5034.46699806833	13.7939591647346	4.25255624675737	uncharacterized LOC128218962
