gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128235334	CARME	3.15104866489569e-129	397.765171480203	24.5575800000273	5.25970989303661	carnosine N-methyltransferase-like
LOC128214164	NA	1.36020251099401e-115	2884.81340637808	23.2289148407604	7.3043847035992	uncharacterized LOC128214164
LOC128232277	NHRF1	2.39007314663082e-101	11875.7096792799	21.7555128278989	7.66102406478749	Na(+)/H(+) exchange regulatory cofactor NHE-RF1-like
LOC128211600	MET	9.13877900696436e-101	3962.90569709192	21.6890595582454	6.9167352614872	hepatocyte growth factor receptor-like
LOC128210376	FGFR3	3.97561697619808e-99	1363.60953002838	21.5063215129945	8.21418958957511	fibroblast growth factor receptor 4-like
LOC128242930	PKHG4	1.53524161500273e-97	1315.64830440245	21.3289170493754	8.07211772363052	puratrophin-1-like
LOC128240796	RB27A	3.20331512859044e-94	606.957010008041	20.9563511651681	6.27014734521646	ras-related protein Rab-27A-like
LOC128204979	JMJ22	3.06140417262918e-92	6054.41478248638	20.7355225393741	8.0423874276044	uncharacterized LOC128204979
LOC128207571	C170B	1.71143819912501e-91	2157.79097337179	20.6500711469516	5.39657725468901	centrosomal protein of 170 kDa-like
LOC128227984	UBIQ1	2.87442090070814e-90	71156.9954986222	20.5109509798326	5.56187702084791	polyubiquitin-H
LOC128234179	GLI3	1.97727551088436e-88	752.901851958647	20.2996478129541	8.02695465002942	zinc finger protein GLI4-like
LOC128213601	FREM1	3.21315376680844e-86	2226.88405180563	20.0437715662797	9.62314401105735	FRAS1-related extracellular matrix protein 1-like
LOC128217297	NLRC3	5.36854393553815e-84	1500.93036149335	19.785429118189	7.92512922087436	uncharacterized LOC128217297
LOC128212410	NA	4.19875242766522e-83	1242.2354262028	19.6777087348977	8.63146262224723	uncharacterized LOC128212410
LOC128238733	NATT4	5.75836705191107e-79	7424.26483354517	19.1802540035011	6.58798823150447	natterin-4-like
LOC128242628	NA	1.4237363749654e-78	2613.52296004304	19.1315723716667	4.70691953715778	protein phosphatase 1 regulatory subunit 16A-like
LOC128235142	VKT31	8.98135263520651e-78	1185.13075918511	19.0323240540918	9.13275751973542	putative uncharacterized protein DDB_G0271982
LOC128240004	FBP3	1.49112289794895e-77	3211.10590577158	19.0029043416356	9.49134325482698	uncharacterized LOC128240004
LOC128223204	AMPE	2.36069098119317e-77	4705.89507796493	18.9774140106112	9.39556474328183	glutamyl aminopeptidase-like
LOC128243778	NA	3.15422004880446e-77	1611.71676229997	18.9608483499826	5.81021934905413	myosin heavy chain%2C striated muscle-like
LOC128212130	NA	1.83595412029359e-76	12302.5587443247	18.8666762256758	9.58064565907751	uncharacterized LOC128212130
LOC128231501	DPEP1	1.73867174896481e-75	2719.12898197784	18.744940800866	7.81906280031331	dipeptidase 1-like
LOC128214745	NA	4.19756406216908e-75	1261.02984779813	18.6967691892408	7.07356192822846	uncharacterized LOC128214745
LOC128211651	5HT4R	4.82529442192142e-74	1727.22794335055	18.5625344790362	8.58296404225659	5-hydroxytryptamine receptor 4-like
