gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128232950	ZIF1	7.6553329320403e-111	8760.36298046779	22.8104877765786	6.81351239781978	uncharacterized LOC128232950
LOC128229330	ZFN2B	6.25775186588014e-105	14825.3012549547	22.1756719923844	6.20653052819783	AN1-type zinc finger protein 2A-like
LOC128244593	YLAT2	2.980024905138e-103	7554.98232366052	21.9827282871085	7.50146059459387	Y+L amino acid transporter 2-like
LOC128205278	NA	1.30754189972991e-93	48241.3141588933	20.9369983890729	6.66481200321401	uncharacterized LOC128205278
LOC128223073	NA	3.25465713312974e-92	14761.3881351508	20.7725364075863	7.57105762991829	uncharacterized LOC128223073
LOC128243430	LAT2	4.87409218050035e-90	3606.28501102857	20.5216904145347	5.96216817216923	large neutral amino acids transporter small subunit 2-like
LOC128224275	RNF44	2.7236412807306e-88	5732.54617834563	20.3176021936663	7.57854623464958	uncharacterized LOC128224275
LOC128205558	RORA	3.47372640352135e-87	16255.9924310957	20.1856181762687	6.80769102778464	nuclear receptor ROR-alpha B-like
LOC128217755	SYIC	1.98012495661846e-79	23682.210626672	19.2768786322001	6.19655115467218	isoleucine--tRNA ligase%2C cytoplasmic-like
LOC128231995	ABCB1	7.65240625828179e-79	11927.4387109208	19.2013389962114	6.79663095028881	uncharacterized LOC128231995
LOC128212904	HELZ2	8.85114323944843e-79	989.058740278718	19.1888259854756	7.91178226928415	helicase with zinc finger domain 2-like
LOC128218580	NA	1.01280502809842e-78	4441.04903998298	19.1772962426096	6.17455662030212	uncharacterized LOC128218580
LOC128212902	HELZ2	2.72656264513891e-78	41188.8340419287	19.1215522510371	6.50879705610503	helicase with zinc finger domain 2-like
LOC128213945	NA	7.35589571387755e-78	17657.6589886743	19.0658445217303	6.07370580457876	uncharacterized LOC128213945
LOC128229913	DYL1	1.27507928943685e-76	12572.8876865217	18.9124075917241	5.56690722958968	dynein light chain 1%2C cytoplasmic-like
LOC128232220	ASNS	3.01646665098127e-76	11065.7690333944	18.863538223827	5.78741980927766	asparagine synthetase [glutamine-hydrolyzing]-like
LOC128229401	PLIN2	9.89388581934682e-75	90460.9768511102	18.6748757504897	6.21375799730323	perilipin-2-like
LOC128229777	RORB	1.59952997651227e-74	130433.696740598	18.6461516872649	7.93865335673819	nuclear receptor ROR-beta-like
LOC128238639	BIR7B	3.11170636890155e-74	1147.72230569895	18.6076335867718	7.22486929536418	baculoviral IAP repeat-containing protein 3-like
LOC128244018	NA	1.47485616614603e-72	2449.76385647707	18.3969282088292	7.43863056391461	uncharacterized LOC128244018
LOC128231209	GDPD1	6.60803505181205e-72	10819.5047332551	18.3128110212509	6.07195793168048	lysophospholipase D GDPD1-like
LOC128229114	KAD6	7.78027066527774e-72	12383.9144923281	18.301383526291	6.56110575860025	adenylate kinase isoenzyme 6-like
LOC128233643	CP3AO	2.23628141960684e-71	53208.8115286056	18.241344573188	8.10167955540342	cytochrome P450 3A24-like
LOC128236493	BIR7B	2.2973502314794e-70	46645.0955111184	18.1112315958511	5.66769464039727	putative inhibitor of apoptosis
LOC128225970	CP3AO	5.60991851888638e-70	37858.1939088948	18.0597664257534	8.06459461962869	cytochrome P450 3A24-like
LOC128218163	CP2B4	1.18167971624717e-69	2500.05664117016	18.016423809506	7.70467985001849	cytochrome P450 2B4-like
LOC128246215	ZIF1	3.12686967564712e-69	2015.3152280302	17.9604021664646	6.98817789515391	uncharacterized LOC128246215
LOC128205820	GSH1	7.56852900013141e-69	28697.6357876103	17.9092447613028	6.70789770203739	glutamate--cysteine ligase catalytic subunit-like
LOC128220081	PAPSS	6.48992682980471e-68	30901.2042780154	17.787264382096	5.28619802092905	bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase-like
LOC128222742	NA	7.72140727393572e-68	22642.3891437931	17.7756232391048	7.20979615979747	uncharacterized LOC128222742
LOC128208365	PPN	5.7094446776903e-66	39456.9336096698	17.5307779615203	5.16225748084007	papilin-like
LOC128207356	ST1E1	5.90688747418416e-66	1220.86310089255	17.5270393343009	7.67208198148925	sulfotransferase 1E1-like
LOC128208086	ASGL1	7.47411838844834e-66	2463.02313324136	17.5118995969632	6.83552294696332	isoaspartyl peptidase/L-asparaginase-like
LOC128218330	MEST	2.17577376968972e-65	2731.31984296558	17.4492691703203	7.1106348807294	mesoderm-specific transcript protein-like
LOC128227639	NA	6.08371318077064e-65	6854.0195612477	17.3887739246427	5.68750412681008	uncharacterized LOC128227639
LOC128228010	SYLC	3.73045552764142e-64	68412.5395802313	17.2828890007585	7.27016684761128	leucine--tRNA ligase%2C cytoplasmic-like
LOC128227852	OCTL	6.16906352640997e-64	35217.8213911131	17.2513497287747	6.49077126454035	organic cation transporter protein-like
LOC128236864	YQJG	6.16906352640997e-64	20978.3280086867	17.2507328661599	8.82879726768228	glutathionyl-hydroquinone reductase YqjG-like
LOC128230168	HTAI2	1.23961667551736e-63	21068.5448212493	17.2088634393404	6.62611457979692	oxidoreductase HTATIP2-like
LOC128236681	RTJK	4.00954710283893e-63	4861.01207913749	17.1392719590853	8.6837803728281	uncharacterized LOC128236681
LOC128238310	WHITE	4.69162972798248e-63	9934.99398218511	17.1286975766342	7.18152130957748	protein white-like
LOC128216647	GMPPB	4.86943070030962e-63	2033.32258759974	17.1251308096736	5.54674557065613	mannose-1-phosphate guanyltransferase beta-like
LOC128222941	HMCN1	5.37051906749962e-62	4041.23784491013	16.9834766436984	5.13108034395755	hemicentin-1-like
LOC128236250	MTRR	1.00448809192442e-61	4809.96819564307	16.9453441272703	6.94797159536142	methionine synthase reductase-like
