gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128242286	PCKGC	1.00480300714466e-295	190969.826430332	-37.0257705431674	-5.51902085791703	phosphoenolpyruvate carboxykinase%2C cytosolic [GTP]-like
LOC128219956	SPT13	1.17508884701723e-195	23327.6588700598	-30.1513067867292	-5.08936488322985	uncharacterized LOC128219956
LOC128234666	NA	2.10640615709715e-179	43776.1132954283	-28.8708669928833	-4.17242252665686	uncharacterized LOC128234666
LOC128232818	SPDEF	2.69993677036863e-174	33144.4593889581	-28.4509839072027	-5.4064279553926	SAM pointed domain-containing Ets transcription factor-like
LOC128229777	RORB	1.50819542477158e-170	27069.3062209013	-28.1385531935907	-5.12881300367675	nuclear receptor ROR-beta-like
LOC128222366	XIAP	1.24394744510025e-160	12220.1090431198	-27.3094624469212	-6.0753930343062	baculoviral IAP repeat-containing protein 7-B-like
LOC128224275	RNF44	2.06679118653717e-146	1837.87322188457	-26.0787769214543	-5.7979412041311	uncharacterized LOC128224275
LOC128226112	CACT	1.74295858086511e-141	10349.0322889184	-25.6356138075555	-5.15997883157662	ankyrin-2-like
LOC128218330	MEST	6.41167838207724e-137	1225.46075891239	-25.2181702165331	-4.65595988192356	mesoderm-specific transcript protein-like
LOC128213945	NA	1.15379136915401e-130	7231.88082021548	-24.6370819578427	-4.74303043146564	uncharacterized LOC128213945
LOC128205093	AAC4	3.02083301336485e-129	13679.96486885	-24.5005334110878	-5.56568548905179	AAC-rich mRNA clone AAC4 protein-like
LOC128221568	NA	6.91550604147651e-128	2455.29096692344	-24.3690624090402	-6.68958152118858	uncharacterized LOC128221568
LOC128211938	TNIP2	1.0646985968696e-127	25949.7100374399	-24.3480966719779	-5.49525322694954	TNFAIP3-interacting protein 1-like
LOC128231777	ELF2	1.34263344581605e-120	5208.83254730525	-23.6651268408051	-5.74034921631796	uncharacterized LOC128231777
LOC128231727	NFYA	2.19827744859117e-116	19133.2945557782	-23.2492754512997	-5.8074512246272	nuclear transcription factor Y subunit alpha-like
LOC128234544	NFKI1	2.1068757552477e-106	70492.2199967344	-22.237841219947	-4.48477739870896	uncharacterized LOC128234544
LOC128227623	SQSTM	4.61823814499185e-102	35732.0609690639	-21.7819030477649	-5.48292688834536	sequestosome-1-like
LOC128218206	LENG9	6.62897132517341e-102	26698.1061447843	-21.7627173366157	-4.77578937767813	leukocyte receptor cluster member 9-like
LOC128202975	ATF4	4.56037079344315e-101	19415.4464316077	-21.6716175472458	-3.97577129203347	uncharacterized LOC128202975
LOC128222742	NA	5.35776644281781e-101	872.760931658582	-21.6618335641746	-4.22749346866711	uncharacterized LOC128222742
LOC128231639	NA	4.68552980087022e-100	5504.6699413391	-21.5594493074929	-4.07390769512574	uncharacterized LOC128231639
LOC128246525	ATF4	8.13165577330682e-100	13849.161873118	-21.5317626395546	-3.89182246808702	uncharacterized LOC128246525
LOC128203258	CPTP	4.85565222772559e-96	1657.10424356188	-21.1228936700064	-4.81921499367449	ceramide-1-phosphate transfer protein-like
LOC128245632	NA	4.55430599578179e-95	2317.56270674201	-21.0148684731126	-5.39591719251291	uncharacterized LOC128245632
LOC128236206	AOX	1.57269762683677e-87	16098.3105878073	-20.1720038710074	-3.802322677725	uncharacterized LOC128236206
LOC128211976	TNIP2	2.71247322841948e-87	3272.30501986132	-20.1430885612373	-4.95474513541831	uncharacterized LOC128211976
LOC128238596	RUNX1	3.04968155109227e-87	2105.84890299666	-20.1354151137622	-4.01953320173353	runt-related transcription factor 3-like
LOC128213508	NA	1.06729151432457e-86	2287.7821174067	-20.0714522311749	-3.6991025316511	uncharacterized LOC128213508
LOC128220115	IRAK4	2.9824804651167e-86	14922.4105653773	-20.0185663930901	-4.97661476462838	interleukin-1 receptor-associated kinase 4-like
LOC128212313	CHSTF	4.00748632432467e-86	2323.73087249392	-20.0021501911957	-4.22788657692686	carbohydrate sulfotransferase 15-like
LOC128242275	BGB	7.85030585273643e-84	2046.7875304124	-19.7355521219765	-4.94122754686688	core-binding factor subunit beta-like
LOC128218161	CP2J2	1.59476992652282e-83	818.817665492482	-19.697408110218	-8.03160304273128	cytochrome P450 2B4-like
LOC128206168	ANKK1	1.59476992652282e-83	7839.1649188711	-19.6965324548503	-3.73128402315153	ankyrin repeat and protein kinase domain-containing protein 1-like
LOC128242795	SL9A2	6.0731769521849e-83	12236.6338243638	-19.6271851786119	-4.10483915941126	sodium/hydrogen exchanger 3-like
LOC128229194	HS12B	1.28388765112101e-79	389.85153575647	-19.2326835660711	-5.4851549645922	heat shock 70 kDa protein 12B-like
LOC128217567	ANR10	3.13825921496377e-78	6698.27275613343	-19.0647449570544	-3.25358474102566	26S proteasome non-ATPase regulatory subunit 10-like
LOC128232100	MEGF6	1.05146457196396e-76	1577.56513980259	-18.8787137933969	-3.30795448331463	protein draper-like
LOC128225168	NA	2.42862821961781e-75	1083.64475527689	-18.71071405209	-5.04441035692556	phenolphthiocerol/phthiocerol polyketide synthase subunit B-like
LOC128209666	NA	7.31827953429742e-75	11501.3029849134	-18.6504473907162	-3.47744737639907	uncharacterized LOC128209666
LOC128207330	NA	3.67564531998026e-73	28724.6156852387	-18.4384986538176	-2.48933524962455	uncharacterized LOC128207330
LOC128209840	SLIT1	1.53222916850611e-71	1218.84054238713	-18.2343263223229	-2.90670468087011	uncharacterized LOC128209840
LOC128226763	NA	1.04080238992425e-70	1751.64356134935	-18.1279449253046	-2.97793828555287	uncharacterized LOC128226763
LOC128241998	PTHD3	5.29511797758846e-70	6577.83283007022	-18.036954922465	-3.44188823209537	uncharacterized LOC128241998
LOC128230810	NA	5.32119134804881e-70	546.39782884207	-18.0354126625675	-4.2267520588559	uncharacterized LOC128230810
LOC128222121	LHPL2	1.63487513184387e-69	6222.02339477604	-17.9720131240255	-3.97068152162698	LHFPL tetraspan subfamily member 2a protein-like
LOC128213233	GA45A	2.71338588619088e-68	6261.3564651629	-17.8142748621415	-3.17588778360728	growth arrest and DNA damage-inducible protein GADD45 alpha-like
LOC128240352	NA	1.41234073503398e-66	993.664235262766	-17.5905103948409	-6.01360607896843	uncharacterized LOC128240352
LOC128210003	NA	1.68327365280169e-66	23004.0860080862	-17.5793692729469	-3.86686397889363	uncharacterized LOC128210003
LOC128226830	NA	2.16770516380063e-66	2215.46126649454	-17.5638516066849	-2.97286371604159	uncharacterized LOC128226830
LOC128217174	SERC	5.67295705470814e-65	57381.3508451321	-17.3764364050576	-3.60993300668539	phosphoserine aminotransferase-like
LOC128226693	ARI1	6.732743112834e-62	2732.08093830891	-16.9643909078352	-4.71578025517252	uncharacterized LOC128226693
LOC128223073	NA	8.26545185881775e-62	667.447861024493	-16.9511965569224	-3.81146343286284	uncharacterized LOC128223073
LOC128230832	ST1A1	1.00207825390536e-60	7128.47707442942	-16.802741320749	-3.01231574453601	sulfotransferase 1A1-like
LOC128216408	ABH6B	2.96585228895158e-60	2526.77621386926	-16.7371539485585	-3.58660175482767	monoacylglycerol lipase abhd6-B-like
LOC128217850	NA	4.21075505326527e-60	20683.6779147219	-16.715181059616	-2.54406754991176	uncharacterized LOC128217850
LOC128229965	NA	4.9320906928046e-60	3675.96970581808	-16.7046774043429	-4.36543394762344	uncharacterized LOC128229965
LOC128227622	SQSTM	8.25595532317805e-60	31777.809370477	-16.6728608944673	-4.02117964730826	sequestosome-1-like
LOC128224569	NA	1.82683260070579e-59	480.286265270226	-16.6232598099738	-4.96988457601008	uncharacterized LOC128224569
LOC128234761	NPT2A	3.75662551956398e-58	9068.19659870106	-16.4400157293308	-2.33897845058215	sodium-dependent phosphate transport protein 2A-like
LOC128244740	EMIL1	9.8751886406614e-58	842.52597872771	-16.3803318310484	-5.7595715926678	EMILIN-1-like
LOC128207629	NA	1.99914070963711e-57	1077.4427642336	-16.3363866566358	-4.45493615278365	uncharacterized LOC128207629
LOC128213627	BMI1	1.40720437508259e-56	4505.56541324119	-16.2159573137043	-2.38120264844853	protein suppressor 2 of zeste-like
LOC128228749	YNS9	3.15194424583609e-55	3253.25736438619	-16.0228447954395	-3.50950387887709	uncharacterized LOC128228749
LOC128213121	TRUNK	6.19823002832253e-55	1399.01100920274	-15.9797809647885	-4.01365911208754	uncharacterized LOC128213121
LOC128239652	CERS2	9.5604596527987e-55	1965.62944677824	-15.9517898703552	-3.93084794306394	ceramide synthase 2-like
LOC128231405	EHF	3.76058645435413e-54	14300.1628685664	-15.8650966110906	-3.09502365486772	ETS-related transcription factor Elf-3-like
LOC128227882	SRBP1	4.02530912417629e-54	75289.6262444444	-15.8589777294622	-2.44153085366638	sterol regulatory element-binding protein 1-like
LOC128218423	NA	4.02530912417629e-54	421.293302085911	-15.8598257259437	-3.3540199367163	uncharacterized LOC128218423
LOC128246673	NA	1.62910813824033e-52	296.482643265465	-15.623918330797	-5.04337089379003	uncharacterized LOC128246673
LOC128206356	ANKK1	2.07754871205893e-52	688.089618628619	-15.6075055009815	-3.99061183966796	ankyrin repeat and protein kinase domain-containing protein 1-like
LOC128231861	PLPL2	3.4648441677833e-52	5751.89199535935	-15.5739387702426	-3.6549108700085	patatin-like phospholipase domain-containing protein 2
LOC128209744	FOSX	1.56381358625509e-51	11481.4018106633	-15.4763806497654	-3.8389412715757	protein c-Fos-like
LOC128209490	ERYA2	2.16282554607689e-51	3703.97043787708	-15.4546226520491	-3.14070963886124	phthioceranic/hydroxyphthioceranic acid synthase-like
LOC128229913	DYL1	2.78245071326093e-49	436.046223132832	-15.1375511207964	-5.11407762240835	dynein light chain 1%2C cytoplasmic-like
LOC128239240	BMI1	5.63726704912383e-49	2637.69647722075	-15.0893013436933	-2.2575315826025	uncharacterized LOC128239240
LOC128216252	MEST	5.63726704912383e-49	323.334624782049	-15.0894662108723	-4.22636330423644	mesoderm-specific transcript homolog protein-like
LOC128238896	NA	5.50954016906234e-47	1099.30870889769	-14.7830091481025	-3.54206684858748	uncharacterized LOC128238896
LOC128216546	NA	3.32165128833305e-46	578.271356543222	-14.6606691472455	-2.84724953469027	uncharacterized LOC128216546
LOC128210245	NA	8.0946220795821e-46	400.232604661558	-14.5992092852829	-3.58636361040987	uncharacterized LOC128210245
LOC128209841	ALS	2.75014791638973e-45	216.07786225426	-14.514733416909	-5.15949993519593	uncharacterized LOC128209841
LOC128214575	MIDNA	1.53654006299708e-44	514.540464563688	-14.3954288410402	-2.92711200760805	midnolin-like
LOC128246532	SSU72	5.70984172593486e-44	2123.97452339485	-14.3035484129814	-2.47059370180143	RNA polymerase II subunit A C-terminal domain phosphatase SSU72-like
LOC128213153	TRUNK	7.86259884564447e-44	1165.95112474716	-14.2804375362229	-3.73910087230971	uncharacterized LOC128213153
LOC128206290	NA	8.82350032667238e-44	319.630843622769	-14.271575038813	-6.0867283137322	uncharacterized LOC128206290
LOC128224082	NETR	1.00409957163958e-43	551.677381808658	-14.2617429459649	-3.14369287745467	neurotrypsin-like
LOC128237200	FZ10A	1.2735511763756e-43	879.411498621166	-14.2443382774043	-2.4011861042268	frizzled-9-like
LOC128236635	MTH2	2.15976646607789e-43	9714.08428285934	-14.2065896598972	-2.68935539991066	uncharacterized LOC128236635
LOC128233874	SAAR2	3.88465158175919e-43	36237.794249941	-14.1638323771852	-2.57700874954128	uncharacterized LOC128233874
LOC128208185	METH	3.88465158175919e-43	2341.83991992989	-14.1643444083897	-3.21194536442273	methionine synthase-like
LOC128211420	NA	1.96094692895902e-42	12756.7353228445	-14.0488516107541	-1.86823365685179	uncharacterized LOC128211420
LOC128238380	SHCAF	3.33300219985717e-42	2747.06863121875	-14.0104568310193	-2.99165239167335	SIN3-HDAC complex-associated factor-like
LOC128231700	TM86A	5.58156110165978e-42	1788.12701174036	-13.9730235149459	-2.69274097849245	lysoplasmalogenase-like protein TMEM86A
LOC128215446	ASM3B	1.01583409379869e-41	1358.68998119882	-13.9295553156836	-2.14350877659828	acid sphingomyelinase-like phosphodiesterase 3b
LOC128212518	ACHA7	1.17234682520935e-41	452.7338080013	-13.9185601064311	-8.79048254117886	acetylcholine receptor subunit beta-like
LOC128234686	Y4171	1.56544438924643e-41	234.479887145766	-13.8971255946334	-3.77919202686188	uncharacterized protein DDB_G0274171-like
LOC128210276	PNC2A	1.58030331804603e-41	463.509454681261	-13.8957073281725	-3.88136146028396	proline-rich nuclear receptor coactivator 2 A-like
LOC128215830	BTG1	2.18306972314981e-41	14423.3999602387	-13.8718183807201	-2.96633676632805	protein BTG2-like
LOC128217759	NEMO	2.65932649493955e-41	3872.26721695985	-13.8569291239826	-2.58768665141619	optineurin-like
LOC128246086	DYL2	3.19019429571239e-41	3309.29344565421	-13.843133248907	-2.49574931288839	dynein light chain 2%2C cytoplasmic
LOC128222570	FABP4	6.4611110929737e-41	313.186795390454	-13.7916054464421	-5.61462868658905	myelin P2 protein-like
