gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128229303	NA	7.14925941075927e-150	441.34040865987	-26.46534990253	-6.91190307674448	uncharacterized LOC128229303
LOC128204997	NPHN	4.70892518031713e-119	723.217122232745	-23.6078601211425	-8.57804303386865	nephrin-like
LOC128203379	NA	1.22669228849584e-117	1719.74336273982	-23.4523609757865	-6.58885012991602	uncharacterized LOC128203379
LOC128209790	CC170	6.51331497083235e-112	1289.28609022582	-22.8718802592256	-6.4414569045935	coiled-coil domain-containing protein 170-like
LOC128238491	GRIK2	1.73009106760943e-110	1502.57160040558	-22.7185173936899	-8.32088869272981	glutamate receptor ionotropic%2C kainate 2-like
LOC128204083	NA	4.58184428607101e-104	1568.83386744719	-22.0510072680069	-8.34491810469831	uncharacterized LOC128204083
LOC128241616	IP6K2	2.25287634309002e-97	562.461532392228	-21.3351340509529	-8.4543506723792	inositol hexakisphosphate kinase 2-like
LOC128224627	RDH13	4.91413808533021e-89	442.702327557636	-20.405216531562	-5.20543976234874	retinol dehydrogenase 13-like
LOC128228315	NA	3.76985754155181e-88	494.397208113539	-20.2954980222175	-2.73224966645014	uncharacterized LOC128228315
LOC128242222	TRIM1	2.49814860269808e-87	2269.39966542186	-20.1940809900838	-3.92403444446227	probable E3 ubiquitin-protein ligase MID2
LOC128229834	LRIQ1	2.2181213501479e-86	684.197496357261	-20.0822397359431	-5.87559506471224	leucine-rich repeat and IQ domain-containing protein 1-like
LOC128244936	RHEB	3.42068807731423e-85	1319.05508824016	-19.9424355976718	-6.69801380534623	GTP-binding protein Rheb-like
LOC128208359	PGBD4	4.47066475146473e-77	121.300268924546	-18.9813902187914	-6.16085853456849	piggyBac transposable element-derived protein 4-like
LOC128203422	SLA	7.1633632149166e-77	274.607143486818	-18.9520987376271	-8.50831950113176	uncharacterized LOC128203422
LOC128218908	LRIG2	1.5965308208478e-76	379.475947609331	-18.9053351645742	-8.66115234789894	slit homolog 1 protein-like
LOC128228889	NA	1.11012094295965e-71	421.602185883855	-18.2907348642426	-8.36184407682498	uncharacterized LOC128228889
LOC128215984	CHSTF	1.17395730259749e-71	618.979758199332	-18.2856291529898	-8.20435302451937	carbohydrate sulfotransferase 15-like
LOC128205655	CRADD	1.40806149151101e-71	235.174201021035	-18.2737277407511	-8.52766486747505	uncharacterized LOC128205655
LOC128226858	GCYA2	1.63717565372509e-70	201.883075598025	-18.137451234756	-7.68658571993711	guanylate cyclase soluble subunit alpha-2-like
LOC128217679	NA	3.25615671481355e-65	441.400194941087	-17.4466298862057	-7.27088947917226	uncharacterized LOC128217679
LOC128245672	GP153	4.28352066838765e-65	1161.8604623794	-17.4292487984928	-9.24274327098597	uncharacterized LOC128245672
LOC128230696	NA	1.3087946392413e-63	281.43341490558	-17.230916246065	-9.08003375156481	uncharacterized LOC128230696
LOC128230118	ZBED1	4.37892369742899e-63	380.10302252859	-17.159283682766	-6.19453473653002	E3 SUMO-protein ligase ZBED1-like
LOC128203703	NA	6.82496892169817e-63	148.657384240096	-17.1318948859818	-6.22829001944677	uncharacterized LOC128203703
LOC128226446	C163B	8.72924535942228e-63	727.036818259472	-17.116020135536	-6.50271117286636	scavenger receptor cysteine-rich type 1 protein M160-like
LOC128207687	NA	3.27038012042012e-62	243.507265257914	-17.0374209573766	-7.32954464263632	uncharacterized LOC128207687
LOC128229284	NA	1.22924137991314e-61	216.211196535334	-16.9554394231917	-7.4391407911691	mucin-22-like
LOC128230152	TSN9	2.08877014541682e-61	896.538104118517	-16.9228640716057	-2.14911440137926	tetraspanin-9-like
LOC128206516	Y1319	4.56428957015095e-61	285.020749453423	-16.8754126371472	-8.54916104865263	uncharacterized sodium-dependent transporter YhdH-like
LOC128210587	ADA1B	5.09333179529767e-61	465.516415811982	-16.867607600734	-9.36969198994307	alpha-1A adrenergic receptor-like
LOC128205094	DHSO	2.34925011677676e-60	682.473540487291	-16.7757436929017	-7.62955476378674	sorbitol dehydrogenase-like
LOC128219071	NA	7.60094198386616e-60	255.21289507142	-16.7045699066138	-8.94393707070519	macrophage mannose receptor 1-like
LOC128211507	DAAF9	1.19646917434614e-59	690.615466774465	-16.6762269641802	-3.70143402555848	dynein axonemal assembly factor 9-like
LOC128218325	NA	1.01276594648388e-58	96.7970980717373	-16.546872202836	-4.11171276267762	uncharacterized LOC128218325
LOC128226773	NA	2.45349006385753e-58	865.681831523284	-16.492285550652	-8.35170671596672	uncharacterized LOC128226773
LOC128220136	NA	1.17269507225841e-57	209.690018625048	-16.3963017231942	-5.69207440823903	uncharacterized LOC128220136
LOC128209496	NA	2.88905093842032e-57	203.934943546173	-16.340239502219	-6.72423583854531	uncharacterized LOC128209496
LOC128233939	NA	4.55441251167646e-56	405.291357810609	-16.1700527970839	-8.95489691049501	uncharacterized LOC128233939
LOC128242491	NA	8.31482746654309e-56	286.929773402902	-16.1306379770035	-7.79772965769971	uncharacterized LOC128242491
LOC128242578	NA	1.18380175761916e-55	407.508068717431	-16.1065966071829	-8.36082737025136	uncharacterized LOC128242578
LOC128226460	ATSL	1.76411279771405e-55	238.218437990171	-16.0808275678793	-8.3106532595391	snake venom metalloproteinase-disintegrin-like mocarhagin
LOC128218726	SIK2	2.33761730268595e-55	501.736313332962	-16.0616780963536	-9.01338334218759	serine/threonine-protein kinase SIK2-like
LOC128237805	YRD6	3.74920075346715e-55	240.101140719351	-16.0309242678685	-8.84852195868319	uncharacterized protein K02A2.6-like
LOC128218115	NA	4.91440392613834e-55	117.265073611284	-16.0130873290286	-6.5139709153881	DNA ligase 1-like
LOC128231181	NA	7.0423275997576e-55	181.922359914343	-15.9896944945346	-8.61850477606165	uncharacterized LOC128231181
LOC128211315	LRC27	8.7150110572262e-55	530.486080795959	-15.9754307642279	-5.40025015039818	leucine-rich repeat-containing protein 27-like
LOC128227446	IQCH	9.89844814159293e-55	143.883914670123	-15.9665219970065	-4.05644499691964	IQ domain-containing protein H-like
LOC128204858	MA2B1	1.828468007976e-54	141.099352193571	-15.9262942738741	-7.66768523118016	lysosomal alpha-mannosidase-like
LOC128209506	QNG1	8.40684672824089e-54	2204.07783692058	-15.8296607822303	-5.26941493970257	queuosine salvage protein-like
LOC128216698	HMCN2	1.3718321156948e-53	13734.5242257807	-15.7969906437527	-6.83819539873245	hemicentin-1-like
LOC128229250	HOLE	5.59076714168628e-53	127.277044535596	-15.7063696705833	-7.19405919589307	uncharacterized LOC128229250
LOC128216991	TNKS	1.85763814111079e-52	911.257700456449	-15.6291615153735	-8.78813201510647	uncharacterized LOC128216991
LOC128234827	MFGM	1.92188906272794e-52	151.001467582304	-15.6261274185772	-7.5335100415646	uncharacterized LOC128234827
LOC128220190	DHB14	2.44669599204107e-52	349.671215945639	-15.6098756112567	-9.06373578455283	17-beta-hydroxysteroid dehydrogenase 14-like
LOC128231887	NA	4.08011984528527e-52	163.490513061647	-15.5763671537219	-4.13557550398173	uncharacterized LOC128231887
LOC128211406	RAD18	4.78442370806017e-52	183.523485144092	-15.5653459736634	-7.55225643342457	uncharacterized LOC128211406
LOC128237402	NA	6.44130797466826e-52	122.351207449302	-15.5446651894146	-6.19428273236859	uncharacterized LOC128237402
LOC128209822	NA	7.07065429460407e-52	185.954905461351	-15.5378853420698	-7.57035540830954	uncharacterized LOC128209822
LOC128211987	NA	3.13928471102404e-51	74.5007628393248	-15.4404572157731	-6.14031928464646	uncharacterized LOC128211987
LOC128223752	NA	3.29105106966859e-51	124.205057035485	-15.436629943644	-7.74879603607701	uncharacterized LOC128223752
LOC128232007	S28A3	3.01809232576718e-50	1128.88294466688	-15.2906953528398	-8.90851865475182	solute carrier family 28 member 3-like
LOC128231301	GCY8E	4.02833427812539e-50	226.264724622277	-15.271127212924	-6.51991895113277	soluble guanylate cyclase gcy-35-like
LOC128224731	NA	4.98223499156945e-50	220.612657758564	-15.2560293974531	-8.20728068430915	uncharacterized LOC128224731
LOC128235646	NA	4.98223499156945e-50	442.606044075978	-15.2557796496922	-8.81954814211503	uncharacterized LOC128235646
LOC128246007	LRP2	6.81199080363024e-50	149.121101488801	-15.2346187070823	-8.32263910685334	LDL receptor repeat-containing protein egg-1-like
LOC128207408	NA	6.93282198770906e-50	177.088256271326	-15.2327471604607	-7.66892244752716	uncharacterized LOC128207408
LOC128214041	MEGF6	1.30332381168629e-49	567.905605945344	-15.1907121606379	-7.13303303563869	multiple epidermal growth factor-like domains protein 6
LOC128226824	NA	2.301407568751e-49	72.6599346796936	-15.1526855056979	-4.66980525281398	uncharacterized LOC128226824
LOC128236092	NA	3.71415334292778e-49	677.670976251318	-15.1184286023821	-4.55519580986434	uncharacterized LOC128236092
LOC128230400	NA	6.07620883369293e-49	222.27740092128	-15.0852994588867	-9.32188846870379	uncharacterized LOC128230400
LOC128237804	NLGNY	7.50235223126443e-49	212.060920332483	-15.0707067746097	-8.82680530447367	neuroligin-4%2C Y-linked-like
LOC128232153	CNO11	9.39953434598474e-49	1899.21792885335	-15.0544827174632	-1.37917624182056	CCR4-NOT transcription complex subunit 11-like
LOC128220691	CE034	1.38662059725844e-48	589.157574084385	-15.0280948446764	-3.94185626764856	uncharacterized protein C5orf34 homolog
LOC128230230	PEO1	1.58321592244435e-48	1242.38906616408	-15.018661392967	-4.75673637848217	twinkle mtDNA helicase-like
LOC128246458	NA	5.15519507019976e-48	76.2778981344402	-14.9376577377678	-6.23544532104379	uncharacterized LOC128246458
LOC128227714	HIL	5.52585786982198e-48	364.472219778989	-14.9317946601083	-7.47518263288839	kyphoscoliosis peptidase-like
LOC128234719	NA	7.49844239515235e-48	169.678883363102	-14.9102139738924	-6.77595400190906	uncharacterized LOC128234719
LOC128240920	MUC5B	9.35801488000441e-48	171.298643268366	-14.894220935397	-8.52532489527274	mucin-5B-like
LOC128210610	NA	1.24469688435167e-47	60.8843381162233	-14.8745530200481	-6.00403448441212	uncharacterized LOC128210610
