pathway	pval	padj	log2err	ES	NES	size	go_code
GOCC_CATALYTIC_COMPLEX	7.4182967046088e-13	1.05554943809879e-08	0.921426003494898	-0.403789980551172	-1.76519475451501	686	GO:1902494
GOBP_CELL_CYCLE_PROCESS	3.06112064382755e-12	2.17783428205111e-08	0.898671232061694	-0.401471679932145	-1.74530937795759	664	GO:0022402
GOBP_MITOTIC_CELL_CYCLE_PROCESS	7.31100875793382e-11	3.46761145388801e-07	0.839088935621274	-0.439470401836485	-1.85127629521723	418	GO:1903047
GOBP_MITOTIC_CELL_CYCLE	4.6882074120251e-10	1.66771258164263e-06	0.801215574617779	-0.411749600333363	-1.74942372788153	499	GO:0000278
GOCC_TRANSFERASE_COMPLEX	1.58119530627562e-09	4.49976560259916e-06	0.788186810800237	-0.430192700896708	-1.79963360078797	401	GO:1990234
GOBP_CELL_CYCLE	2.46090920147775e-09	5.72540440850556e-06	0.774939030136436	-0.333098066909464	-1.47693856004015	1039	GO:0007049
GOBP_CELL_CYCLE_PHASE_TRANSITION	2.81663018199022e-09	5.72540440850556e-06	0.774939030136436	-0.452445796164395	-1.85252010949916	303	GO:0044770
GOCC_CULLIN_RING_UBIQUITIN_LIGASE_COMPLEX	3.46931140765021e-09	6.17060400243185e-06	0.774939030136436	-0.614571357308724	-2.18495257910926	98	GO:0031461
GOCC_INTRACELLULAR_PROTEIN_CONTAINING_COMPLEX	1.09085155622815e-08	1.72463631039671e-05	0.747739663149885	-0.419377648581231	-1.74637807393915	388	GO:0140535
GOBP_CELL_DIVISION	1.84952089644354e-08	2.37915700179416e-05	0.73376198835648	-0.411664130504282	-1.7209548490264	400	GO:0051301
GOBP_CHROMOSOME_ORGANIZATION	1.97032838891631e-08	2.37915700179416e-05	0.73376198835648	-0.378401462507405	-1.62687726871914	576	GO:0051276
GOBP_CHROMATIN_ORGANIZATION	8.35665095833412e-08	9.14667588354894e-05	0.704975715167238	-0.435077645248836	-1.76725312971065	287	GO:0006325
GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	1.15975164720889e-07	0.000117872187058109	0.704975715167238	-0.423265764462241	-1.7301749361396	318	GO:0009792
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	2.78095739821313e-07	0.000219834682328748	0.674962860011025	-0.366291442413754	-1.57451025590005	542	GO:0006974
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	2.76450503785359e-07	0.000219834682328748	0.674962860011025	-0.443624158500174	-1.78399799782262	253	GO:1901987
HP_ABNORMALITY_OF_THE_CEREBRAL_SUBCORTEX	2.66155314558106e-07	0.000219834682328748	0.674962860011025	-0.34616983682083	-1.50575458539872	649	HP:0010993
HP_ABNORMAL_PALATE_MORPHOLOGY	4.46824802224109e-07	0.00033462474267615	0.674962860011025	-0.355835694468558	-1.53014016301762	561	HP:0000174
HP_ABNORMALITY_OF_CENTRAL_NERVOUS_SYSTEM_ELECTROPHYSIOLOGY	9.41614145981617e-07	0.000669911384158621	0.659444398037935	-0.407568199804679	-1.66600831741141	318	HP:0030178
HP_ABNORMAL_JAW_MORPHOLOGY	1.30865132188371e-06	0.000886704745670632	0.643551836150722	-0.341330727895309	-1.48195965032316	632	HP:0030791
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	1.46727506874935e-06	0.000907732911010193	0.643551836150722	-0.44151182427813	-1.75655290765147	228	GO:0044772
GOCC_MICROTUBULE_CYTOSKELETON	1.43816425034176e-06	0.000907732911010193	0.643551836150722	-0.343203010895544	-1.49007265596017	659	GO:0015630
GOBP_REGULATION_OF_CELL_CYCLE_PROCESS	1.85702810471433e-06	0.00110098553758251	0.643551836150722	-0.382264559493351	-1.59332048845063	392	GO:0010564
GOBP_REGULATION_OF_CELL_CYCLE	2.44153968610838e-06	0.00133617954590908	0.627256739718528	-0.343222188793691	-1.48570186507494	612	GO:0051726
GOCC_CUL4_RING_E3_UBIQUITIN_LIGASE_COMPLEX	2.36423431404367e-06	0.00133617954590908	0.627256739718528	-0.808474254185416	-2.080907382789	21	GO:0080008
GOBP_ORGANELLE_FISSION	2.82552245748609e-06	0.00143586996598463	0.627256739718528	-0.410329676474511	-1.65975988414907	272	GO:0048285
HP_MOTOR_TICS	3.66420973669747e-06	0.0017978634601196	0.627256739718528	-0.999573144703945	-1.50349573688065	2	HP:0100034
GOBP_DNA_METABOLIC_PROCESS	7.2827811806878e-06	0.00304784392411784	0.610526878385931	-0.346518178332725	-1.48607045242422	552	GO:0006259
HP_ABNORMALITY_OF_FACIAL_SKELETON	7.1101736174888e-06	0.00304784392411784	0.610526878385931	-0.32621948724623	-1.42427562072679	712	HP:0011821
HP_DECREASED_HEAD_CIRCUMFERENCE	7.62032053604694e-06	0.00309798688306891	0.610526878385931	-0.316125290989008	-1.38557970826252	763	HP:0040195
GOCC_MICROTUBULE_ORGANIZING_CENTER	8.20709731543793e-06	0.00324385521392684	0.593325476396405	-0.358079916695531	-1.50180201077785	442	GO:0005815
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	1.17882135227727e-05	0.00439597805325636	0.593325476396405	-0.443202449080049	-1.73288231612071	184	GO:0001701
GOMF_HISTONE_BINDING	1.28460586765646e-05	0.00439597805325636	0.593325476396405	-0.482977254583418	-1.82324646125992	146	GO:0042393
HP_ABNORMALITY_OF_FINGER	1.27220875556434e-05	0.00439597805325636	0.593325476396405	-0.325350055407546	-1.41716732881919	652	HP:0001167
HP_ORAL_CLEFT	1.3154908817334e-05	0.00439597805325636	0.593325476396405	-0.395965421792773	-1.61026144504943	294	HP:0000202
GOCC_MITOCHONDRION	1.37779032289356e-05	0.00445558602373919	0.593325476396405	-0.323736128960316	-1.41453674587857	689	GO:0005739
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	1.8168606946419e-05	0.00550044911150204	0.575610261071129	-0.374389049495745	-1.54825751654731	340	GO:0000226
HP_ABNORMAL_HAIR_MORPHOLOGY	1.86090553749869e-05	0.00551642185272269	0.575610261071129	-0.33270068004563	-1.44088378535102	643	HP:0001595
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	1.91397422238224e-05	0.00555794677760753	0.575610261071129	-0.39418059334078	-1.59956913875056	282	GO:0010498
HP_HIGH_PALATE	1.96714705486198e-05	0.00559810708872623	0.575610261071129	-0.355054712956143	-1.49297064254826	417	HP:0000218
HP_DEEPLY_SET_EYE	2.03282832230652e-05	0.00567159101923518	0.575610261071129	-0.490496022543253	-1.80497998888223	127	HP:0000490
GOCC_UBIQUITIN_LIGASE_COMPLEX	2.10319528683075e-05	0.00575507033390667	0.575610261071129	-0.457353352927118	-1.76236960564911	170	GO:0000151
GOBP_SPINDLE_ORGANIZATION	3.14324180224262e-05	0.00828244214890929	0.557332238758646	-0.488118278057926	-1.78520666894747	118	GO:0007051
GOBP_CELL_CYCLE_G2_M_PHASE_TRANSITION	3.40224405153386e-05	0.00861955061364226	0.557332238758646	-0.530932645901944	-1.86960285597584	86	GO:0044839
