pathway	pval	padj	log2err	ES	NES	size	go_code
GOBP_VESICLE_MEDIATED_TRANSPORT	1.66723646159451e-18	5.94953331320001e-15	1.11466447751729	-0.370009514301685	-1.78746823198403	976	GO:0016192
GOCC_ENDOSOME	3.91707805007542e-17	7.98748172668236e-14	1.06720998682811	-0.413955009489791	-1.94061211249469	599	GO:0005768
GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	6.19312083563077e-17	1.10500758509742e-13	1.05746357275086	-0.412749072207742	-1.92611567738545	573	GO:0032101
GOCC_ENDOSOME_MEMBRANE	9.03251753923289e-17	1.43255728172234e-13	1.05746357275086	-0.466272858026516	-2.09616402605142	371	GO:0010008
GOCC_EARLY_ENDOSOME	1.68968069535629e-16	2.41185022455157e-13	1.04762648849882	-0.492721941511838	-2.16803005091755	308	GO:0005769
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	1.63390942221375e-15	2.12022028115265e-12	1.01754479730988	-0.408635089820239	-1.89578839799006	523	GO:1902533
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	6.09373318132884e-15	6.69091903309906e-12	0.996986217533181	-0.491807277985397	-2.1559559035908	272	GO:0001819
GOBP_REGULATION_OF_DEFENSE_RESPONSE	5.79007442797483e-15	6.69091903309906e-12	0.996986217533181	-0.451165878206037	-2.02523978892065	369	GO:0031347
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION	1.51589660640563e-14	1.54556486855957e-11	0.97599468306432	-0.647069983227274	-2.48839033165981	103	GO:0032757
GOMF_HYDROLASE_ACTIVITY_HYDROLYZING_N_GLYCOSYL_COMPOUNDS	3.82340264218691e-14	3.63834995430506e-11	0.965327754226083	-0.615181683534005	-2.42897645684949	119	GO:0016799
GOCC_VESICLE_MEMBRANE	4.16805303069279e-14	3.7184243100068e-11	0.965327754226083	-0.354768279647973	-1.6974465155115	829	GO:0012506
