pathway	pval	padj	log2err	ES	NES	size	go_code
GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	3.34053363626406e-25	1.19290456150989e-21	1.30309315086572	-0.466803812700059	-2.18632628980152	589	GO:0032101
GOCC_EARLY_ENDOSOME	1.72539955045109e-24	4.92912143572869e-21	1.27903397725049	-0.558910949378932	-2.4889657817841	311	GO:0005769
GOCC_ENDOSOME	8.81043126619966e-23	1.79783143151994e-19	1.23789667319529	-0.452109226603408	-2.11673713223431	606	GO:0005768
GOBP_VESICLE_MEDIATED_TRANSPORT	4.87081970862017e-22	8.69684858974132e-19	1.21254456769062	-0.388823742896067	-1.88347474695912	998	GO:0016192
GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	5.95983946839923e-21	7.73912245151042e-18	1.18665095279281	-0.596586836081389	-2.55050226735437	210	GO:0007249
GOBP_REGULATION_OF_DEFENSE_RESPONSE	7.58175889226325e-21	9.02482033475736e-18	1.1778932614942	-0.50651242480374	-2.31316977384166	381	GO:0031347
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1.30520844604562e-20	1.43412288025505e-17	1.1778932614942	-0.618419292960573	-2.58984976114151	184	GO:0002224
GOBP_REGULATION_OF_IMMUNE_RESPONSE	4.80144395400782e-20	4.8988446742177e-17	1.16017957183021	-0.453877500320564	-2.12131335025122	521	GO:0050776
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	6.07733352367539e-20	5.42553950326121e-17	1.15122052214226	-0.45025231162624	-2.10213092363683	530	GO:1902533
GOBP_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	5.89266788448328e-20	5.42553950326121e-17	1.15122052214226	-0.647121136762539	-2.63805759611825	152	GO:0043123
GOCC_VESICLE_MEMBRANE	2.04442465368478e-19	1.7177977501902e-16	1.14219120216838	-0.388957350783764	-1.86344274317017	849	GO:0012506
GOCC_CELL_LEADING_EDGE	3.12677287713103e-19	2.48126798760776e-16	1.13308993200902	-0.513616547147055	-2.30833537007696	335	GO:0031252
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	4.09808049705403e-19	3.08089377999577e-16	1.13308993200902	-0.409287494542154	-1.94743620622059	729	GO:0002682
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION	7.42251990091583e-19	5.30116371323409e-16	1.12391496374483	-0.53467070503467	-2.35720752251119	273	GO:0001819
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	1.03295048499607e-18	7.02603082270662e-16	1.11466447751729	-0.535826498223612	-2.35259965788157	271	GO:0032103
GOBP_POSITIVE_REGULATION_OF_SIGNALING	1.28698925312968e-18	8.35607022350198e-16	1.11466447751729	-0.380964936979351	-1.83587825993702	886	GO:0023056
GOBP_INTERFERON_BETA_PRODUCTION	2.02615671482075e-18	1.25833141367389e-15	1.10533657731401	-0.649238235192713	-2.61290591187413	134	GO:0032608
GOBP_CYTOKINE_PRODUCTION	4.11948102684067e-18	2.40632863798189e-15	1.0959292864312	-0.462448641170135	-2.14188428158285	441	GO:0001816
GOBP_INTERFERON_ALPHA_PRODUCTION	4.21158050612905e-18	2.40632863798189e-15	1.0959292864312	-0.667696504888177	-2.66373703665597	120	GO:0032607
GOCC_ENDOSOME_MEMBRANE	5.60200214817205e-18	3.07765379555729e-15	1.0959292864312	-0.48697137356954	-2.22025191634876	375	GO:0010008
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	1.09741123658802e-17	5.80571189015676e-15	1.0864405425825	-0.49817332714218	-2.24050968714202	326	GO:0002764
GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS	2.08601920008637e-17	1.02747235358737e-14	1.07686819261983	-0.546559031798717	-2.36424814731742	229	GO:0002831
GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	2.32481972272608e-17	1.10692416398064e-14	1.07686819261983	-0.588206857509573	-2.46525579062849	182	GO:0062207
GOBP_CELL_MIGRATION	5.24319777798736e-17	2.41593022776682e-14	1.06720998682811	-0.371382756283355	-1.78624348502259	914	GO:0016477
GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	6.66601174142358e-17	2.97554099107795e-14	1.05746357275086	-0.366520261069547	-1.77099761432769	967	GO:0031226
GOMF_PROTEIN_TYROSINE_PHOSPHATASE_ACTIVITY	8.74657785770558e-17	3.78594297331717e-14	1.05746357275086	-0.52759342181385	-2.28963799077196	248	GO:0004725
GOBP_IMMUNE_RESPONSE	9.59327626713038e-17	4.03030465293207e-14	1.05746357275086	-0.373328454572468	-1.79802328698094	883	GO:0006955
GOBP_INTERLEUKIN_8_PRODUCTION	1.15772155150503e-16	4.7248270404851e-14	1.04762648849882	-0.656556964813984	-2.59616641028344	118	GO:0032637
GOCC_RUFFLE	1.75334062875699e-16	6.9568659836569e-14	1.04762648849882	-0.627367560370634	-2.52017610529065	131	GO:0001726
GOBP_TYPE_I_INTERFERON_PRODUCTION	1.80396201173947e-16	6.96426847991531e-14	1.04762648849882	-0.603307634906183	-2.47785802087855	156	GO:0032606
GOBP_CELL_MORPHOGENESIS	1.87225752155283e-16	7.01984626611042e-14	1.04762648849882	-0.402703088176628	-1.90368808317048	649	GO:0000902
GOBP_PEPTIDYL_TYROSINE_DEPHOSPHORYLATION	1.91664802841155e-16	7.01984626611042e-14	1.04762648849882	-0.529085122442998	-2.29246986320612	247	GO:0035335
GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	2.88883569022857e-16	1.0064421707128e-13	1.03769615548758	-0.373642297930752	-1.78835122041339	839	GO:0051174
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE	4.31738999865039e-16	1.40158178956187e-13	1.03769615548758	-0.564876778263497	-2.37251773346937	192	GO:0031349
GOMF_MOLECULAR_TRANSDUCER_ACTIVITY	4.23746843120742e-16	1.40158178956187e-13	1.03769615548758	-0.381278172212865	-1.82309718180905	802	GO:0060089
GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	5.77568385342096e-16	1.83333040360589e-13	1.02766987054358	-0.430613695307263	-1.99730982252713	496	GO:0010562
GOBP_LOCOMOTION	6.25634581966143e-16	1.94273138452269e-13	1.02766987054358	-0.350634095764986	-1.70045309215649	1041	GO:0040011
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	7.47324151528746e-16	2.2712294000929e-13	1.02766987054358	-0.375840705076476	-1.79882408587721	787	GO:2000026
GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	7.63897177784215e-16	2.27323068488953e-13	1.02766987054358	-0.545747570382394	-2.32954479737826	217	GO:0002221
GOMF_NADPLUS_NUCLEOSIDASE_ACTIVITY	8.06847802484119e-16	2.35204367564962e-13	1.02766987054358	-0.704112237332998	-2.65330474309625	86	GO:0003953
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION	8.40669075686369e-16	2.40162341542082e-13	1.02766987054358	-0.665950744638347	-2.56800178991025	103	GO:0032757
GOBP_INFLAMMATORY_RESPONSE	9.09554672282197e-16	2.54746645860371e-13	1.01754479730988	-0.452371693615569	-2.06170801315567	395	GO:0006954
