pathway	pval	padj	log2err	ES	NES	size	go_code
GOCC_INTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	3.56312316329045e-30	3.91696870204491e-27	1.42456271623384	-0.446434725434976	-1.8655043700259	1056	GO:0031226
GOBP_BIOLOGICAL_ADHESION	1.83728535140247e-19	7.95655907784629e-17	1.14219120216838	-0.399970050640151	-1.67262573335346	1139	GO:0022610
GOBP_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	2.64071123547543e-18	9.93115901741563e-16	1.10533657731401	-0.582714601609819	-2.2634121529377	193	GO:0002224
GOBP_CELL_CELL_ADHESION	5.14665915817988e-16	1.44273496702314e-13	1.02766987054358	-0.430754755590226	-1.78830976468473	641	GO:0098609
GOMF_SIGNALING_RECEPTOR_BINDING	9.09453958941509e-16	2.36309209586056e-13	1.01754479730988	-0.420586664757478	-1.75043974248783	699	GO:0005102
GOCC_CELL_SURFACE	5.80518266915687e-15	1.48146188437359e-12	0.996986217533181	-0.421796601598863	-1.75209184762663	659	GO:0009986
GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	9.16708579968016e-15	2.2587383304005e-12	0.986546283587582	-0.53732488595171	-2.11595599494537	227	GO:0002221
GOMF_MOLECULAR_TRANSDUCER_ACTIVITY	9.07490002347411e-15	2.2587383304005e-12	0.986546283587582	-0.398044765118397	-1.65975646383925	881	GO:0060089
GOBP_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS	1.09857629098614e-14	2.66097521601405e-12	0.986546283587582	-0.427709476354615	-1.77132058057264	612	GO:0032101
GOBP_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	2.27273836953713e-14	5.23866194178308e-12	0.97599468306432	-0.55072633312191	-2.13317425022145	191	GO:0062207
GOBP_CELL_MORPHOGENESIS	3.80251466931608e-14	8.4908964279994e-12	0.965327754226083	-0.414074223579164	-1.72191297216037	685	GO:0000902
GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY	5.66056154130275e-14	1.22568310585996e-11	0.965327754226083	-0.478671693101613	-1.93049650519519	340	GO:0002764
GOBP_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING	1.32927315156723e-13	2.6384225845899e-11	0.943632225232838	-0.571560278520331	-2.17793567207363	157	GO:0043123
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	1.99759616923917e-13	3.91063655542424e-11	0.943632225232838	-0.430802119531773	-1.78103230726873	545	GO:0000904
GOCC_PLASMA_MEMBRANE_REGION	2.16297229707332e-13	4.17716717533443e-11	0.943632225232838	-0.391529629555146	-1.63306126232848	863	GO:0098590
GOBP_CELL_MIGRATION	2.31086435300964e-13	4.40327499584809e-11	0.932595211336209	-0.383494233272	-1.60128425371586	965	GO:0016477
GOBP_INTERFERON_BETA_PRODUCTION	2.39574450925113e-13	4.5049453660142e-11	0.932595211336209	-0.594410937576304	-2.24219387036119	136	GO:0032608
GOBP_INTERFERON_ALPHA_PRODUCTION	2.85672451562864e-13	5.23403205805754e-11	0.932595211336209	-0.60609234507648	-2.26905646733626	123	GO:0032607
GOBP_LOCOMOTION	1.14259674280808e-12	2.04110625643379e-10	0.910119734774459	-0.371252865724548	-1.5525255528947	1099	GO:0040011
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	1.84619546525821e-12	3.17879269807291e-10	0.898671232061694	-0.41146497819765	-1.70469949897102	619	GO:0051093
GOBP_POSITIVE_REGULATION_OF_SIGNALING	2.74676203073042e-12	4.61811484484335e-10	0.898671232061694	-0.379889703033059	-1.58564640879774	921	GO:0023056
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	3.40895463256563e-12	5.66481054116225e-10	0.898671232061694	-0.386964873577456	-1.6122847426799	816	GO:2000026
GOMF_NADPLUS_NUCLEOSIDASE_ACTIVITY	4.36420693307034e-12	7.08737287278502e-10	0.887074988399873	-0.637057771815862	-2.26044221478433	88	GO:0003953
GOBP_NIK_NF_KAPPAB_SIGNALING	5.55781023763358e-12	8.82518512289128e-10	0.887074988399873	-0.576059383688515	-2.16163284682681	126	GO:0038061
GOCC_SYNAPTIC_MEMBRANE	7.37367294867483e-12	1.13308774311303e-09	0.875325132024659	-0.470372050321889	-1.88848180865252	322	GO:0097060
GOBP_TYPE_I_INTERFERON_PRODUCTION	7.86411773765873e-12	1.19559687860512e-09	0.875325132024659	-0.553389101425267	-2.10815543932465	158	GO:0032606
GOBP_REGULATION_OF_IMMUNE_RESPONSE	1.37708222451481e-11	2.00815123168787e-09	0.875325132024659	-0.412411011368344	-1.70582174272083	547	GO:0050776
GOBP_IMMUNE_RESPONSE	2.13263323403275e-11	2.98798642623157e-09	0.863415391606693	-0.370851902045774	-1.54747323155814	931	GO:0006955
GOBP_POSITIVE_REGULATION_OF_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY	2.40697771009305e-11	3.33962315096503e-09	0.863415391606693	-0.586664179122718	-2.18146210134631	119	GO:0062208
GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	2.69609670090446e-11	3.66951599548816e-09	0.863415391606693	-0.394603004130651	-1.63936096664048	658	GO:0051270
GOBP_PEPTIDYL_TYROSINE_DEPHOSPHORYLATION	3.30299229814114e-11	4.45311914459764e-09	0.851339057116899	-0.475987252119064	-1.88999355382945	260	GO:0035335
GOBP_CELLULAR_COMPONENT_MORPHOGENESIS	4.27088533980694e-11	5.67184510455476e-09	0.851339057116899	-0.422371871269862	-1.74038238459529	494	GO:0032989
GOCC_SYNAPSE	4.28632895732919e-11	5.67184510455476e-09	0.851339057116899	-0.389185697890668	-1.61899449150738	710	GO:0045202
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM	4.47720673507519e-11	5.8700698578862e-09	0.851339057116899	-0.490271454881428	-1.94213770560739	241	GO:0042742
GOMF_PROTEIN_TYROSINE_PHOSPHATASE_ACTIVITY	5.06865910894305e-11	6.52578444377524e-09	0.851339057116899	-0.476527222866218	-1.89283699964647	261	GO:0004725
GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	5.33482654044082e-11	6.80714340084284e-09	0.851339057116899	-0.550678939698312	-2.07957249855624	139	GO:0070374
