pathway	pval	padj	log2err	ES	NES	size	go_code
GOBP_CILIUM_ORGANIZATION	2.68886861007677e-08	0.000382572225841723	0.73376198835648	-0.509524302734933	-1.91662620758744	214	GO:0044782
GOCC_CILIUM	2.07400718264953e-07	0.000983632473157915	0.690132458796796	-0.441432027767893	-1.74221650966075	347	GO:0005929
GOMF_CYTOSKELETAL_PROTEIN_BINDING	1.49280500380163e-07	0.000983632473157915	0.690132458796796	-0.404747620944037	-1.64765221954824	499	GO:0008092
GOBP_CELL_PROJECTION_ORGANIZATION	4.87257364439071e-07	0.00173317444530978	0.659444398037935	-0.364676272851786	-1.53150373678057	847	GO:0030030
GOBP_CILIUM_MOVEMENT	9.03317544652199e-06	0.020715843733229	0.593325476396405	-0.584609928569639	-1.92601574837815	81	GO:0003341
GOBP_NEURON_DEVELOPMENT	1.01919388622859e-05	0.020715843733229	0.593325476396405	-0.362996808840017	-1.50125988214176	614	GO:0048666
GOCC_SUPRAMOLECULAR_POLYMER	8.37144118556311e-06	0.020715843733229	0.593325476396405	-0.397967603493332	-1.58393584327506	392	GO:0099081
GOBP_NEUROGENESIS	4.82816360168477e-05	0.0603508522632469	0.557332238758646	-0.32781344947988	-1.38753504832045	944	GO:0022008
GOBP_POSITIVE_REGULATION_OF_T_HELPER_17_CELL_DIFFERENTIATION	5.09003533285749e-05	0.0603508522632469	0.557332238758646	-0.994703771535128	-1.54505036083948	3	GO:2000321
GOBP_POSITIVE_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE	5.09003533285749e-05	0.0603508522632469	0.557332238758646	-0.994703771535128	-1.54505036083948	3	GO:2000318
GOBP_NEURON_DIFFERENTIATION	5.88888638257769e-05	0.0638313272004118	0.557332238758646	-0.343154528994012	-1.42989240037533	732	GO:0030182
GOBP_VESICLE_MEDIATED_TRANSPORT	6.51930415160885e-05	0.0638313272004118	0.538434096309916	-0.330439764949102	-1.39417509847351	903	GO:0016192
GOBP_EXTRACELLULAR_TRANSPORT	0.000107009208464132	0.07719666729752	0.538434096309916	-0.735117679568499	-1.9744228904726	26	GO:0006858
GOCC_SITE_OF_POLARIZED_GROWTH	0.000105862369825913	0.07719666729752	0.538434096309916	-0.513934941873401	-1.77221061946299	104	GO:0030427
GOMF_UBIQUITIN_LIKE_PROTEIN_TRANSFERASE_ACTIVITY	0.000108513729684453	0.07719666729752	0.538434096309916	-0.394061537215598	-1.53096785080859	313	GO:0019787
HP_CONE_SHAPED_EPIPHYSIS	0.000103268836931457	0.07719666729752	0.538434096309916	-0.61734993400983	-1.88222824435511	51	HP:0010579
GOBP_PHOTORECEPTOR_CELL_MAINTENANCE	0.000126239401006287	0.0855301998817836	0.518848077743792	-0.645146415504813	-1.89096771380781	42	GO:0045494
HP_ABNORMALITY_OF_FACIAL_SOFT_TISSUE	0.000134186529881488	0.0867820885069915	0.518848077743792	-0.409775850219197	-1.55975581986495	247	HP:0011799
GOBP_REGULATION_OF_SYSTEM_PROCESS	0.000150050138267486	0.0928223203160781	0.518848077743792	-0.437863832695583	-1.63980864461415	198	GO:0044057
GOBP_LAYER_FORMATION_IN_CEREBRAL_CORTEX	0.000202227612284453	0.095623240003722	0.518848077743792	-0.912033416670769	-1.77950158840967	7	GO:0021819
GOBP_MICROTUBULE_BASED_MOVEMENT	0.00021222200392563	0.095623240003722	0.518848077743792	-0.435065146925688	-1.60845503676574	186	GO:0007018
GOBP_ORGANELLE_ASSEMBLY	0.00016633039435414	0.095623240003722	0.518848077743792	-0.362188183929022	-1.46620373394458	480	GO:0070925
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	0.000186600445194053	0.095623240003722	0.518848077743792	-0.354928324313166	-1.45678874782366	556	GO:0032446
