pathway	pval	padj	log2err	ES	NES	size	go_code
GOBP_RIBOSOME_BIOGENESIS	4.12014959205613e-14	5.87492130331283e-10	0.965327754226083	-0.559837891242441	-2.26634835193012	182	GO:0042254
GOBP_RRNA_METABOLIC_PROCESS	1.3747450579828e-12	9.80124489088836e-09	0.910119734774459	-0.568829491178455	-2.25423054742016	151	GO:0016072
GOBP_NCRNA_PROCESSING	3.3777641688949e-09	1.13202120709856e-05	0.774939030136436	-0.471941603829402	-1.94410965096696	223	GO:0034470
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS_BY_VEGF_ACTIVATED_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	3.20617033606901e-09	1.13202120709856e-05	0.774939030136436	-0.987430533329454	-1.99137369192888	6	GO:0038033
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	3.96949718458013e-09	1.13202120709856e-05	0.761460801445585	-0.466141256500908	-1.92832686899369	234	GO:0022613
GOBP_POSITIVE_REGULATION_OF_CELL_MIGRATION_BY_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_SIGNALING_PATHWAY	1.51819247856649e-07	0.000309255807883993	0.690132458796796	-0.955439892375478	-2.12081820409032	8	GO:0038089
GOBP_NCRNA_METABOLIC_PROCESS	3.06970615236664e-07	0.00054713675033245	0.674962860011025	-0.420755386739625	-1.76633904674628	281	GO:0034660
GOCC_PRERIBOSOME	3.53373913243799e-07	0.000559862069882592	0.674962860011025	-0.629080269609437	-2.18439723141155	58	GO:0030684
GOMF_PROTEIN_SERINE_THREONINE_KINASE_INHIBITOR_ACTIVITY	7.68125899556454e-07	0.00109527072017755	0.659444398037935	-0.871011761937441	-2.19849366436357	13	GO:0030291
GOBP_AXO_DENDRITIC_PROTEIN_TRANSPORT	1.42763844150258e-06	0.00145404975267038	0.643551836150722	-0.953207368244054	-2.03249021517114	7	GO:0099640
GOBP_ENDOTHELIAL_CELL_CHEMOTAXIS	1.34891752944973e-06	0.00145404975267038	0.643551836150722	-0.754113673980368	-2.19839697169481	24	GO:0035767
GOBP_PROTEIN_LOCALIZATION_TO_PRESYNAPSE	1.42763844150258e-06	0.00145404975267038	0.643551836150722	-0.953207368244054	-2.03249021517114	7	GO:1905383
GOBP_PROTEIN_TRANSPORT_ALONG_MICROTUBULE	1.42763844150258e-06	0.00145404975267038	0.643551836150722	-0.953207368244054	-2.03249021517114	7	GO:0098840
HP_DISTAL_LOWER_LIMB_MUSCLE_WEAKNESS	1.55607266014277e-06	0.00147612780404783	0.643551836150722	-0.739321043148893	-2.18131414276298	25	HP:0009053
HP_LIMB_FASCICULATIONS	1.65636053473352e-06	0.00147612780404783	0.643551836150722	-0.934640660422349	-2.0746495333981	8	HP:0007289
HP_MUSCLE_FIBRILLATION	2.91726565039373e-06	0.0021893311004718	0.627256739718528	-0.730216229882125	-2.1544510389327	25	HP:0010546
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING	3.80581648779522e-06	0.0027133568649736	0.627256739718528	-0.631893964391003	-2.08301840900744	43	GO:0061077
GOBP_POSITIVE_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS	1.76794594420708e-05	0.00787785663076522	0.575610261071129	-0.731794697040543	-2.05075166291405	21	GO:2001028
GOBP_REGULATION_OF_ENDOTHELIAL_CELL_CHEMOTAXIS	1.76794594420708e-05	0.00787785663076522	0.575610261071129	-0.731794697040543	-2.05075166291405	21	GO:2001026
GOCC_NUCLEOLUS	2.01133252533623e-05	0.00819416870821979	0.575610261071129	-0.34422644155586	-1.51020771793513	533	GO:0005730
GOBP_MATURATION_OF_SSU_RRNA	2.26482517170927e-05	0.00858053219310724	0.575610261071129	-0.629565949907984	-2.0553891280812	40	GO:0030490
GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	2.28669768804317e-05	0.00858053219310724	0.575610261071129	-0.714218044093283	-2.08209297807447	24	GO:1902176
GOCC_RIBONUCLEOPROTEIN_COMPLEX	2.49412769513521e-05	0.00888572330577237	0.575610261071129	-0.385274762493703	-1.61739071718565	281	GO:1990904
HP_ULNAR_CLAW	3.19005121348281e-05	0.0101082089451225	0.557332238758646	-0.844888665408172	-2.03089524948131	11	HP:0001178
GOCC_SPINDLE	3.46195960538449e-05	0.0107313221767777	0.557332238758646	-0.413661856078073	-1.68569617655638	203	GO:0005819
GOCC_PROTEASOME_COMPLEX	3.56347870634754e-05	0.0107919878134687	0.557332238758646	-0.678865230328547	-2.03963587740974	27	GO:0000502
GOCC_90S_PRERIBOSOME	3.90488593786302e-05	0.0113632180791814	0.557332238758646	-0.690732417826062	-2.03795686032627	25	GO:0030686
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN	7.23098021128583e-05	0.0166300881988266	0.538434096309916	-0.522118486801305	-1.89828681273158	73	GO:0035966
GOMF_PROTEIN_FOLDING_CHAPERONE	7.60262475403898e-05	0.0172072740266416	0.538434096309916	-0.775515999677334	-2.03601115415847	15	GO:0044183
HP_DISTAL_LOWER_LIMB_AMYOTROPHY	9.64163194565988e-05	0.020519407449726	0.538434096309916	-0.720786445166854	-1.98370705822085	19	HP:0008944
HP_CHRONIC_AXONAL_NEUROPATHY	0.000107762020834209	0.0220004568084044	0.538434096309916	-0.851213450291852	-1.94552941133446	9	HP:0007267
GOBP_NEGATIVE_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.00013398495836684	0.022580475941689	0.518848077743792	-0.524259353770293	-1.86078621054846	64	GO:2001243
GOBP_TRANSLATIONAL_INITIATION	0.000133551699147714	0.022580475941689	0.518848077743792	-0.558851712508802	-1.91613453380076	51	GO:0006413
HP_EMG_CHRONIC_DENERVATION_SIGNS	0.000138990773705674	0.022580475941689	0.518848077743792	-0.678654493249568	-1.978417888794	24	HP:0003444
GOMF_KINASE_INHIBITOR_ACTIVITY	0.000146879751352521	0.0230149271926989	0.518848077743792	-0.638657557973084	-1.94074132455314	28	GO:0019210
HP_HYPOREFLEXIA_OF_LOWER_LIMBS	0.000154549105457953	0.0236958676852146	0.518848077743792	-0.800245163172761	-1.98120476103814	12	HP:0002600
HP_ABNORMAL_MEAN_CORPUSCULAR_VOLUME	0.000158191563569809	0.0239963138823607	0.518848077743792	-0.700446433364146	-1.93968696463168	20	HP:0025065
GOBP_ANTEROGRADE_AXONAL_TRANSPORT	0.00017217521169729	0.0250514933019556	0.518848077743792	-0.693376732089935	-1.97327151941159	22	GO:0008089
GOCC_SNO_S_RNA_CONTAINING_RIBONUCLEOPROTEIN_COMPLEX	0.000179987461726825	0.0258825830061013	0.518848077743792	-0.744634185842081	-1.96789091276451	16	GO:0005732
GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_CELL_DEATH	0.000240855625538472	0.0306639318263667	0.518848077743792	-0.544580632392423	-1.85199897657555	50	GO:1903202
HP_ABNORMAL_BLOOD_SODIUM_CONCENTRATION	0.000249871910188032	0.030981944064097	0.49849310876659	-0.546615852293492	-1.89380647551467	53	HP:0010931
GOBP_PROTEIN_FOLDING	0.000266250071366596	0.0313757005588124	0.49849310876659	-0.43430725370544	-1.69174840104536	127	GO:0006457
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.000274872159169919	0.0318650578666981	0.49849310876659	-0.454062953999146	-1.72514457275535	105	GO:2001242
GOBP_MATURATION_OF_SSU_RRNA_FROM_TRICISTRONIC_RRNA_TRANSCRIPT_SSU_RRNA_5_8S_RRNA_LSU_RRNA	0.000284971743190906	0.0326280834537701	0.49849310876659	-0.62681303209033	-1.90474838817679	28	GO:0000462
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OXIDATIVE_STRESS	0.000320658625286829	0.0351713179843453	0.49849310876659	-0.56864440240112	-1.87451823427708	43	GO:0008631
GOMF_SNORNA_BINDING	0.000463822366831841	0.0446867778963191	0.49849310876659	-0.661559934262605	-1.97813283277138	26	GO:0030515
GOCC_SMALL_SUBUNIT_PROCESSOME	0.000490970226784455	0.0457564997628728	0.477270815362862	-0.638535505194843	-1.88395358287849	25	GO:0032040
HP_IMPAIRED_PAIN_SENSATION	0.000522951867496103	0.0481081979266253	0.477270815362862	-0.581883795614558	-1.83906404152559	34	HP:0007328
GOCC_AXON_CYTOPLASM	0.000526325846587611	0.0481082067082869	0.477270815362862	-0.611010436050019	-1.87111406036139	29	GO:1904115
HP_EMG_NEUROPATHIC_CHANGES	0.000530949219803786	0.0482216874215426	0.477270815362862	-0.598124020181362	-1.8882093390523	33	HP:0003445
GOBP_MATURATION_OF_LSU_RRNA	0.00054054352053114	0.0487823421471742	0.477270815362862	-0.735921964007085	-1.93206243060368	15	GO:0000470
GOBP_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	0.00057266811470993	0.0503762501412065	0.477270815362862	-0.575260631073271	-1.86581622317693	38	GO:0035924
HP_GINGIVITIS	0.000609805434701873	0.0514434560610875	0.477270815362862	-0.718967108966023	-1.90005893794791	16	HP:0000230
GOBP_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	0.000657778261603831	0.0540170746244332	0.477270815362862	-0.619547711789401	-1.94800486044793	32	GO:0042273
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	0.000659529742534596	0.0540170746244332	0.477270815362862	-0.527611009199942	-1.79428901974642	50	GO:0042274
GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION	0.000684286520357341	0.0551256581569227	0.477270815362862	-0.617867894118415	-1.94272311551452	32	GO:0006446
GOBP_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	0.000752705667319013	0.0583486810330482	0.477270815362862	-0.584969753295071	-1.87704961641424	37	GO:1902175
GOCC_BOX_H_ACA_RNP_COMPLEX	0.000750877418853921	0.0583486810330482	0.477270815362862	-0.943237031218178	-1.69878162991793	4	GO:0072588
GOCC_BOX_H_ACA_SNORNP_COMPLEX	0.000750877418853921	0.0583486810330482	0.477270815362862	-0.943237031218178	-1.69878162991793	4	GO:0031429
GOMF_BOX_H_ACA_SNORNA_BINDING	0.000750877418853921	0.0583486810330482	0.477270815362862	-0.943237031218178	-1.69878162991793	4	GO:0034513
GOBP_MITOTIC_NUCLEAR_DIVISION	0.000763075688177973	0.0584299884581645	0.477270815362862	-0.395811713018384	-1.57607774629038	157	GO:0140014
GOCC_SPINDLE_MICROTUBULE	0.0007986829209733	0.060525845459588	0.477270815362862	-0.549018844899193	-1.80982320652357	43	GO:0005876
GOBP_RESPONSE_TO_NICOTINE	0.000940857292883831	0.0658730834247065	0.477270815362862	-0.692917800524894	-1.87790156907035	18	GO:0035094
HP_OSTEOMYELITIS	0.000983301200278453	0.0661362821451437	0.45505986738723	-0.690821402803886	-1.87222004585548	18	HP:0002754
GOMF_EXTRACELLULAR_MATRIX_STRUCTURAL_CONSTITUENT	0.00100275102991894	0.0664460215231221	0.45505986738723	-0.373217743093897	-1.53411944037749	218	GO:0005201
GOBP_RNA_PHOSPHODIESTER_BOND_HYDROLYSIS_ENDONUCLEOLYTIC	0.00105371924955726	0.0675091958422874	0.45505986738723	-0.543276310086272	-1.79089312267444	43	GO:0090502
HP_INCREASED_MEAN_CORPUSCULAR_VOLUME	0.00107077013950639	0.067858272974318	0.45505986738723	-0.701954230999987	-1.89164925781634	17	HP:0005518
