pathway	pval	padj	log2err	ES	NES	size	go_code
GOMF_STEROL_BINDING	8.56783433529615e-09	2.43857700851199e-05	0.747739663149885	-0.778354803291587	-2.15996224638718	51	GO:0032934
GOBP_LIPID_METABOLIC_PROCESS	1.77267744068399e-07	0.000234472069726575	0.690132458796796	-0.44133697447889	-1.54038798934567	626	GO:0006629
GOBP_XENOBIOTIC_METABOLIC_PROCESS	3.78614335939146e-07	0.000384861472482141	0.674962860011025	-0.752859844495292	-2.05753544681158	46	GO:0006805
GOMF_STEROID_BINDING	6.03753151163788e-07	0.000480557248703527	0.659444398037935	-0.700924208119558	-1.99902458182604	61	GO:0005496
GOBP_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	2.24844467966327e-06	0.00116336489429525	0.627256739718528	-0.809300627238158	-2.05033210211664	28	GO:0035914
GOBP_CELLULAR_RESPONSE_TO_EXTRACELLULAR_STIMULUS	2.84412236589597e-06	0.00134915684630218	0.627256739718528	-0.570404018706306	-1.80831289744196	138	GO:0031668
GOCC_ENDOPLASMIC_RETICULUM	2.97338958811313e-06	0.00136497765253026	0.627256739718528	-0.401966206474446	-1.41471643957539	882	GO:0005783
GOBP_SMALL_MOLECULE_BIOSYNTHETIC_PROCESS	3.33981414566585e-06	0.00148527797209283	0.627256739718528	-0.489926308333128	-1.64707888621555	266	GO:0044283
GOCC_PIGMENT_GRANULE	4.08199506692493e-06	0.00161955108816185	0.610526878385931	-0.670461102254272	-1.96721028559106	71	GO:0048770
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS	4.32941588477285e-06	0.00166518695827574	0.610526878385931	-0.445073846238878	-1.5370036600929	451	GO:0043603
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	5.33114880899964e-06	0.00187303145223081	0.610526878385931	-0.423951453445319	-1.47915880881435	613	GO:1901566
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	6.93506897064559e-06	0.00219317703380572	0.610526878385931	-0.491083637567812	-1.64925517834132	262	GO:0043604
GOBP_RESPONSE_TO_EXTRACELLULAR_STIMULUS	1.00994111283262e-05	0.00293315754626961	0.593325476396405	-0.489974384094172	-1.64499039222574	259	GO:0009991
GOMF_CHOLESTEROL_BINDING	1.71861088307442e-05	0.00461463235415699	0.575610261071129	-0.708203038153551	-1.9354902047106	46	GO:0015485
GOMF_GUANYL_NUCLEOTIDE_BINDING	1.95799591412818e-05	0.00516004441739966	0.575610261071129	-0.507890141076359	-1.68531651451373	215	GO:0019001
GOBP_PEPTIDE_METABOLIC_PROCESS	2.07452715505968e-05	0.00520160336490155	0.575610261071129	-0.467440878095804	-1.59174296594931	315	GO:0006518
GOBP_CELLULAR_LIPID_METABOLIC_PROCESS	2.67262308181847e-05	0.00585139985805518	0.575610261071129	-0.430096679611384	-1.48965552533784	477	GO:0044255
HP_MUSCLE_FIBRILLATION	2.97327416788834e-05	0.00622245068870866	0.575610261071129	-0.784355952795357	-1.94042898776861	25	HP:0010546
GOBP_VESICLE_ORGANIZATION	3.57959900945095e-05	0.00717482725401359	0.557332238758646	-0.522037401698285	-1.68682584233593	160	GO:0016050
HP_DILATATION_OF_THE_VENTRICULAR_CAVITY	3.8808669112987e-05	0.0073638156019589	0.557332238758646	-0.998149507066969	-1.42111666574102	2	HP:0006698
GOBP_RESPONSE_TO_TUMOR_NECROSIS_FACTOR	4.59993032315636e-05	0.00818270105360477	0.557332238758646	-0.555298054760682	-1.74396386400184	122	GO:0034612
GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS	5.06879374452492e-05	0.00879682972906514	0.557332238758646	-0.650121143923438	-1.84686055284567	60	GO:0006633
GOBP_MYOBLAST_FATE_COMMITMENT	5.87706634687561e-05	0.00990954256220097	0.557332238758646	-0.985357928306459	-1.61785695755239	4	GO:0048625
GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS	5.91884700855233e-05	0.00990954256220097	0.557332238758646	-0.476815501572064	-1.59770239178317	251	GO:0009410
GOBP_LIPID_BIOSYNTHETIC_PROCESS	6.55786520897444e-05	0.0104859527852714	0.538434096309916	-0.470775713928672	-1.58402493105538	265	GO:0008610
GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	7.00763210253611e-05	0.0110806236056879	0.538434096309916	-0.388790817263402	-1.36747684970487	829	GO:0044281
GOBP_ORGANIC_ACID_BIOSYNTHETIC_PROCESS	7.16681226835609e-05	0.0112077918012061	0.538434096309916	-0.563710657966465	-1.756819433925	115	GO:0016053
GOCC_INTEGRAL_COMPONENT_OF_LYSOSOMAL_MEMBRANE	7.25461268083422e-05	0.0112217818544513	0.538434096309916	-0.997224260600453	-1.41979934487458	2	GO:1905103
GOBP_RIBOSOME_BIOGENESIS	7.47069994248629e-05	0.0114317775141422	0.538434096309916	-0.497174125483511	-1.62772370036769	181	GO:0042254
GOMF_G_PROTEIN_ACTIVITY	8.15938604726715e-05	0.0123527896636871	0.538434096309916	-0.690854949817655	-1.86796698252189	44	GO:0003925
GOCC_NUCLEAR_OUTER_MEMBRANE_ENDOPLASMIC_RETICULUM_MEMBRANE_NETWORK	8.292520860343e-05	0.0124221962487938	0.538434096309916	-0.419518846777143	-1.45696565150185	515	GO:0042175
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_STRESS	9.45504010990892e-05	0.0135372784382719	0.538434096309916	-0.800197467809896	-1.90367825591291	20	GO:0036003
GOBP_NCRNA_PROCESSING	0.000102948151938894	0.0141816541530746	0.538434096309916	-0.480481383060943	-1.59168467871903	221	GO:0034470
GOMF_OXYSTEROL_BINDING	0.000101904141394845	0.0141816541530746	0.538434096309916	-0.983440222073322	-1.61470828001837	4	GO:0008142
GOBP_CELLULAR_RESPONSE_TO_LOW_DENSITY_LIPOPROTEIN_PARTICLE_STIMULUS	0.000106816399079512	0.0144771826219098	0.538434096309916	-0.917071720323427	-1.81902961471712	9	GO:0071404
GOBP_NEGATIVE_REGULATION_OF_FAT_CELL_DIFFERENTIATION	0.000115010506823875	0.0152963974075754	0.538434096309916	-0.669696565278906	-1.85843177355675	51	GO:0045599
GOBP_CELLULAR_RESPONSE_TO_STARVATION	0.000118513645376155	0.0155424454007114	0.538434096309916	-0.591473910489089	-1.78787246845597	90	GO:0009267
GOBP_POSITIVE_REGULATION_OF_ANION_TRANSPORT	0.000129234091330021	0.0158782345322257	0.518848077743792	-0.816603050879176	-1.91031962970057	19	GO:1903793
GOBP_POSITIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS	0.000128767744482234	0.0158782345322257	0.518848077743792	-0.796137918564345	-1.89402054523718	20	GO:1902043
GOBP_CELLULAR_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE	0.000138399481147284	0.0164130251350583	0.518848077743792	-0.815461246463656	-1.90764855054419	19	GO:0071243
GOMF_ALCOHOL_BINDING	0.000141907645132164	0.0166899809741804	0.518848077743792	-0.611977025860488	-1.77438753740511	66	GO:0043178
