pathway	pval	padj	log2err	ES	NES	size	go_code
GOBP_RIBOSOME_BIOGENESIS	1.94261122230955e-24	2.77288325872465e-20	1.27903397725049	0.669710562991741	2.6281328111795	182	GO:0042254
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	1.83977084728925e-23	1.31304445371033e-19	1.25451347943706	0.626341494274591	2.52950534601071	234	GO:0022613
GOBP_NCRNA_PROCESSING	2.09692500176848e-21	9.97716915841441e-18	1.19534448258848	0.614610738652162	2.47211275446368	223	GO:0034470
GOBP_NCRNA_METABOLIC_PROCESS	9.63703411818498e-18	2.39298937504994e-14	1.0864405425825	0.55192423888432	2.27305665045512	283	GO:0034660
GOBP_RRNA_METABOLIC_PROCESS	1.0058803594157e-17	2.39298937504994e-14	1.0864405425825	0.64909046030827	2.50536380718127	151	GO:0016072
GOBP_RNA_PROCESSING	1.09948451728642e-12	5.73870542494949e-10	0.910119734774459	0.442473285175853	1.89721609287209	472	GO:0006396
GOMF_RNA_BINDING	1.91100128463129e-11	5.45552646736539e-09	0.863415391606693	0.382153410399945	1.69167397416942	800	GO:0003723
GOCC_NUCLEOLUS	2.45900075436685e-10	4.55841256725096e-08	0.814035837847908	0.408532375194436	1.77430199359049	537	GO:0005730
GOCC_RIBONUCLEOPROTEIN_COMPLEX	2.61574900195745e-10	4.72622800682793e-08	0.814035837847908	0.474465425605376	1.94978801203038	281	GO:1990904
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	3.82867760563691e-10	6.28167174055876e-08	0.814035837847908	0.739292629636318	2.42361999748407	50	GO:0042274
GOCC_PRERIBOSOME	1.42522856527273e-09	1.70955567568932e-07	0.788186810800237	0.704167207947687	2.35851300898558	58	GO:0030684
GOBP_MATURATION_OF_SSU_RRNA	3.76125787258814e-08	2.59363260257599e-06	0.719512826338911	0.740442892329659	2.32110110918053	40	GO:0030490
GOCC_SMALL_SUBUNIT_PROCESSOME	1.30106018483394e-07	8.0727310866895e-06	0.690132458796796	0.810776016203877	2.29469300087159	25	GO:0032040
GOBP_RIBOSOME_ASSEMBLY	1.99661278159952e-07	1.16812054674422e-05	0.690132458796796	0.76385497178305	2.30525265708876	32	GO:0042255
GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	4.0815442590104e-06	0.000174954843102446	0.610526878385931	0.566389010216013	1.99018774770655	78	GO:0071826
