pathway	pval	padj	log2err	ES	NES	size	go_code
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	4.55902378474665e-27	6.50755055034736e-23	1.34992572002205	0.643867957278709	2.62992931717963	234	GO:0022613
GOBP_RIBOSOME_BIOGENESIS	2.0224606530076e-24	1.44343016805153e-20	1.27903397725049	0.6686817457687	2.65177328167019	182	GO:0042254
GOBP_NCRNA_PROCESSING	1.47662179801888e-22	7.02576651497381e-19	1.22950405660873	0.620395447239716	2.51578792456866	223	GO:0034470
GOBP_NCRNA_METABOLIC_PROCESS	3.53312101135454e-20	1.00863538632149e-16	1.16017957183021	0.571063997156206	2.37089413523528	282	GO:0034660
GOBP_RNA_PROCESSING	9.20363120922133e-20	2.18954386467375e-16	1.15122052214226	0.493562639978223	2.13278186448833	472	GO:0006396
GOBP_RRNA_METABOLIC_PROCESS	4.62943843272087e-18	5.50671701572147e-15	1.0959292864312	0.649509688094888	2.52621535052062	151	GO:0016072
GOMF_RNA_BINDING	2.29282986126882e-14	1.25876359383658e-11	0.97599468306432	0.397567553343442	1.77959175618032	801	GO:0003723
GOCC_RIBONUCLEOPROTEIN_COMPLEX	3.63517982043388e-14	1.70025832090853e-11	0.965327754226083	0.516450754341648	2.14392181641199	281	GO:1990904
GOCC_NUCLEOLUS	3.77595502572376e-13	1.17919774390019e-10	0.932595211336209	0.431505716478079	1.88219205145851	536	GO:0005730
GOCC_NUCLEAR_PROTEIN_CONTAINING_COMPLEX	6.13330869912536e-09	4.58360462677044e-07	0.761460801445585	0.371434434210166	1.65111711419436	673	GO:0140513
GOMF_ATP_HYDROLYSIS_ACTIVITY	4.49455254853827e-08	2.55986899901688e-06	0.719512826338911	0.46018423831544	1.87261336972512	227	GO:0016887
GOBP_RIBONUCLEOPROTEIN_COMPLEX_SUBUNIT_ORGANIZATION	6.16261537203384e-08	3.37031309656747e-06	0.704975715167238	0.607025749239912	2.15140599632562	78	GO:0071826
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA	6.62127441338812e-08	3.58000268851144e-06	0.704975715167238	0.462357009580156	1.87268569471332	220	GO:0140098
GOCC_PRERIBOSOME	1.07718927324162e-07	5.6528675317099e-06	0.704975715167238	0.664212271678043	2.22972492693173	58	GO:0030684
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS	2.65879590958201e-07	1.2997141374443e-05	0.674962860011025	0.671779641256477	2.21399102529351	50	GO:0042274
GOCC_CHROMOSOME_TELOMERIC_REGION	5.95883021164253e-07	2.71745503006343e-05	0.659444398037935	0.516536586879545	1.94465012931028	122	GO:0000781
GOBP_MATURATION_OF_SSU_RRNA	1.48463536269893e-06	6.34481591831275e-05	0.643551836150722	0.684411132019947	2.14940624330449	40	GO:0030490
GOBP_RIBOSOME_ASSEMBLY	1.6595524709789e-06	6.94925086888509e-05	0.643551836150722	0.718708085309227	2.14746382324313	32	GO:0042255
GOCC_SMALL_SUBUNIT_PROCESSOME	2.19523063738306e-06	8.97843040630541e-05	0.627256739718528	0.769485765672402	2.18572004946727	25	GO:0032040
GOBP_RNA_MODIFICATION	2.43761070961255e-06	9.88478842869591e-05	0.627256739718528	0.565144616027961	2.01668405132601	82	GO:0009451
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_NUCLEIC_ACID	2.45253933162668e-06	9.91715196023773e-05	0.627256739718528	0.382526305444257	1.62922901762944	394	GO:0140640
