pathway	pval	padj	log2err	ES	NES	size	go_code
GOBP_RNA_PROCESSING	1e-50	1.4211e-46	NA	0.563673314263527	3.08550422172699	473	GO:0006396
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS	1.24840080361961e-42	8.87051191011912e-39	1.7026781142338	0.652799449404521	3.22511910420766	234	GO:0022613
GOBP_NCRNA_PROCESSING	2.61038530036533e-42	1.23653951678306e-38	1.69658622309628	0.667624594891648	3.25830711260558	223	GO:0034470
GOCC_RIBONUCLEOPROTEIN_COMPLEX	9.4159806019642e-39	3.34526250836283e-35	1.62169955075295	0.59824463316766	3.03175519554917	281	GO:1990904
GOBP_RIBOSOME_BIOGENESIS	2.15516291298603e-37	6.1254040312889e-34	1.58945578468201	0.684771463186601	3.23447642827614	182	GO:0042254
GOBP_NCRNA_METABOLIC_PROCESS	2.18809053999265e-35	5.1824924439726e-32	1.54987806027287	0.581681764951057	2.96488979477901	285	GO:0034660
GOCC_CHROMOSOMAL_REGION	3.50289745574883e-34	7.11138224909238e-31	1.52292160289117	0.613950775443186	3.03132571525019	231	GO:0098687
GOCC_NUCLEAR_BODY	3.22027819698398e-30	5.0848192730377e-27	1.42456271623384	0.459474097628213	2.50252396535324	461	GO:0016604
GOBP_DNA_RECOMBINATION	1.23197786690828e-27	1.75076374666336e-24	1.36517960216169	0.595713821448519	2.88289630562858	203	GO:0006310
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_A_NUCLEIC_ACID	1.12968164901391e-25	1.45944599219425e-22	1.31101476274061	0.452771717160094	2.37566178002149	398	GO:0140640
GOBP_RRNA_METABOLIC_PROCESS	3.64139959439158e-25	4.31232746965823e-22	1.30309315086572	0.639917767240064	3.00686137848981	151	GO:0016072
GOBP_DNA_REPLICATION	9.0502954882137e-25	9.89336532176961e-22	1.28710367230144	0.599527461784642	2.83575207970088	181	GO:0006260
GOBP_DNA_REPAIR	3.94406954939276e-24	4.00351231188718e-21	1.27091304449619	0.449092353926322	2.30048190171421	387	GO:0006281
GOBP_MRNA_PROCESSING	2.02271905303941e-23	1.91632403084954e-20	1.25451347943706	0.535835122949345	2.6361911614236	233	GO:0006397
GOBP_MITOTIC_CELL_CYCLE_PROCESS	8.33291068908277e-23	7.4011871126597e-20	1.23789667319529	0.420323487984618	2.26805126204502	436	GO:1903047
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_DNA	1.57253099847026e-22	1.3145434128977e-19	1.22950405660873	0.58667540058667	2.78968921104245	167	GO:0140097
GOBP_PROTEIN_DNA_COMPLEX_SUBUNIT_ORGANIZATION	2.26631453993327e-22	1.78925532927731e-19	1.22105375677186	0.668231238460164	3.11702148644902	118	GO:0071824
GOBP_PROTEIN_DNA_COMPLEX_ASSEMBLY	3.58476531243556e-22	2.68121578184325e-19	1.22105375677186	0.713280322870599	3.16860692522683	93	GO:0065004
GOMF_ATP_HYDROLYSIS_ACTIVITY	6.48667822753787e-22	4.3896278234067e-19	1.21254456769062	0.526160673046713	2.59059889136176	230	GO:0016887
GOCC_CONDENSED_CHROMOSOME	8.0083105354922e-22	5.17300459181271e-19	1.21254456769062	0.630809920587167	2.93882080184287	135	GO:0000793
GOBP_DNA_CONFORMATION_CHANGE	6.57628627130665e-20	3.89398350839745e-17	1.15122052214226	0.539144081524919	2.56319211056862	190	GO:0071103
GOBP_MRNA_METABOLIC_PROCESS	6.33118043260607e-20	3.89398350839745e-17	1.15122052214226	0.419198821933151	2.21628602229981	396	GO:0016071
GOBP_ORGANELLE_FISSION	1.23419280262959e-19	7.01564556726762e-17	1.14219120216838	0.475047044296077	2.41499677356361	280	GO:0048285
GOCC_NUCLEAR_CHROMOSOME	2.10703498304096e-19	1.15165669784597e-16	1.14219120216838	0.655384316539324	2.99447183568032	109	GO:0000228
GOBP_RECOMBINATIONAL_REPAIR	2.79418813618293e-19	1.47067435567762e-16	1.13308993200902	0.645626351066647	2.96284325574418	115	GO:0000725
GOCC_CHROMOSOME_CENTROMERIC_REGION	5.5499233315213e-19	2.71965380911204e-16	1.12391496374483	0.63307111739321	2.89802914764866	116	GO:0000775
GOBP_RNA_SPLICING	9.23496630596993e-19	4.37460353913796e-16	1.11466447751729	0.518734503589255	2.48712078123779	196	GO:0008380
GOBP_CHROMOSOME_SEGREGATION	5.00234109043901e-18	2.22150841363215e-15	1.0959292864312	0.478037381241512	2.37931653543742	243	GO:0007059
GOBP_NON_MEMBRANE_BOUNDED_ORGANELLE_ASSEMBLY	7.17645380929427e-18	3.09044197223881e-15	1.0864405425825	0.500215494922026	2.42699825985427	209	GO:0140694
GOCC_CHROMOSOME_TELOMERIC_REGION	1.16363510388706e-17	4.72469098895402e-15	1.0864405425825	0.604593688653709	2.78605021466078	123	GO:0000781
GOCC_SPLICEOSOMAL_COMPLEX	3.70743457308864e-17	1.46350979772674e-14	1.06720998682811	0.641300397809643	2.88149865406752	102	GO:0005681
GOBP_CELL_CYCLE_PHASE_TRANSITION	4.27409416060463e-17	1.64159870584736e-14	1.06720998682811	0.426066686635492	2.21539435639014	319	GO:0044770
GOBP_DNA_DEPENDENT_DNA_REPLICATION	6.29949617215734e-17	2.35584579217179e-14	1.05746357275086	0.633750060437918	2.85173834237778	106	GO:0006261
GOBP_REGULATION_OF_CELL_CYCLE_PROCESS	6.83945153325693e-17	2.45430659574528e-14	1.05746357275086	0.387063453578867	2.02915445651704	405	GO:0010564
GOCC_NUCLEAR_SPECK	6.90818829285842e-17	2.45430659574528e-14	1.05746357275086	0.480993910445835	2.34655793753226	220	GO:0016607
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1.75732474916377e-16	6.09105902691863e-14	1.04762648849882	0.550850932023768	2.5967842801638	156	GO:0000375
GOBP_RNA_MODIFICATION	2.4550491978796e-16	8.11365212815513e-14	1.03769615548758	0.673546657657364	2.9871009012886	82	GO:0009451
GOMF_ATP_DEPENDENT_ACTIVITY	2.43862416012458e-16	8.11365212815513e-14	1.03769615548758	0.398158239937785	2.01680939274868	360	GO:0140657
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	7.08770495587876e-16	2.23829722506651e-13	1.02766987054358	0.441549620560669	2.23157154116775	262	GO:1901987
GOMF_ISOMERASE_ACTIVITY	2.80228472803817e-15	7.65832082118278e-13	1.00731795687447	0.573921194698556	2.66842637194303	127	GO:0016853
GOBP_HISTONE_MODIFICATION	6.7413843982609e-15	1.80758139025822e-12	0.996986217533181	0.391206978825872	2.03971548902	330	GO:0016570
GOBP_METHYLATION	7.35217252325279e-15	1.93484673570269e-12	0.986546283587582	0.484876502147455	2.29455775230363	188	GO:0032259
GOBP_PEPTIDYL_LYSINE_MODIFICATION	9.63367230580687e-15	2.4447163774611e-12	0.986546283587582	0.445366796782183	2.23077953695993	248	GO:0018205
GOMF_TRANSCRIPTION_COREGULATOR_ACTIVITY	1.11005927721223e-14	2.71983661870051e-12	0.986546283587582	0.423680455751293	2.16104248464536	270	GO:0003712
GOMF_ATP_DEPENDENT_ACTIVITY_ACTING_ON_DNA	1.9591983539517e-14	4.71901149288266e-12	0.97599468306432	0.642638622024776	2.81859925127743	83	GO:0008094
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	2.0307001167431e-14	4.80971322650604e-12	0.97599468306432	0.441361517834044	2.17894935562513	238	GO:0044772
GOBP_MEIOTIC_CELL_CYCLE	4.20415107986052e-14	9.2265836395868e-12	0.965327754226083	0.508750269848056	2.40313466150659	157	GO:0051321
GOBP_MEIOTIC_CELL_CYCLE_PROCESS	4.76132772509166e-14	1.02520042880724e-11	0.965327754226083	0.569050613629318	2.65438502044127	118	GO:1903046
GOBP_MITOTIC_NUCLEAR_DIVISION	5.524436523645e-14	1.17175772294805e-11	0.965327754226083	0.507325996861706	2.39640696034592	157	GO:0140014
GOBP_TRNA_METABOLIC_PROCESS	1.0652698360083e-13	2.22625729992852e-11	0.954541630725724	0.622156562908425	2.73506763645019	90	GO:0006399
GOCC_CONDENSED_CHROMOSOME_CENTROMERIC_REGION	1.17674439582847e-13	2.42358182740846e-11	0.943632225232838	0.61915240009656	2.73413921777997	87	GO:0000779
GOBP_CELL_DIVISION	1.22340041351152e-13	2.48367761091602e-11	0.943632225232838	0.350619412306718	1.89793784973131	437	GO:0051301
GOBP_TRNA_PROCESSING	2.73694100877396e-13	5.4020373160676e-11	0.932595211336209	0.63117119016688	2.79917064331121	82	GO:0008033
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	3.93682439521144e-13	7.56029884869591e-11	0.932595211336209	0.516196179434674	2.39814781915764	133	GO:0033044
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	4.13121011223408e-13	7.71119975009612e-11	0.932595211336209	0.449696323313182	2.15897511942751	201	GO:0098813
GOMF_CATALYTIC_ACTIVITY_ACTING_ON_RNA	6.13257371730809e-13	1.11730775764955e-10	0.921426003494898	0.431767793467456	2.11052758788406	224	GO:0140098
GOBP_CHROMATIN_ORGANIZATION	7.94306699407371e-13	1.41098656315977e-10	0.921426003494898	0.390150369444791	1.99246279808194	302	GO:0006325
GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING	1.2190723376041e-12	2.1127118280112e-10	0.910119734774459	0.515064720742574	2.3995864145648	135	GO:0000075
GOBP_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	1.72201185808848e-12	2.84552447852273e-10	0.910119734774459	0.458178484772275	2.17158494375491	187	GO:1901990
GOBP_SISTER_CHROMATID_SEGREGATION	2.1205473799842e-12	3.46380446171901e-10	0.898671232061694	0.52700717621819	2.44391287563104	130	GO:0000819
GOCC_PRERIBOSOME	3.26657465462611e-12	5.10124092493314e-10	0.898671232061694	0.680531013121398	2.84251869959643	58	GO:0030684
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	3.49058336841049e-12	5.39181307048712e-10	0.898671232061694	0.56617530327609	2.54394567651676	102	GO:0000070
