pathway	pval	padj	log2err	ES	NES	size	go_code
GOMF_HSP70_PROTEIN_BINDING	2.04341518140465e-05	0.0363421390012816	0.575610261071129	0.725735633143254	2.08495818225888	31	GO:0030544
GOBP_MANNOSYLATION	4.37931960186885e-05	0.0603508522632469	0.557332238758646	0.725780212212928	2.06231665255548	29	GO:0097502
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	6.72947644086434e-05	0.0638313272004118	0.538434096309916	0.3042786745349	1.36931453368123	638	GO:1901566
GOBP_GLYCOPROTEIN_BIOSYNTHETIC_PROCESS	8.30870305292277e-05	0.0738851418981157	0.538434096309916	0.446334453322796	1.70112822662859	141	GO:0009101
GOBP_GLYCOPROTEIN_METABOLIC_PROCESS	0.000192589267555015	0.095623240003722	0.518848077743792	0.410953904357396	1.62181500192365	170	GO:0009100
GOBP_GLYCOSYLATION	0.000193982218257354	0.095623240003722	0.518848077743792	0.435821231502405	1.64980118764857	132	GO:0070085
GOMF_MANNOSYLTRANSFERASE_ACTIVITY	0.000208682865525377	0.095623240003722	0.518848077743792	0.713302006206762	1.96781038524212	25	GO:0000030
GOMF_GLYCOSYLTRANSFERASE_ACTIVITY	0.000224908108733148	0.0969694718501586	0.518848077743792	0.455920828766732	1.6994338856632	116	GO:0016757
GOBP_PROTEIN_MANNOSYLATION	0.000262067741602753	0.0981236796716834	0.49849310876659	0.804843583350884	1.95557979987351	15	GO:0035268
GOBP_PROTEIN_O_LINKED_MANNOSYLATION	0.000262067741602753	0.0981236796716834	0.49849310876659	0.804843583350884	1.95557979987351	15	GO:0035269
HP_LOSS_OF_PURKINJE_CELLS_IN_THE_CEREBELLAR_VERMIS	0.000256979209038475	0.0981236796716834	0.49849310876659	0.733985161276091	1.91109017235248	20	HP:0007001
GOBP_INCLUSION_BODY_ASSEMBLY	0.000294580479563736	0.102690224048014	0.49849310876659	0.702734947551224	1.92581096060898	24	GO:0070841
HP_DECREASED_NUMBER_OF_LARGE_PERIPHERAL_MYELINATED_NERVE_FIBERS	0.000295916445457449	0.102690224048014	0.49849310876659	0.704573396773827	1.94373047499177	25	HP:0003387
HP_SWAN_NECK_LIKE_DEFORMITIES_OF_THE_FINGERS	0.000282421901228277	0.102690224048014	0.49849310876659	0.731509186936745	1.90464343408505	20	HP:0006150
