pathway	pval	padj	log2err	ES	NES	size	go_code
HP_DOWNSLANTED_PALPEBRAL_FISSURES	1.50212945492907e-08	3.56981064963893e-05	0.73376198835648	0.366994331147321	1.85051527565999	292	HP:0000494
GOMF_PHOSPHOLIPID_BINDING	2.47360073900772e-06	0.00195950405208395	0.627256739718528	0.370039241516484	1.8000757656389	203	GO:0005543
HP_ABNORMALITY_OF_THE_MIDFACE	2.34561120832895e-06	0.00195950405208395	0.627256739718528	0.309494062929125	1.59611117003038	372	HP:0000309
HP_MALE_SEXUAL_DYSFUNCTION	5.02515886731669e-06	0.00341208287090803	0.610526878385931	0.511532481089779	2.06308266944678	69	HP:0040307
GOBP_ROOF_OF_MOUTH_DEVELOPMENT	6.50324242821434e-06	0.00421498789926856	0.610526878385931	0.603187284515877	2.18183517977456	39	GO:0060021
GOBP_ARTERY_DEVELOPMENT	7.11693728496988e-06	0.00426147203750756	0.610526878385931	0.530632380800241	2.10373938150546	62	GO:0060840
HP_ERECTILE_DYSFUNCTION	7.17268594573121e-06	0.00426147203750756	0.610526878385931	0.540192848335996	2.14088364563776	58	HP:0100639
GOBP_CHROMATIN_ORGANIZATION	8.39099363001025e-06	0.00460181454501216	0.593325476396405	0.323689926945639	1.63088766659572	294	GO:0006325
GOBP_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	8.11040240188549e-06	0.00460181454501216	0.593325476396405	0.315035222012468	1.59336906722447	324	GO:0007186
GOBP_CELLULAR_HOMEOSTASIS	9.46362744083032e-06	0.0049978468029185	0.593325476396405	0.29443248789057	1.51993847238478	388	GO:0019725
GOBP_REGULATION_OF_SYSTEM_PROCESS	1.05086882545964e-05	0.00535154949365323	0.593325476396405	0.355481494594723	1.72925028960662	208	GO:0044057
GOCC_DENDRITIC_TREE	1.23515061227154e-05	0.00607310778633791	0.593325476396405	0.305710982836644	1.56827324293512	338	GO:0097447
HP_SLANTING_OF_THE_PALPEBRAL_FISSURE	1.45231612103446e-05	0.00690285852327681	0.593325476396405	0.285242645270731	1.46510062694923	446	HP:0200006
HP_HYPERMETROPIA	1.83696155706366e-05	0.00793734389156687	0.575610261071129	0.396460529171659	1.81366948649153	137	HP:0000540
HP_ABNORMALITY_OF_FINGER	1.99323968505027e-05	0.00819416870821979	0.575610261071129	0.25564291506556	1.35876761066386	662	HP:0001167
HP_ABNORMALITY_OF_THE_PALPEBRAL_FISSURES	2.07271413610015e-05	0.00820967524073666	0.575610261071129	0.269624977122864	1.40110492613783	537	HP:0008050
GOBP_CORONARY_VASCULATURE_DEVELOPMENT	2.40629634930717e-05	0.00879778965250537	0.575610261071129	0.572783566171957	2.08339905840014	41	GO:0060976
HP_ABNORMALITY_OF_REFRACTION	2.55498040210861e-05	0.00888572330577237	0.575610261071129	0.294559755275969	1.50860035714177	341	HP:0000539
HP_SHORT_DIGIT	2.65736486069322e-05	0.00902175370205349	0.575610261071129	0.3041580872355	1.55891059939621	330	HP:0011927
GOBP_APICAL_JUNCTION_ASSEMBLY	2.82566293320787e-05	0.00937002971270025	0.575610261071129	0.660354106254674	2.17813655840913	27	GO:0043297
GOBP_ARTERY_MORPHOGENESIS	3.00649136559415e-05	0.00974308190500158	0.575610261071129	0.539629276477859	2.04921414164048	49	GO:0048844
GOBP_REGULATION_OF_CELL_DEVELOPMENT	3.63290143100145e-05	0.0107919878134687	0.557332238758646	0.310044206319647	1.5755383167657	298	GO:0060284
HP_ABNORMALITY_OF_THE_FOREHEAD	4.46980099568016e-05	0.0120593052109926	0.557332238758646	0.256517361095625	1.35950233478211	647	HP:0000290
HP_ABNORMAL_CONSUMPTION_BEHAVIOR	4.46866464141088e-05	0.0120593052109926	0.557332238758646	0.5143515751586	1.98681712737618	55	HP:0040202
HP_PROMINENT_FOREHEAD	4.48238429190412e-05	0.0120593052109926	0.557332238758646	0.349602363529354	1.64701376173656	171	HP:0011220
HP_SCANNING_SPEECH	4.35474134441344e-05	0.0120593052109926	0.557332238758646	0.651395420663789	2.17740325391372	28	HP:0002168
GOCC_TRANSPORTER_COMPLEX	4.89935722491961e-05	0.0127905024190209	0.557332238758646	0.409872698993177	1.83300606285304	112	GO:1990351
HP_PROPTOSIS	4.93356920573777e-05	0.0127905024190209	0.557332238758646	0.340911969521072	1.64218480007752	200	HP:0000520
GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT	5.41517461078953e-05	0.0137883883527228	0.557332238758646	0.42144068583828	1.83165401483323	100	GO:0060541
GOCC_CELL_PROJECTION_MEMBRANE	6.493124033026e-05	0.016035137923799	0.538434096309916	0.344977803857238	1.625226971324	171	GO:0031253
HP_PERONEAL_MUSCLE_ATROPHY	6.63491926154808e-05	0.016035137923799	0.538434096309916	0.697395273761894	2.19693666812903	22	HP:0009049
HP_SWAN_NECK_LIKE_DEFORMITIES_OF_THE_FINGERS	6.61212054577234e-05	0.016035137923799	0.538434096309916	0.696929391258457	2.16722323415593	21	HP:0006150
