pathway	pval	padj	log2err	ES	NES	size	go_code
GOBP_CHROMOSOME_ORGANIZATION	9.1513627555771e-11	1.30233043374618e-06	0.839088935621274	0.377206702299623	1.60573728953407	577	GO:0051276
GOBP_CHROMATIN_ORGANIZATION	4.33110921183308e-10	3.08180075967983e-06	0.814035837847908	0.460058624799104	1.91487116553151	290	GO:0006325
GOBP_CELL_CYCLE_PROCESS	6.69351720127972e-10	3.17518144304706e-06	0.801215574617779	0.357211676070618	1.54455260133003	666	GO:0022402
GOBP_HISTONE_MODIFICATION	9.9461253499958e-10	3.53858274639475e-06	0.788186810800237	0.43985658175416	1.82604580536271	311	GO:0016570
GOBP_MITOTIC_CELL_CYCLE_PROCESS	1.43603917408337e-08	3.40604558106342e-05	0.747739663149885	0.389281154782736	1.64098585357227	417	GO:1903047
GOBP_CELL_CYCLE_PHASE_TRANSITION	8.37081392186645e-08	0.000170178647031545	0.704975715167238	0.422349811255455	1.75953032988984	302	GO:0044770
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	1.09834052820596e-07	0.000195381050711238	0.704975715167238	0.434192064919458	1.7739683574583	252	GO:1901987
GOBP_REGULATION_OF_CELL_CYCLE_PROCESS	1.8123763382702e-07	0.000234472069726575	0.690132458796796	0.383303907221687	1.60205302768633	389	GO:0010564
HP_MOTOR_TICS	1.62739492953926e-07	0.000234472069726575	0.690132458796796	0.999872379797722	1.47709237867756	2	HP:0100034
GOCC_CATALYTIC_COMPLEX	2.51124417655993e-07	0.000297812632305203	0.674962860011025	0.325884147973374	1.40062126423343	679	GO:1902494
GOBP_PROTEIN_DEPHOSPHORYLATION	2.7667187013183e-07	0.000302870567988159	0.674962860011025	0.420925843722919	1.71399901473069	272	GO:0006470
GOBP_MITOTIC_CELL_CYCLE	4.92521303521169e-07	0.00043806691690061	0.659444398037935	0.348091679706842	1.47117126853341	500	GO:0000278
GOBP_REGULATION_OF_CELL_CYCLE	4.71458327576611e-07	0.00043806691690061	0.674962860011025	0.33297408904771	1.43950323552509	614	GO:0051726
GOCC_NUCLEAR_BODY	6.07830122736525e-07	0.000480557248703527	0.659444398037935	0.362196970081865	1.51175924978422	435	GO:0016604
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	9.95161352866028e-07	0.000737330113417834	0.643551836150722	0.339868009693715	1.4349735159632	538	GO:0006974
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE	1.05491438719126e-06	0.000737330113417834	0.643551836150722	0.42714007040792	1.74005149709322	245	GO:0045786
GOMF_HISTONE_BINDING	1.08804246938195e-06	0.000737330113417834	0.643551836150722	0.484189264665285	1.86089330445643	152	GO:0042393
GOMF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY	1.39011298180641e-06	0.000899213538367592	0.643551836150722	0.416189493185671	1.68583775512134	240	GO:0004721
GOBP_MRNA_PROCESSING	1.79423847745712e-06	0.00102135231090769	0.643551836150722	0.416448473314423	1.67511764419266	230	GO:0006397
GOBP_RNA_SPLICING	1.77472387650231e-06	0.00102135231090769	0.643551836150722	0.44794494151864	1.7717769223416	194	GO:0008380
GOMF_GAMMA_CATENIN_BINDING	1.75188244529361e-06	0.00102135231090769	0.643551836150722	0.550136303619376	1.96346464084924	94	GO:0045295
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	2.08685067053072e-06	0.00114222968816626	0.627256739718528	0.411508750514182	1.65093194935715	226	GO:0044772
GOCC_MICROTUBULE_ORGANIZING_CENTER	2.28896191696064e-06	0.00116336489429525	0.627256739718528	0.353492865062773	1.47272340396204	431	GO:0005815
