gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128236092	NA	5.98422495261397e-153	338.922008968631	-26.7383441106756	-6.4541161399629	uncharacterized LOC128236092
LOC128245377	NA	6.01939945206101e-141	427.342431038929	-25.6585500910312	-8.17916849473444	uncharacterized LOC128245377
LOC128203379	NA	1.08852185699863e-120	918.032411545353	-23.7574300756522	-6.94901318772383	uncharacterized LOC128203379
LOC128240418	NA	3.39562717151007e-120	479.638930853887	-23.697464438278	-7.84151765110026	uncharacterized LOC128240418
LOC128216432	CAV1	1.81933210121496e-118	754.048089217639	-23.5196989198499	-8.06251205331483	caveolin-1-like
LOC128229660	TBX2B	1.32935813091379e-102	357.188553302525	-21.8995504819711	-9.09353267781237	T-box transcription factor TBX6-like
LOC128245367	CPLN2	6.81899066033291e-101	836.270973738816	-21.7132462782552	-3.10359937344868	ciliogenesis and planar polarity effector 2-like
LOC128222148	NA	9.67632211667579e-101	177.208376968835	-21.6917387669811	-8.81177529370964	uncharacterized LOC128222148
LOC128235111	SMRC2	2.05193115241339e-96	8944.77446694734	-21.2112385126289	-2.59686908846749	SWI/SNF complex subunit SMARCC2-like
LOC128215944	NA	2.94598189196668e-96	69.4597641907044	-21.1907297629612	-5.35926260947398	uncharacterized LOC128215944
LOC128236400	ORCT	2.95388120845308e-96	170.144095528683	-21.1873548066028	-9.41551855651266	organic cation transporter protein-like
LOC128215461	NA	5.14441852275081e-96	2856.6108777647	-21.1581683216481	-6.30025932501421	uncharacterized LOC128215461
LOC128226228	RGS3	3.71233064360491e-94	455.681538140784	-20.9525284466144	-10.8270923533369	uncharacterized LOC128226228
LOC128204172	NA	1.24571710679979e-93	171.358041254664	-20.8920705419711	-9.14169162950796	uncharacterized LOC128204172
LOC128213426	CDPKO	1.48963180332858e-92	446.612305566597	-20.7706349802493	-7.76574753796516	uncharacterized LOC128213426
LOC128245397	NA	1.70292612232605e-92	140.346853460305	-20.7617413871705	-7.87359524506335	uncharacterized LOC128245397
LOC128236971	NA	2.81496751516144e-83	303.232029335493	-19.7003148839895	-4.75132051441723	uncharacterized LOC128236971
LOC128222736	PIN1	2.89043325801589e-83	9432.4382899847	-19.6971338319995	-2.72381801762241	peptidyl-prolyl cis-trans isomerase NIMA-interacting 1-like
LOC128228466	LR74B	8.14669357673167e-83	117.345380609705	-19.6428099420909	-7.40080294564326	leucine-rich repeat-containing protein 74B-like
LOC128226816	TYB	2.40587719960744e-82	57412.4447945321	-19.5827327542463	-2.55903646015273	thymosin beta-like
LOC128238835	MTF1	1.02517522044146e-80	684.950645798009	-19.3875697946804	-2.41495170378349	zinc finger protein 148-like
LOC128213777	HPGDS	1.57473969537329e-79	455.234005972812	-19.2435639809589	-9.14982748639234	hematopoietic prostaglandin D synthase-like
LOC128223485	SOLH2	1.84813694097224e-77	159.789726907548	-18.9907991948454	-9.53631660480482	uncharacterized LOC128223485
LOC128228353	ZCPW2	4.83679519750846e-77	113.533525505611	-18.9388784074854	-5.91181552780096	uncharacterized LOC128228353
LOC128230696	NA	9.66952713402832e-77	157.210115111728	-18.9010648161696	-8.9043069789691	uncharacterized LOC128230696
LOC128222146	ZN678	1.02533685034444e-76	177.366215314735	-18.8966997571741	-9.95497035247991	zinc finger protein 678-like
LOC128237496	ZN226	4.71677031937095e-76	586.548809020205	-18.8123355556806	-2.87271143292459	zinc finger protein 721-like
LOC128240552	NA	8.3949326647474e-76	148.624639721785	-18.7805847314136	-9.19356649705228	uncharacterized LOC128240552
LOC128246407	NA	1.12360962236681e-75	84.6721627829076	-18.763957620315	-7.47930545101962	uncharacterized LOC128246407
LOC128235738	NA	2.35535204183325e-74	139.79351850489	-18.5982401995615	-10.4857947817058	uncharacterized LOC128235738
LOC128246007	LRP2	2.80740569175789e-74	80.0053349974607	-18.5877624440875	-8.31041154153199	LDL receptor repeat-containing protein egg-1-like
LOC128204822	GABR2	5.52896538967984e-73	92.4594028359111	-18.4241019193043	-10.273795969611	gamma-aminobutyric acid type B receptor subunit 2-like
LOC128219061	RASA3	5.52896538967984e-73	1325.39741337979	-18.424383146473	-2.27550213971956	ras GTPase-activating protein 3-like
LOC128207807	CALM	6.67541652062224e-73	71.3337677808414	-18.4129079700723	-10.2853962890435	calmodulin-like
LOC128212005	NA	8.41172693296095e-73	478.499695144454	-18.3994078951116	-3.95623868562331	uncharacterized LOC128212005
LOC128237350	CP4F6	2.58587748049758e-72	110.095221706649	-18.335612859112	-6.57302596151444	cytochrome P450 4F6-like
LOC128226845	NA	5.45766136259458e-72	83.1250834599109	-18.2940342050287	-6.13842517262045	uncharacterized LOC128226845
LOC128225707	PTPRK	1.00631542199723e-70	306.782331649857	-18.1301022352947	-8.32311734150882	receptor-type tyrosine-protein phosphatase kappa-like
LOC128215610	SCUB1	8.98167982955943e-70	140.228354290492	-18.0068360773468	-10.2982870642224	proprotein convertase subtilisin/kexin type 5-like
LOC128234113	MDM4	5.97784371976355e-69	1844.36976701913	-17.9007758038589	-3.54227087596859	E3 ubiquitin-protein ligase Mdm2-like
LOC128224923	NA	1.0237510184434e-67	177.268620125453	-17.7394892091865	-6.80514333068329	uncharacterized LOC128224923
LOC128205059	NA	3.17873632983373e-67	1317.36315404609	-17.6734046024698	-6.62484825064804	uncharacterized LOC128205059
LOC128226319	ACHA7	3.87495230288357e-67	43.4065935147407	-17.661482995512	-6.61473074492779	neuronal acetylcholine receptor subunit alpha-7-like
LOC128210547	GLAS	4.98265486887525e-67	91.8047675764429	-17.6465480959458	-8.74393931803662	protein glass-like
LOC128233068	GUCD1	1.00868896622471e-66	1762.18421122612	-17.6059332273335	-2.48648445893135	protein GUCD1-like
LOC128239304	NA	2.51980711074905e-66	67.3238707234981	-17.5518789035841	-10.0080833005709	uncharacterized LOC128239304
LOC128204809	MOXD1	4.08524287785569e-66	90.3515152902444	-17.5230288915346	-9.85328124664803	DBH-like monooxygenase protein 1
LOC128230540	APC7	5.99881025893257e-66	859.596683312592	-17.4998055880854	-3.22970816115813	anaphase-promoting complex subunit 7-like
LOC128221701	CP3AD	7.91838057154504e-66	341.892131191891	-17.4826593723606	-9.88090884566975	cytochrome P450 3A4-like
LOC128232963	NA	8.58986313329473e-66	197.75544310348	-17.4773662454072	-5.56826454859458	uncharacterized LOC128232963
LOC128236014	FUCL6	7.34499419641072e-65	972.839329043234	-17.3532562679174	-7.55519963261208	uncharacterized LOC128236014
LOC128223622	NA	2.59849055447127e-64	465.961235984345	-17.2774152459855	-9.99561610241671	uncharacterized LOC128223622
