SeqName	Description	Gene ID	log2FC	"baseMean
MtrBTN2"	"baseMean
Hemocytes"	FDR	"Confimed
Quanteval"
TRINITY_DN56728_c0_g2_i4239052	Hypothetical predicted protein	 -	8.105241628	53.22324021	0	1.41E-72	TRUE
TRINITY_DN8637_c0_g1_i6292163	Major facilitator superfamily domain-containing protein 1	MFSD1	1.56760848	9.862760405	3.333402837	3.05E-51	TRUE
TRINITY_DN4722_c0_g2_i3215353	"Fatty acid-binding protein, heart"	FABP3	-6.458470745	4.863943421	425.3156875	1.02E-45	TRUE
TRINITY_DN93271_c0_g2_i2302961	Hypothetical predicted protein	 -	4.146009439	4.77284744	0.180009956	2.95E-42	TRUE
TRINITY_DN4151_c0_g1_i2200030	Dopamine beta-hydroxylase	DBH	-4.609439999	0.59606841	14.58715751	4.18E-42	TRUE
TRINITY_DN235_c0_g1_i5131439	Hypothetical predicted protein	 -	-7.736279519	4.23291772	896.4693955	1.68E-41	TRUE
TRINITY_DN134104_c0_g1_i442301	Myticin A	 -	-8.889194918	203.5231806	96493.65394	2.66E-37	TRUE
TRINITY_DN1066_c0_g2_i18569	Actin-related protein 2/3 complex subunit 3	ARPC3	3.694185182	7894.6379	609.9096407	7.55E-36	TRUE
TRINITY_DN55213_c0_g1_i4235701	Protein FAM183A	FAM183A	3.158327777	23.46762166	2.64099535	1.13E-35	TRUE
TRINITY_DN242_c6_g1_i1136210	Hypothetical predicted protein	 -	12.15203098	3176.734562	0.69106915	2.69E-32	TRUE
TRINITY_DN47558_c0_g2_i1216435	SPARC-like protein 1	SPARCL1	-5.015203978	0.617249808	19.55246784	6.87E-32	FALSE
TRINITY_DN2_c0_g1_i2161590	Sterol O-acyltransferase 2 	SOAT2	-9.276998691	183.0183207	113530.5271	1.08E-31	TRUE
TRINITY_DN12280_c1_g4_i130122	Thrombospondin-1	THBS1	11.60114835	1169.244611	0.351684329	2.09E-31	TRUE
TRINITY_DN235_c0_g1_i4131438	Hypothetical predicted protein	 -	-7.544290921	3.028040121	560.6381817	4.31E-30	TRUE
TRINITY_DN6240_c3_g1_i10250502	Transmembrane emp24 domain-containing protein eca	eca	-1.481901416	5.061326062	14.16353151	1.77E-28	TRUE
TRINITY_DN24025_c0_g1_i1134366	Hypothetical predicted protein	 -	-3.060715029	29.30497817	244.4618469	4.54E-28	TRUE
TRINITY_DN3145_c30_g1_i1167949	Hypothetical predicted protein	 -	12.09031857	842.6091178	0	8.28E-28	TRUE
TRINITY_DN1090149_c72_g1_i111144	Hypothetical predicted protein	 -	12.03724572	812.171075	0	1.05E-27	TRUE
TRINITY_DN82923_c0_g1_i8287007	Hypothetical predicted protein	 -	-4.602494898	0	4.005112387	1.05E-27	TRUE
TRINITY_DN704_c0_g2_i1265993	Hypothetical predicted protein	 -	10.74919908	332.5878449	0	1.88E-27	TRUE
TRINITY_DN58063_c0_g1_i7241834	Hypothetical predicted protein	 -	4.161093838	12.49314987	0.694291011	2.30E-27	TRUE
TRINITY_DN2579_c1_g1_i2144002	Gelsolin	GSN	-4.537390755	27.39878062	635.3127734	5.86E-27	TRUE
TRINITY_DN9099_c0_g1_i7299300	Kinesin-1 heavy chain	KIF5B	1.730644404	11.04749172	3.338413953	2.67E-26	TRUE
TRINITY_DN10730_c1_g1_i109178	Hypothetical predicted protein	 -	-8.000107251	1.485950716	382.2991353	4.56E-26	TRUE
TRINITY_DN678_c0_g1_i1260796	Hypothetical predicted protein	 -	8.590819022	74.513766	0	1.55E-24	TRUE
TRINITY_DN1058_c1_g2_i47599	Hypothetical predicted protein	 -	-5.776632462	4.815210236	262.9410607	2.17E-24	TRUE
TRINITY_DN221_c26_g1_i1120858	Hypothetical predicted protein	 -	12.38779974	1035.547654	0	4.97E-24	TRUE
TRINITY_DN1352_c0_g2_i243664	Hypothetical predicted protein	 -	-7.000012559	2.410790313	306.8091562	6.62E-24	TRUE
TRINITY_DN4253_c3_g1_i1202981	Tripartite motif-containing protein 3	TRIM3	-4.632914409	10.00035964	247.4940168	9.93E-24	TRUE
TRINITY_DN314_c0_g1_i4168111	Serine/threonine-protein kinase pim-3	PIM3	2.100094764	400.5797811	93.45939234	1.08E-23	TRUE
TRINITY_DN15512_c1_g2_i165109	Calmodulin-1	CALM1	-5.422816812	15.39736665	661.840634	1.64E-23	TRUE
