gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128239784	NA	1.10202343703229e-98	17959.879901238	21.533260934952	5.55972256493245	uncharacterized LOC128239784
LOC128232857	RASF8	5.62814864120699e-83	794.779746058013	19.7661841109469	3.2305732486249	uncharacterized LOC128232857
LOC128228205	KLH13	6.8621784627067e-82	563.120621369238	19.624965690443	2.80688589296436	kelch-like protein 26
LOC128240727	NA	2.21910614473554e-77	8362.63728950473	19.0687581468099	7.47597478823398	uncharacterized LOC128240727
LOC128217773	TUSC2	2.72853504642323e-76	872.889803848889	18.928956164486	4.09745111545744	tumor suppressor candidate 2-like
LOC128203576	YH2M	1.19973908118593e-75	990.806426442318	18.8374769886448	5.75622424678348	probable cation-transporting ATPase W08D2.5
LOC128226541	CIPKP	2.73146489678636e-70	9170.3383709621	18.1617872226146	4.30310153983509	uncharacterized LOC128226541
LOC128208805	LLR1	2.4081603339494e-67	3377.14532401291	17.7721058092351	4.79950844180344	leucine-rich repeat protein 1-like
LOC128243288	PDES1	2.56454968507645e-64	2615.79064977193	17.3592149815198	4.05307358710516	plasmanylethanolamine desaturase-like
LOC128219778	ECT2	6.75767232602966e-63	2220.60669026901	17.1592625316549	3.45352084601194	protein ECT2-like
LOC128207205	NA	3.1022464529306e-62	9552.45768347077	17.0680313868752	4.13563240269002	uncharacterized LOC128207205
LOC128227697	MYORG	1.16812024436656e-61	523.174379111401	16.9880450195521	5.95241622962001	myogenesis-regulating glycosidase-like
LOC128208976	NA	8.06281373717115e-59	644.184164521496	16.5912536722171	3.06875330097192	uncharacterized LOC128208976
LOC128241733	NA	3.31562908761296e-58	2195.60715005561	16.5020930636953	6.6706880613499	uncharacterized LOC128241733
LOC128242823	DCA11	1.58896230053722e-57	2370.04860865392	16.4052803357252	3.41146888531016	DDB1- and CUL4-associated factor 11-like
LOC128240903	MFHA1	2.09084740652027e-57	1256.79964321761	16.3867308871489	2.62715588407096	malignant fibrous histiocytoma-amplified sequence 1 homolog
LOC128220374	ZN875	1.90916024174912e-56	1463.52250863744	16.249877978859	3.38061099150201	zinc finger protein 181-like
LOC128217531	NA	6.40978628609817e-56	841.742694435845	16.1719336220858	4.04551036917498	uncharacterized LOC128217531
LOC128204202	ASAP1	2.3760758647248e-55	1718.16326464507	16.0876739324907	3.58720381933191	arfGAP with SH3 domain%2C ANK repeat and PH domain-containing protein-like
LOC128245641	EFHD2	5.16234156551638e-55	11553.304698232	16.0379414785327	3.36254608112941	EF-hand domain-containing protein D2-like
LOC128206137	NA	2.63470433919256e-54	934.227991245283	15.9347985397478	7.01860831141283	uncharacterized LOC128206137
LOC128222978	RABEK	3.14355857629424e-53	1533.99319288565	15.7759868592862	2.54464358197775	rab9 effector protein with kelch motifs-like
LOC128223326	NA	1.76941454826587e-51	3138.95690366088	15.5150231033654	4.41215378624057	WAS/WASL-interacting protein family member 2-like
LOC128242807	ARD17	3.96506843315556e-50	5943.03398738137	15.3099424904115	3.36090607430853	arrestin domain-containing protein 17-like
LOC128212683	TPPP	6.16733861767043e-50	3413.78616826719	15.2798401567071	5.30742254384046	tubulin polymerization-promoting protein family member 3-like
LOC128214320	RCN11	3.23814970981487e-49	998.045647631441	15.1687617823985	5.13887554424355	uncharacterized LOC128214320
LOC128240796	RB27A	6.75279500517223e-49	353.7300756684	15.1191627893743	6.13658042566334	ras-related protein Rab-27A-like
LOC128205650	RDM1	2.01443396037572e-46	411.623815032875	14.7283896302501	6.80551961339813	RAD52 motif-containing protein 1-like
LOC128219750	H6ST2	2.02339118199918e-46	801.074897547358	14.7269906970738	3.0618970222913	heparan-sulfate 6-O-sulfotransferase 2-like
LOC128241739	FADS2	2.4953674920792e-46	750.236660021382	14.7117295720576	6.28588474263327	acyl-CoA 6-desaturase-like
LOC128240734	ACVR1	3.44520499258643e-45	753.102837757628	14.5308887429358	2.28819015759932	activin receptor type-1-like
LOC128212534	PKHA1	2.02365751882919e-44	4358.57934864837	14.4049823082374	2.44363023195793	pleckstrin homology domain-containing family A member 1-like
LOC128246874	ARHGQ	1.61508199095011e-43	15735.7747062051	14.257512247457	5.71194231047913	rho guanine nucleotide exchange factor 5-like
LOC128209019	SRSF4	2.3104108673294e-43	918.642865407157	14.2299249899689	4.92372629317725	serine-arginine protein 55-like
LOC128231556	UBS3B	1.45475757486299e-42	6649.00425908897	14.0952360954218	3.41160239223983	protein UBASH3A homolog
LOC128222493	MET24	5.5226946562287e-42	534.297896686761	13.9948563639664	4.73302910397478	uncharacterized LOC128222493
LOC128208898	TM260	9.9455321356401e-42	371.096919583449	13.9513693275386	3.02313084301442	transmembrane protein 260-like
LOC128245448	CASZ1	2.12573513676333e-41	4042.90561542356	13.8939820764672	5.4884785193898	zinc finger protein castor homolog 1-like
LOC128238993	NAL10	6.46371717785704e-41	1676.75794406014	13.8103895910629	5.90249863725837	uncharacterized LOC128238993
LOC128217702	BAP31	8.09183270168381e-41	2473.83723550486	13.7927548835917	4.08978638893013	B-cell receptor-associated protein 31-like
LOC128246596	PAX2	9.77658770586044e-41	2289.30845470351	13.7776907686312	2.00131642024828	uncharacterized LOC128246596
LOC128218512	ZIM3	2.38307168282058e-40	497.20188210115	13.7104441255736	2.76603367619216	uncharacterized LOC128218512
LOC128216019	B3GT1	3.4737557505514e-40	1199.73600373077	13.6817286024939	4.8292037938985	beta-1%2C3-galactosyltransferase 1-like
LOC128228688	PAR14	1.18334248907277e-39	2953.79337199795	13.5909939923827	4.20158484679699	uncharacterized LOC128228688
LOC128236872	BIR7B	7.74707347185451e-39	3805.19226764412	13.4501665221425	3.72614776514068	baculoviral IAP repeat-containing protein 7-A-like
LOC128202873	NA	9.49058403399736e-39	4721.0546177999	13.4343025072394	4.49147960445846	uncharacterized LOC128202873
LOC128211079	BLNK	1.36144063827073e-38	7192.94668350929	13.4065014437908	3.62820369312832	uncharacterized LOC128211079
LOC128202667	ZN362	1.69249060024933e-38	381.22646307054	13.3897186612093	3.99185861339644	zinc finger and SCAN domain-containing protein 22-like
LOC128242063	NEK4	1.06781339800777e-37	705.789981231166	13.2479173885673	6.57862976719773	serine/threonine-protein kinase Nek4-like
LOC128217173	FGD4	1.57984504861552e-37	4091.83478846899	13.2161315640039	2.9712550210321	FYVE%2C RhoGEF and PH domain-containing protein 4-like
LOC128242132	KLD10	2.51660653093569e-37	332.928032384581	13.1799412794169	3.29240808986414	kelch domain-containing protein 10-like
LOC128207136	LYAM2	2.92885025520391e-37	7511.19294924387	13.1678840646702	2.53248577929462	sushi%2C von Willebrand factor type A%2C EGF and pentraxin domain-containing protein 1-like
LOC128216419	NA	3.97178852727434e-37	2163.36355584088	13.1422190662105	4.67537864770919	uncharacterized LOC128216419
LOC128207571	C170B	9.0468546244214e-37	768.990603792304	13.0748388734784	4.38616358902064	centrosomal protein of 170 kDa-like
LOC128227340	UB2Q1	1.1451469363077e-36	5288.07269171674	13.0548588278657	1.73772964672471	ubiquitin-conjugating enzyme E2 Q2-like
LOC128217062	TRI33	1.58867874283637e-36	1722.91311227894	13.0274175312492	3.91469370352	zinc-binding protein A33-like
LOC128218040	PPM1H	1.85692789179453e-36	936.931470422826	13.0150170665077	1.8632796647433	protein phosphatase 1H-like
LOC128213072	NA	1.97895157552697e-36	19799.4369132222	13.0091871669249	6.43300938928915	uncharacterized LOC128213072
LOC128229620	PP1A	2.90904310512511e-36	4625.5728262956	12.9778087143988	2.48390047178356	serine/threonine-protein phosphatase alpha-2 isoform
LOC128202753	KAZRN	3.07686427345051e-36	2629.48217435798	12.9730427860062	4.14306398190353	kazrin-like
LOC128209132	SNX6	9.55278588832533e-36	4110.33525656655	12.8818125782688	2.55290893991158	sorting nexin-6-like
LOC128208992	SRSF4	2.73028279015189e-35	982.105949005507	12.7978714287165	4.38630540590385	serine-arginine protein 55-like
LOC128224023	PROHY	3.04019060782836e-35	583.796934751818	12.7890851211522	4.16544519106238	L-proline trans-4-hydroxylase-like
LOC128211284	PAR14	4.05709256598629e-35	2428.27960061486	12.7653522301518	4.58830601891509	protein mono-ADP-ribosyltransferase PARP14-like
LOC128242635	NA	4.13037315852842e-35	796.837086091204	12.7635338974068	6.30248082363062	uncharacterized LOC128242635
LOC128245871	NA	6.45390765203454e-35	1052.65321452473	12.7274666667439	7.5209767187388	uncharacterized LOC128245871
LOC128217338	MCLN1	1.16576525401121e-34	6678.80555827808	12.6791402363375	5.0785660993854	mucolipin-1-like
LOC128239841	PURP	6.51518974722993e-34	871.672098441118	12.5415001846772	5.78055863010684	purpurin-like
LOC128209130	ZO61	8.67897698390296e-34	399.035646958772	12.5175572531203	4.41566666076248	zinc finger protein 37-like
LOC128242628	NA	1.99158312434401e-33	1241.38725095934	12.4490856306901	3.296806470678	protein phosphatase 1 regulatory subunit 16A-like
LOC128237455	CATL1	6.62030179570443e-33	16414.5319546792	12.349774411012	8.78742640591545	procathepsin L-like
LOC128233517	STA5B	7.42291091218402e-33	15391.0988954215	12.3379731618301	3.21610291806024	signal transducer and activator of transcription 5B-like
LOC128208347	PKHG1	7.78072430315633e-33	1270.92675976059	12.3338177876163	3.94073584812721	uncharacterized LOC128208347
LOC128228354	HS12A	8.42859870335132e-33	367.150423897495	12.3270110017762	6.02489338760209	heat shock 70 kDa protein 12A-like
LOC128243189	NA	2.62508041588052e-32	932.461232863962	12.232597134151	4.23192456206471	uncharacterized LOC128243189
LOC128233082	ZNF91	3.77399917182358e-32	1055.87740966341	12.202374864593	2.35246618946073	uncharacterized LOC128233082
LOC128214373	ANR44	4.74863104845749e-32	733.078320115148	12.1833080357576	2.28443412477555	poly [ADP-ribose] polymerase tankyrase-2-like
LOC128234870	VPS16	4.99196668588627e-32	4224.82539158417	12.1785354947199	2.27533914432152	vacuolar protein sorting-associated protein 16 homolog
LOC128227088	HS12A	5.65135354520647e-32	2006.75033306757	12.167033556472	6.81767490063735	heat shock 70 kDa protein 12A-like
