gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128208299	BTBD3	2.15813221541403e-56	3320.25830647171	-16.1833332234919	-4.6533696344861	BTB/POZ domain-containing protein 6-B-like
LOC128239332	HDC	1.34230663062122e-43	921.77441643225	-14.2173694092729	-4.78811184077927	headcase protein homolog
LOC128231741	TET1	4.03395688704027e-34	484.601713435142	-12.5579906342421	-5.12115213566051	uncharacterized LOC128231741
LOC128203432	HELZ	2.00694861427483e-33	2280.99147659123	-12.4254602660028	-3.65911131844445	probable helicase with zinc finger domain
LOC128227954	MBTD1	6.42523787703068e-32	1559.45826510334	-12.1381346465056	-3.72418734032224	MBT domain-containing protein 1-like
LOC128238571	HDC	2.44063018154449e-31	1307.87679157796	-12.0254623682614	-4.45903574339333	headcase protein homolog
LOC128240343	CTDSL	3.31111512935409e-30	1353.320627189	-11.8034697279669	-4.66780024100003	CTD small phosphatase-like protein
LOC128234488	ZN445	1.39145271729348e-27	675.336293490388	-11.2713981305525	-3.84986704963489	uncharacterized LOC128234488
LOC128205354	ZN271	1.61704259601936e-27	617.141015412951	-11.2578451392892	-4.23170265797235	uncharacterized LOC128205354
LOC128228397	NA	2.15270075333868e-27	386.372857672476	-11.2319644154813	-4.40964752131866	uncharacterized LOC128228397
LOC128232206	NA	1.24959556536203e-26	5537.79885539111	-11.0705476027536	-3.05571669182329	uncharacterized LOC128232206
LOC128211534	PDCD4	1.32850570548012e-25	4071.94840026409	-10.8501418060572	-3.45571551818772	programmed cell death protein 4-like
LOC128212364	ZNFX1	2.20579833606333e-24	406.382752016285	-10.581837123198	-4.0553354324503	NFX1-type zinc finger-containing protein 1-like
LOC128246677	GGYF1	7.97130346377476e-24	1862.78087827201	-10.4578527372681	-3.41103872790262	GRB10-interacting GYF protein 2-like
LOC128210607	PHF6	1.92779559940912e-23	420.957508857651	-10.3717223629377	-4.1229140081821	uncharacterized LOC128210607
LOC128219852	TFDP1	3.4257368717395e-23	944.970044321354	-10.3158650031059	-3.19833253967181	transcription factor Dp-1-like
LOC128239013	NA	4.1601598440189e-23	386.214237933031	-10.2964145566349	-4.02515255166231	uncharacterized LOC128239013
LOC128217342	NITO	8.27123820704308e-23	993.929112096343	-10.2290395234638	-3.89717384604079	putative RNA-binding protein 15B
LOC128208804	PP2B2	1.51069764787623e-22	2937.39875740998	-10.1695061842081	-3.04535650199379	protein phosphatase 3 catalytic subunit alpha-like
LOC128217996	KAT2A	1.53114320835719e-21	433.966933601576	-9.93481689240331	-3.55989826970677	histone acetyltransferase KAT2B-like
LOC128231465	MK03	1.12090299658314e-20	389.218627479033	-9.72751748688724	-3.62860207619848	mitogen-activated protein kinase 1-like
LOC128224207	NR5A2	1.86585472708625e-20	718.276639157193	-9.67358373315427	-3.12643324710146	nuclear receptor subfamily 5 group A member 2-like
LOC128231464	MK03	2.10752142461489e-20	1005.02186951607	-9.66065562274945	-3.20707351661628	mitogen-activated protein kinase 1-like
LOC128230467	LRP6	3.36291216297436e-20	1549.19031530032	-9.61152276335012	-2.83368196703338	low-density lipoprotein receptor-related protein 6-like
LOC128227227	N4BP2	5.73374530817754e-20	760.654968519427	-9.55282786543788	-3.25150441899209	uncharacterized LOC128227227
LOC128219757	SACS	1.2349664024222e-19	2987.76827467128	-9.47126282794323	-2.87427616361034	sacsin-like
LOC128208075	STNB	1.37204303866502e-19	1170.51156733154	-9.46004331805618	-3.11562051533287	protein stoned-B-like
LOC128231884	PRR12	1.85188113647296e-19	1059.25768324375	-9.42753713383156	-3.11054056370459	putative mediator of RNA polymerase II transcription subunit 26
LOC128218111	ISY1	3.60917475652321e-19	347.669813202522	-9.35574506989249	-3.45397158244535	pre-mRNA-splicing factor ISY1 homolog
LOC128227334	PAN3	3.61160356269727e-19	1289.65434371178	-9.35545756882203	-2.90790769626728	PAN2-PAN3 deadenylation complex subunit Pan3-like
LOC128209091	KBP	6.75908945809896e-19	503.044909197829	-9.28746240191517	-3.2941746218582	KIF-binding protein-like
LOC128233743	SNX4	9.99037361591322e-19	214.826427830714	-9.24406032774734	-4.06505931991501	sorting nexin-4-like
LOC128227036	CHD1	1.08222367815865e-18	2025.4501892556	-9.23507822083255	-2.71592259743297	chromodomain-helicase-DNA-binding protein 1-like
LOC128234222	AVR2A	1.16127787435394e-18	931.684595135943	-9.22731592796734	-2.96195983200678	activin receptor type-2A-like
LOC128236821	MLXIP	3.33353349834753e-18	861.000313724687	-9.1086301328184	-2.8421137710436	rhoGEF domain-containing protein gxcI-like
LOC128234033	DCAF8	4.41508116372903e-18	918.899452115872	-9.07686680180894	-2.91848838530199	DDB1- and CUL4-associated factor 8-like
LOC128214794	HS3S5	6.29135484513416e-18	1032.5143416545	-9.03701202938255	-3.243064981239	heparan sulfate glucosamine 3-O-sulfotransferase 5-like
LOC128208879	MTA1	6.93331493439473e-18	2580.9928683771	-9.02557797366672	-2.96842017014225	metastasis-associated protein MTA3-like
LOC128217943	RENT2	1.21226617362035e-17	624.029785675247	-8.96279995989192	-3.55699636514559	regulator of nonsense transcripts 2-like
LOC128213454	GPBL1	1.21564518828714e-17	1451.76026521288	-8.9622943211695	-2.69474441829913	vasculin-like protein 1
LOC128205458	PUM2	1.49276939869149e-17	1718.39443573201	-8.93883433880726	-3.0267572514498	pumilio homolog 1-like
LOC128236948	DCAF6	1.59022125156437e-17	225.680405416208	-8.93125029765119	-3.74473638153656	DDB1- and CUL4-associated factor 6-like
LOC128209220	NA	3.63801788508539e-17	1046.00077365421	-8.83688753836027	-3.50974207579143	uncharacterized LOC128209220
LOC128217374	NA	4.26801213869183e-17	671.167644213167	-8.81804864862113	-2.92729842049394	uncharacterized LOC128217374
LOC128231777	ELF2	5.62318462443488e-17	1669.60719526232	-8.78576152458941	-3.03104111688677	uncharacterized LOC128231777
LOC128243119	ZNFX1	6.82681137843806e-17	497.985155814465	-8.76316752596182	-3.88134270428072	NFX1-type zinc finger-containing protein 1-like
LOC128243758	E2F4	7.17411350624355e-17	345.732742342369	-8.75738336049171	-3.62362240638567	transcription factor E2F5-like
LOC128227586	IGLR2	8.66481048939872e-17	1356.84341310592	-8.73473999668028	-3.12670535205916	leucine-rich repeat neuronal protein 1-like
LOC128214235	DPYD	1.32383464386704e-16	4308.15692718072	-8.68575294500426	-2.77700336031021	dihydropyrimidine dehydrogenase [NADP(+)]-like
LOC128232113	MERL	3.08404740074905e-16	217.377691509069	-8.58665223699364	-4.35273318850893	merlin-like
LOC128207844	TNR16	3.26670131235883e-16	335.725732419526	-8.57984973400045	-3.74089055319686	tumor necrosis factor receptor superfamily member 16-like
LOC128209629	PAO3	3.36063095920063e-16	236.594356136175	-8.57640191911615	-3.60263071592285	uncharacterized LOC128209629
LOC128238453	REPS1	5.62400055276826e-16	357.23674387344	-8.5141686864334	-3.2861592629628	ralBP1-associated Eps domain-containing protein 2-like
LOC128217781	CEP95	6.51097041659339e-16	237.26572156791	-8.49608452113114	-4.07738017406395	centrosomal protein of 95 kDa-like
