gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128233439	TMP2L	1.29931672280219e-12	1839.18060050826	-8.24302780631035	-2.32019862400047	transient receptor potential cation channel subfamily M member 2-like
LOC128237085	FRRS1	2.07880145665733e-11	47.2427815795393	-7.78155849735845	-9.56097925787458	putative ferric-chelate reductase 1
LOC128236162	NA	5.5768920648541e-11	11831.7512659293	-7.62702771616798	-1.21438838616468	G patch domain-containing protein 8-like
LOC128216032	AKAP5	8.83371207288592e-11	122.671661960244	-7.55509035775073	-3.99052270230648	probable cyclin-dependent serine/threonine-protein kinase DDB_G0292550
LOC128241669	NA	2.36320996881865e-10	30.2925646183088	-7.41442238897211	-8.33832732073315	uncharacterized LOC128241669
LOC128246354	NA	8.14729068634117e-10	26.4867131504318	-7.23773664602978	-4.29404870896318	uncharacterized LOC128246354
LOC128218289	ITPR1	1.32703667735023e-09	2434.95840622561	-7.16110716178333	-1.12417143755227	inositol 1%2C4%2C5-trisphosphate receptor type 1-like
LOC128246951	TNNT	2.38223622188284e-09	1013.27718894392	-7.07090691206572	-3.75467139899967	troponin T%2C skeletal muscle-like
LOC128240363	PPS	2.60563737211266e-09	1463.40458895079	-7.04948358297392	-1.41785637899549	uncharacterized phosphotransferase YvkC-like
LOC128206051	NA	2.11127884276922e-08	244.722287254563	-6.71986804983232	-3.72671617439754	uncharacterized LOC128206051
LOC128205432	NA	5.58809127235815e-08	101.858051322609	-6.56237823144272	-3.97405234490661	anaphase-promoting complex subunit cdh1-like
LOC128216933	NA	1.10417549190981e-07	907.7271864434	-6.42903074719302	-12.1136515073805	uncharacterized LOC128216933
LOC128213015	S2538	1.29591476893183e-07	850.872775230657	-6.39909317121766	-1.96137215212929	mitochondrial glycine transporter-like
LOC128236409	FRRS1	2.41682051901494e-07	21.2941286579512	-6.27773093795206	-7.82498210108586	putative ferric-chelate reductase 1
