LOC128237006	uncharacterized LOC128237006
LOC128234792	putative nuclease HARBI1
LOC128240612	uncharacterized LOC128240612
LOC128234816	uncharacterized LOC128234816
LOC128234511	uncharacterized LOC128234511
LOC128234525	uncharacterized LOC128234525
LOC128234827	uncharacterized LOC128234827
LOC128238513	uncharacterized LOC128238513
LOC128234834	mucin-2-like
LOC128234842	mucin-5AC-like
LOC128234950	transmembrane channel-like protein 1
LOC128236803	alpha-aspartyl dipeptidase-like
LOC128235201	uncharacterized LOC128235201
LOC128234967	uncharacterized LOC128234967
LOC128212349	uncharacterized LOC128212349
LOC128234981	uncharacterized LOC128234981
LOC128228631	uncharacterized LOC128228631
LOC128208350	uncharacterized LOC128208350
LOC128234989	titin-like
LOC128234995	uncharacterized LOC128234995
LOC128235004	partner of bursicon-like
LOC128209150	collagen alpha-2(I) chain-like
LOC128237079	uncharacterized oxidoreductase YjmC-like
LOC128237070	nucleolar MIF4G domain-containing protein 1-like
LOC128231533	uncharacterized LOC128231533
LOC128230897	uncharacterized LOC128230897
LOC128230959	tsukushi-like
LOC128235013	uncharacterized LOC128235013
LOC128206167	dnaJ homolog subfamily B member 6-like
LOC128206115	E3 ubiquitin-protein ligase E3D-like
LOC128228641	integrin alpha-8-like
LOC128235019	fucolectin-1-like
LOC128237987	fucolectin-1-like
LOC128234349	endoglucanase F-like
LOC128239485	uncharacterized LOC128239485
LOC128235034	uncharacterized LOC128235034
LOC128235039	putative nuclease HARBI1
LOC128235048	calcitonin gene-related peptide type 1 receptor-like
LOC128204920	uncharacterized LOC128204920
LOC128237712	putative nuclease HARBI1
LOC128235097	guanylate-binding protein 1-like
LOC128213936	guanylate-binding protein 1-like
LOC128235140	uncharacterized LOC128235140
LOC128235151	uncharacterized LOC128235151
LOC128226071	uncharacterized protein F54F2.9-like
LOC128237218	uncharacterized LOC128237218
LOC128237253	uncharacterized LOC128237253
LOC128235184	tripartite motif-containing protein 45-like
LOC128235193	tripartite motif-containing protein 45-like
LOC128211494	uncharacterized LOC128211494
LOC128235207	E3 ubiquitin-protein ligase TRIM71-like
LOC128240227	uncharacterized LOC128240227
LOC128231310	E3 ubiquitin-protein ligase ubr3-like
LOC128232635	sugar transporter SWEET1-like
LOC128211433	alpha-(1%2C3)-fucosyltransferase C-like
LOC128240681	alpha-(1%2C3)-fucosyltransferase C-like
LOC128235221	4-galactosyl-N-acetylglucosaminide 3-alpha-L-fucosyltransferase FUT6-like
LOC128204657	endoprotease aex-5-like
LOC128235229	alpha-(1%2C3)-fucosyltransferase C-like
LOC128235237	uncharacterized LOC128235237
LOC128237830	uncharacterized LOC128237830
LOC128235245	uncharacterized LOC128235245
LOC128235253	uncharacterized LOC128235253
LOC128236850	uncharacterized LOC128236850
LOC128235265	collagen alpha-2(VIII) chain-like
LOC128237170	uncharacterized LOC128237170
LOC128237467	uncharacterized LOC128237467
LOC128239367	uncharacterized LOC128239367
LOC128205463	uncharacterized LOC128205463
LOC128231297	breast cancer type 1 susceptibility protein homolog
LOC128231304	uncharacterized LOC128231304
LOC128235305	uncharacterized LOC128235305
LOC128240652	putative protein TPRXL
LOC128232169	chondroitin sulfate glucuronyltransferase-like
LOC128234160	carboxylesterase 5A-like
LOC128233991	ninjurin-2-like
LOC128237486	solute carrier family 23 member 2-like
LOC128237495	putative nuclease HARBI1
LOC128237502	uncharacterized LOC128237502
LOC128234193	uncharacterized LOC128234193
LOC128235313	neurogenic locus notch homolog protein 1-like
LOC128246193	uncharacterized LOC128246193
LOC128205223	uncharacterized LOC128205223
LOC128246086	dynein light chain 2%2C cytoplasmic
LOC128235343	dynein light chain LC6%2C flagellar outer arm-like
LOC128233944	insulin-induced gene 2 protein-like
LOC128227981	coiled-coil domain-containing protein 93-like
LOC128238228	uncharacterized LOC128238228
LOC128234123	uncharacterized LOC128234123
LOC128234132	uncharacterized LOC128234132
LOC128234062	corticotropin-releasing factor receptor 2-like
LOC128235365	uncharacterized LOC128235365
LOC128235375	putative nuclease HARBI1
LOC128235393	putative nuclease HARBI1
LOC128228549	uncharacterized LOC128228549
LOC128213200	uncharacterized LOC128213200
LOC128235402	uncharacterized LOC128235402
LOC128240091	uncharacterized LOC128240091
LOC128233507	bile salt-activated lipase-like
LOC128233515	uncharacterized LOC128233515
LOC128243632	collagen alpha-1(X) chain-like
LOC128240811	uncharacterized LOC128240811
LOC128231184	probable serine/threonine-protein kinase fhkE
LOC128235443	uncharacterized LOC128235443
LOC128239545	uncharacterized LOC128239545
LOC128239990	uncharacterized LOC128239990
LOC128236022	uncharacterized LOC128236022
LOC128205277	uncharacterized LOC128205277
LOC128204340	uncharacterized LOC128204340
LOC128226663	beta-2 adrenergic receptor-like
Trnal-caa	transfer RNA leucine (anticodon CAA)
Trnal-uaa	transfer RNA leucine (anticodon UAA)
LOC128231717	neuromedin-K receptor-like
LOC128237530	uncharacterized LOC128237530
LOC128209896	uncharacterized LOC128209896
LOC128217463	demethylmenaquinone methyltransferase-like
LOC128238258	calaxin-like
LOC128231224	sphingosine-1-phosphate phosphatase 2-like
LOC128238706	uncharacterized LOC128238706
LOC128235530	uncharacterized LOC128235530
LOC128239331	WD40 repeat-containing protein SMU1
LOC128233617	uncharacterized LOC128233617
LOC128235536	uncharacterized LOC128235536
LOC128237829	actin-related protein 3
LOC128237998	esterase OVCA2-like
LOC128238801	ankyrin repeat and death domain-containing protein 1A-like
LOC128233827	sodium-dependent glucose transporter 1A-like
LOC128235603	ankyrin repeat domain-containing protein 7-like
LOC128227073	short-chain collagen C4-like
LOC128227128	ras guanine nucleotide exchange factor F-like
LOC128236080	acidic mammalian chitinase-like
LOC128239473	uncharacterized LOC128239473
LOC128239078	uncharacterized protein CXorf38 homolog
LOC128239089	uncharacterized LOC128239089
LOC128232176	uncharacterized LOC128232176
LOC128236834	uncharacterized LOC128236834
LOC128203163	trafficking protein particle complex subunit 4-like
LOC128240905	uncharacterized LOC128240905
LOC128232137	calaxin-like
LOC128235723	uncharacterized LOC128235723
LOC128237228	zinc finger MYND domain-containing protein 11-like
LOC128235734	zinc finger MYND domain-containing protein 11-like
LOC128233837	formimidoyltransferase-cyclodeaminase-like
LOC128233667	uncharacterized LOC128233667
LOC128233492	carboxylesterase 1E-like
LOC128240335	uncharacterized LOC128240335
LOC128236867	neuroligin-4%2C Y-linked-like
LOC128234861	fatty acyl-CoA hydrolase precursor%2C medium chain-like
LOC128234930	uncharacterized LOC128234930
LOC128234866	monocarboxylate transporter 12-like
LOC128234907	uncharacterized LOC128234907
LOC128234848	hemicentin-1-like
LOC128234876	uncharacterized LOC128234876
LOC128234944	uncharacterized LOC128234944
LOC128235753	cocaine esterase-like
LOC128235764	neuroligin-4%2C Y-linked-like
LOC128234922	uncharacterized LOC128234922
LOC128234880	uncharacterized LOC128234880
LOC128235795	uncharacterized LOC128235795
LOC128234939	uncharacterized LOC128234939
LOC128235803	putative nuclease HARBI1
LOC128234900	uncharacterized LOC128234900
LOC128234890	uncharacterized LOC128234890
LOC128234932	uncharacterized LOC128234932
LOC128234865	pyrethroid hydrolase Ces2e-like
LOC128233428	pyrethroid hydrolase Ces2e-like
LOC128235258	carboxylesterase 5A-like
LOC128237284	monocarboxylate transporter 12-B-like
LOC128235811	probable proline iminopeptidase
LOC128239977	uncharacterized LOC128239977
LOC128236044	probable proline iminopeptidase
LOC128235820	DNA-directed RNA polymerase subunit beta'-like
LOC128236084	probable proline iminopeptidase
LOC128236061	probable serine carboxypeptidase CPVL
LOC128236081	synaptosomal-associated protein 47-like
LOC128236053	pyrethroid hydrolase Ces2e-like
LOC128236103	vacuolar-sorting protein SNF8-like
LOC128235830	uncharacterized LOC128235830
LOC128235841	neurogenic locus notch homolog protein 1-like
LOC128235852	neurogenic locus notch homolog protein 1-like
LOC128235873	uncharacterized LOC128235873
LOC128238885	RNA-binding protein FUS-like
LOC128238935	tRNA (cytosine(72)-C(5))-methyltransferase NSUN6-like
LOC128232908	cell division cycle protein 27 homolog
LOC128203691	uncharacterized LOC128203691
LOC128238118	uncharacterized LOC128238118
LOC128232412	kinesin-like protein KIF28P
LOC128237916	secernin-2-like
LOC128230836	actin-5-like
LOC128229380	protein cordon-bleu-like
LOC128235906	dipeptidase 1-like
LOC128235916	uncharacterized LOC128235916
LOC128230515	uncharacterized LOC128230515
LOC128230519	uncharacterized LOC128230519
LOC128230496	PE-PGRS family protein PE_PGRS16-like
LOC128230502	protein FAM98B-like
LOC128230531	uncharacterized LOC128230531
LOC128230523	uncharacterized LOC128230523
LOC128211005	uncharacterized LOC128211005
LOC128235964	RNA-binding protein cabeza-like
LOC128215599	uncharacterized LOC128215599
LOC128235975	type-2 ice-structuring protein-like
LOC128235985	perlucin-like
LOC128237032	uncharacterized LOC128237032
LOC128237025	uncharacterized LOC128237025
LOC128237965	uncharacterized LOC128237965
LOC128244897	ligand-gated ion channel 4-like
LOC128236035	uncharacterized LOC128236035
LOC128237757	uncharacterized LOC128237757
LOC128238523	uncharacterized LOC128238523
LOC128217586	uncharacterized LOC128217586
LOC128232972	ralA-binding protein 1-like
LOC128239141	cyclin-dependent kinase 5 activator 1-like
LOC128232312	ankyrin repeat%2C PH and SEC7 domain containing protein secG-like
LOC128232320	26S proteasome non-ATPase regulatory subunit 11-like
LOC128231835	cullin-2-like
LOC128235168	leucine-rich repeat-containing protein 46-like
LOC128235177	cytochrome P450 20A1-like
LOC128228685	uncharacterized LOC128228685
LOC128228694	uncharacterized LOC128228694
LOC128236139	uncharacterized LOC128236139
LOC128231276	uncharacterized LOC128231276
LOC128231271	uncharacterized LOC128231271
LOC128236146	tyrosine kinase receptor Cad96Ca-like
LOC128230970	uncharacterized LOC128230970
LOC128230985	fibroblast growth factor receptor-like
LOC128230995	protein kinase C-binding protein NELL1-like
LOC128231640	uncharacterized LOC128231640
LOC128231647	uncharacterized LOC128231647
LOC128231652	uncharacterized LOC128231652
LOC128231661	uncharacterized LOC128231661
LOC128236187	putative nuclease HARBI1
Trnal-caa	transfer RNA leucine (anticodon CAA)
Trnal-uaa	transfer RNA leucine (anticodon UAA)
LOC128231668	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
LOC128231674	uncharacterized LOC128231674
LOC128238075	uncharacterized LOC128238075
LOC128245366	myosin-11-like
LOC128236221	uncharacterized LOC128236221
LOC128236230	heat shock 70 kDa protein 12B-like
LOC128236245	heat shock 70 kDa protein 12A-like
LOC128232919	heat shock 70 kDa protein 12A-like
LOC128238537	heat shock 70 kDa protein 12A-like
LOC128232627	autophagy-related protein 9A-like
Trnat-agu	transfer RNA threonine (anticodon AGU)
LOC128228577	uncharacterized LOC128228577
LOC128228586	dephospho-CoA kinase domain-containing protein-like
LOC128228555	rap guanine nucleotide exchange factor 4-like
LOC128236266	uncharacterized LOC128236266
LOC128230224	dynein axonemal heavy chain 8-like
LOC128230231	uncharacterized LOC128230231
LOC128238400	uncharacterized LOC128238400
LOC128238395	dynein axonemal heavy chain 8-like
LOC128238433	uncharacterized LOC128238433
LOC128238426	dynein axonemal heavy chain 8-like
LOC128211879	uncharacterized LOC128211879
LOC128239260	dynein axonemal heavy chain 8-like
LOC128238455	uncharacterized LOC128238455
LOC128238447	dynein axonemal heavy chain 8-like
LOC128236276	uncharacterized LOC128236276
LOC128228250	oncoprotein-induced transcript 3 protein-like
LOC128232578	protein HGH1 homolog
LOC128231508	SAP domain-containing ribonucleoprotein-like
LOC128232406	uncharacterized LOC128232406
LOC128236326	beta-1%2C4-galactosyltransferase galt-1-like
LOC128238599	parathyroid hormone/parathyroid hormone-related peptide receptor-like
LOC128243401	perlucin-like protein
LOC128231208	C-type lectin domain family 10 member A-like
LOC128236342	C-type lectin domain family 2 member D-like
LOC128233775	uncharacterized LOC128233775
LOC128233766	SH3 domain-binding protein 5-like
LOC128236374	folate receptor beta-like
LOC128234594	uncharacterized LOC128234594
LOC128236387	folate receptor beta-like
LOC128211995	uncharacterized LOC128211995
LOC128231359	uncharacterized LOC128231359
LOC128236709	uncharacterized LOC128236709
LOC128238390	uncharacterized LOC128238390
LOC128236419	elastin-like
LOC128230420	ADP-ribosylation factor-like protein 5B
LOC128237108	EKC/KEOPS complex subunit LAGE3-like
LOC128236423	polypeptide N-acetylgalactosaminyltransferase 11-like
LOC128237905	phosphatidylinositol 5-phosphate 4-kinase type-2 alpha-like
LOC128240996	uncharacterized LOC128240996
LOC128240985	uncharacterized LOC128240985
LOC128236441	uncharacterized LOC128236441
LOC128232213	glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1-like
LOC128240677	multimerin-1-like
LOC128231975	uncharacterized LOC128231975
LOC128238479	uncharacterized LOC128238479
LOC128239625	molluscan insulin-related peptide 1-like
LOC128230561	tyrosine-protein kinase Fes/Fps-like
LOC128230599	tyrosine-protein kinase Fes/Fps-like
LOC128230574	tyrosine-protein kinase Fer-like
LOC128234669	ephrin type-B receptor 2-like
LOC128220713	kielin/chordin-like protein
LOC128238245	uncharacterized LOC128238245
LOC128232448	vacuolar protein sorting-associated protein 41 homolog
LOC128239783	POU domain%2C class 6%2C transcription factor 2-like
LOC128220787	uncharacterized protein K02A2.6-like
LOC128220901	uncharacterized LOC128220901
LOC128238600	sulfotransferase 4A1-like
LOC128220090	fatty-acid amide hydrolase 1-like
LOC128214035	uncharacterized LOC128214035
LOC128229801	integrin alpha-6-like
LOC128239269	biogenesis of lysosome-related organelles complex 1 subunit 1-like
LOC128221037	collagen alpha-2(IV) chain-like
LOC128221106	uncharacterized LOC128221106
LOC128221191	neuronal acetylcholine receptor subunit alpha-10-like
LOC128221247	heat shock 70 kDa protein 12B-like
LOC128221327	uncharacterized LOC128221327
LOC128238550	coiled-coil domain-containing protein 34-like
LOC128238544	caldesmon-like
LOC128217378	uncharacterized LOC128217378
LOC128221396	ATP-binding cassette sub-family C member 4-like
LOC128221502	uncharacterized LOC128221502
LOC128206828	uncharacterized LOC128206828
LOC128240865	uncharacterized LOC128240865
LOC128221605	uncharacterized LOC128221605
LOC128226577	uncharacterized LOC128226577
LOC128220465	uncharacterized LOC128220465
LOC128232849	splicing factor 3B subunit 1-like
LOC128232985	coenzyme Q-binding protein COQ10 homolog A%2C mitochondrial-like
LOC128217959	ankycorbin-like
LOC128221705	spore coat protein SP87-like
LOC128218093	solute carrier family 23 member 1-like
LOC128218456	uncharacterized LOC128218456
LOC128221810	solute carrier family 23 member 2-like
LOC128221884	uncharacterized LOC128221884
LOC128218223	BTB/POZ domain-containing protein 6-like
LOC128221942	BTB/POZ domain-containing protein 6-B-like
LOC128218364	BTB/POZ domain-containing protein 6-B-like
LOC128238153	heavy metal-binding protein HIP-like
LOC128222023	myosin heavy chain%2C muscle-like
LOC128222085	heavy metal-binding protein HIP-like
LOC128237308	probable N-acetylgalactosaminyltransferase 9
LOC128240237	uncharacterized LOC128240237
LOC128240222	BTB/POZ domain-containing protein 6-like
LOC128232115	probable N-acetylgalactosaminyltransferase 9
LOC128234198	uncharacterized LOC128234198
LOC128204055	plexin domain-containing protein 2-like
LOC128233798	telomerase reverse transcriptase-like
LOC128238746	uncharacterized LOC128238746
LOC128222145	telomerase reverse transcriptase-like
LOC128240782	uncharacterized LOC128240782
LOC128214113	uncharacterized LOC128214113
LOC128239339	uncharacterized LOC128239339
LOC128222212	collagen alpha-2(IV) chain-like
LOC128222288	neuronal acetylcholine receptor subunit alpha-6-like
LOC128222385	neuronal acetylcholine receptor subunit alpha-10-like
LOC128222462	heat shock 70 kDa protein 12A-like
LOC128236122	coiled-coil domain-containing protein 34-like
LOC128236112	neurofilament light polypeptide-like
LOC128236132	uncharacterized LOC128236132
LOC128235056	uncharacterized LOC128235056
LOC128239512	putative nuclease HARBI1
LOC128222542	uncharacterized LOC128222542
LOC128205944	uncharacterized LOC128205944
LOC128222617	uncharacterized LOC128222617
LOC128208162	splicing factor 3B subunit 1-like
LOC128208274	coenzyme Q-binding protein COQ10 homolog A%2C mitochondrial-like
LOC128233454	ankycorbin-like
LOC128222707	uncharacterized LOC128222707
LOC128231532	uncharacterized LOC128231532
LOC128222794	heat shock 70 kDa protein 12A-like
LOC128222869	kielin/chordin-like protein
LOC128239389	heat shock 70 kDa protein 12A-like
LOC128222953	solute carrier family 23 member 1-like
LOC128223024	serine-rich adhesin for platelets-like
LOC128213040	uncharacterized LOC128213040
LOC128238419	BTB/POZ domain-containing protein 6-B-like
LOC128227151	BTB/POZ domain-containing protein 6-B-like
LOC128203911	BTB/POZ domain-containing protein 6-B-like
LOC128215549	caprin-2-like
LOC128244359	caprin-2-like
LOC128238325	caprin-2-like
LOC128231718	BTB/POZ domain-containing protein 6-like
LOC128223116	BTB/POZ domain-containing protein 6-B-like
LOC128239890	complement C1q tumor necrosis factor-related protein 3-like
LOC128223192	semaphorin-5A-like
LOC128240794	caprin-2-like
LOC128240799	uncharacterized LOC128240799
LOC128223300	A disintegrin and metalloproteinase with thrombospondin motifs adt-1-like
LOC128223403	ectin-like
LOC128238518	uncharacterized LOC128238518
LOC128238734	BTB/POZ domain-containing protein 6-like
LOC128236208	probable N-acetylgalactosaminyltransferase 9
LOC128236679	uncharacterized LOC128236679
LOC128236521	BTB/POZ domain-containing protein 6-like
LOC128236386	probable N-acetylgalactosaminyltransferase 9
LOC128236452	uncharacterized LOC128236452
LOC128213170	plexin domain-containing protein 2-like
LOC128205305	telomerase reverse transcriptase-like
LOC128240731	uncharacterized LOC128240731
LOC128223511	uncharacterized LOC128223511
LOC128240568	uncharacterized LOC128240568
LOC128234001	uncharacterized LOC128234001
LOC128234478	uncharacterized LOC128234478
LOC128234493	uncharacterized LOC128234493
LOC128238791	uncharacterized LOC128238791
LOC128237509	uncharacterized LOC128237509
LOC128237999	uncharacterized LOC128237999
LOC128231455	sarcoplasmic calcium-binding protein-like
LOC128231459	sarcoplasmic calcium-binding protein-like
LOC128235296	dipeptidase 1-like
LOC128223616	vitelline membrane outer layer protein 1-like
LOC128229569	protein white-like
LOC128229521	multiple epidermal growth factor-like domains protein 10
LOC128229553	sarcoplasmic calcium-binding protein-like
LOC128229537	dipeptidase 1-like
LOC128223691	protein draper-like
LOC128238213	multiple epidermal growth factor-like domains protein 6
LOC128230780	uncharacterized LOC128230780
LOC128238581	multiple epidermal growth factor-like domains protein 10
LOC128228811	uncharacterized LOC128228811
LOC128213748	uncharacterized LOC128213748
LOC128236813	dipeptidase 1-like
LOC128227278	vitelline membrane outer layer protein 1-like
Trnas-uga	transfer RNA serine (anticodon UGA)
LOC128234549	solute carrier family 23 member 1-like
LOC128223827	keratin-associated protein 5-5-like
LOC128233880	uncharacterized LOC128233880
LOC128239225	uncharacterized LOC128239225
LOC128239344	coiled-coil domain-containing protein 89-like
LOC128223902	uncharacterized LOC128223902
LOC128240020	uncharacterized LOC128240020
LOC128234323	low-density lipoprotein receptor-related protein 2-like
LOC128234333	uncharacterized LOC128234333
LOC128238310	protein white-like
LOC128231151	integrin beta-1-like
LOC128207905	integrin beta-like protein 1
LOC128223957	integrin beta-7-like
