pathway	pval	padj	log2err	ES	NES	size	go_code
GOBP_CELLULAR_RESPONSE_TO_INTERLEUKIN_1	1.3127688959407e-08	1.74797792079941e-05	0.747739663149885	0.761816892162086	2.20019704077899	52	GO:0071347
GOBP_RESPONSE_TO_INTERLEUKIN_1	1.45004044214976e-07	0.000147375896081064	0.690132458796796	0.731974732161047	2.14290281082177	56	GO:0070555
GOBP_CYTOKINE_PRODUCTION	8.21501788695029e-06	0.00365285904729424	0.593325476396405	0.444531238859385	1.65828480284961	384	GO:0001816
GOMF_DNA_BINDING_TRANSCRIPTION_ACTIVATOR_ACTIVITY	7.51093925742031e-06	0.00365285904729424	0.610526878385931	0.518380362618957	1.80208373789116	179	GO:0001216
GOBP_REGULATION_OF_ALCOHOL_BIOSYNTHETIC_PROCESS	1.19042909650821e-05	0.00483960446120439	0.593325476396405	0.82128988373209	2.09927336349726	24	GO:1902930
GOBP_LENS_FIBER_CELL_MORPHOGENESIS	1.34550498724536e-05	0.00490902319577287	0.593325476396405	0.999390206719922	1.44611975583395	2	GO:0070309
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_OXIDATIVE_STRESS	1.34550498724536e-05	0.00490902319577287	0.593325476396405	0.999390206719922	1.44611975583395	2	GO:0036091
GOMF_CALCIUM_ION_BINDING	2.00871414260383e-05	0.0064959076216159	0.575610261071129	0.3999718949038	1.52351926962213	559	GO:0005509
GOBP_LOBAR_BRONCHUS_DEVELOPMENT	2.4181322307156e-05	0.00738211162648519	0.575610261071129	0.999048098190021	1.44562472406318	2	GO:0060482
GOBP_CELLULAR_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE	2.96780902927411e-05	0.0075534885021477	0.575610261071129	0.869397236226941	2.00699626467888	16	GO:0071243
GOBP_LIPID_LOCALIZATION	3.07893972257057e-05	0.0075534885021477	0.557332238758646	0.467110133335361	1.67974625588892	255	GO:0010876
GOBP_RESPONSE_TO_CYTOKINE	2.76401464722074e-05	0.0075534885021477	0.575610261071129	0.415913630273948	1.5614461318958	436	GO:0034097
GOBP_STEROID_METABOLIC_PROCESS	2.55047150239851e-05	0.0075534885021477	0.575610261071129	0.533138378704413	1.81072482771396	145	GO:0008202
GOBP_REGULATION_OF_INOSITOL_PHOSPHATE_BIOSYNTHETIC_PROCESS	3.74918203491419e-05	0.00836278387553232	0.557332238758646	0.907238682863007	1.93823438738327	11	GO:0010919
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_STRESS	4.11374856288996e-05	0.00886886792444867	0.557332238758646	0.848749696046041	1.98070505298521	17	GO:0036003
GOBP_RESPONSE_TO_ARSENIC_CONTAINING_SUBSTANCE	4.29853231191622e-05	0.00899467886268469	0.557332238758646	0.816316931460251	1.97142281502511	20	GO:0046685
GOBP_STEROL_HOMEOSTASIS	4.77279867926793e-05	0.00960038978127895	0.557332238758646	0.621424047647902	1.88597765420047	67	GO:0055092
GOMF_STEROL_BINDING	4.79041165556824e-05	0.00960038978127895	0.557332238758646	0.653296942361858	1.92833674626037	57	GO:0032934
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	5.18532014330326e-05	0.0102474889332031	0.557332238758646	0.89743845719945	1.95156626321874	12	GO:1990440
GOBP_NEGATIVE_REGULATION_OF_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS	5.59733810049805e-05	0.0109102087441078	0.557332238758646	0.92461743375014	1.86051277423316	9	GO:2000352
GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY	8.0771624995925e-05	0.0147346083598335	0.538434096309916	0.510057585900304	1.76713486798775	168	GO:0019221
GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION	8.56096013980914e-05	0.0152874117095008	0.538434096309916	0.418350451332359	1.5642746792755	397	GO:0045596
GOBP_EOSINOPHIL_CHEMOTAXIS	8.97354115440409e-05	0.0153836767573513	0.538434096309916	0.985386729072128	1.64819535864479	4	GO:0048245
GOBP_EOSINOPHIL_MIGRATION	8.97354115440409e-05	0.0153836767573513	0.538434096309916	0.985386729072128	1.64819535864479	4	GO:0072677
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_GLUCOSE_DEPRIVATION	9.29207185799823e-05	0.0154298539559096	0.538434096309916	0.963443531459078	1.71466227762038	5	GO:0090650
GOBP_RESPONSE_TO_OXYGEN_GLUCOSE_DEPRIVATION	9.29207185799823e-05	0.0154298539559096	0.538434096309916	0.963443531459078	1.71466227762038	5	GO:0090649
