gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128213480	PUM3	2.32022587344901e-160	16603.9960169463	-27.3591626462239	-4.1553692017813	pumilio homolog 3-like
LOC128243356	TBB	2.96132028343324e-141	74207.8937011383	-25.6764076563924	-4.42998682982483	tubulin beta chain-like
LOC128245684	NA	1.85401858798706e-89	1526.40395994193	-20.4892400330316	-3.76915777692488	uncharacterized LOC128245684
LOC128240418	NA	5.72690793419342e-85	1043.68944334205	-19.9684149650742	-8.91466617550216	uncharacterized LOC128240418
LOC128203379	NA	1.4289261205843e-82	1209.48280187885	-19.6815330750878	-6.19329527673837	uncharacterized LOC128203379
LOC128231713	SGSM1	1.09943765504987e-80	1178.09850346079	-19.452291950578	-4.09224527421787	small G protein signaling modulator 1-like
LOC128211986	NA	2.03927186160786e-74	1145.90413314302	-18.6842861999726	-7.05364866557582	uncharacterized LOC128211986
LOC128230585	NA	1.28843821654321e-72	1160.7004282201	-18.4560087393255	-2.40912490920099	uncharacterized LOC128230585
LOC128229303	NA	1.5632039114826e-70	324.559232331662	-18.1897108714012	-6.85598809815899	uncharacterized LOC128229303
LOC128232121	NA	1.87623291558032e-68	923.329014213156	-17.9205412373899	-6.13328596844151	collagen alpha-1(I) chain-like
LOC128244936	RHEB	1.27779880452932e-66	738.676664008863	-17.6754852090238	-6.58948084227908	GTP-binding protein Rheb-like
LOC128240738	S4A8	9.5763276455656e-66	747.781329285514	-17.5576131131638	-7.75120938746504	electrogenic sodium bicarbonate cotransporter 1-like
LOC128213856	NA	4.02529987275201e-65	609.451206485228	-17.4722239129405	-4.72044400838279	RNA polymerase-associated protein LEO1-like
LOC128211207	CFA46	1.9753956964965e-64	2259.3964745067	-17.3777622907979	-5.71795350947681	cilia- and flagella-associated protein 46-like
LOC128206567	SO4C1	2.59824862925007e-64	7175.72536142559	-17.3587540512787	-3.6194134783076	solute carrier organic anion transporter family member 4C1-like
LOC128230118	ZBED1	1.20287526631977e-61	398.059577725051	-16.9965364083242	-6.7242352032056	E3 SUMO-protein ligase ZBED1-like
LOC128232148	TMM47	3.33772594908088e-61	779.703816533435	-16.933720039395	-9.48537220260149	transmembrane protein 47-like
LOC128213552	CC14A	1.72045577415817e-58	13437.7488691815	-16.5541151511359	-3.02495170927607	dual specificity protein phosphatase CDC14A-like
LOC128220691	CE034	1.98770186808969e-57	538.722510886956	-16.4036964877489	-4.33619291452217	uncharacterized protein C5orf34 homolog
LOC128230403	NA	2.15202291908641e-57	334.723985202216	-16.3941949601993	-5.37593821858075	uncharacterized LOC128230403
LOC128231369	NA	5.18643419973401e-57	727.361147957711	-16.3342250135693	-8.70115792130318	uncharacterized LOC128231369
LOC128229834	LRIQ1	1.01184564563743e-56	419.351015689089	-16.2914059774007	-5.45749330412095	leucine-rich repeat and IQ domain-containing protein 1-like
LOC128202705	NA	1.07539381146947e-55	653.467339581629	-16.1405278693916	-3.55439660785667	uncharacterized LOC128202705
LOC128204083	NA	1.09849517027859e-55	1763.73900327588	-16.1374266127205	-8.72696114311672	uncharacterized LOC128204083
LOC128231175	TRI33	2.13659747898985e-55	3383.55054461049	-16.0912152063671	-6.56060427041683	uncharacterized LOC128231175
LOC128210003	NA	3.15735064581876e-54	15979.888214965	-15.9219983032875	-5.65233524674861	uncharacterized LOC128210003
LOC128224721	ATAT	3.67587651711051e-53	412.126814899858	-15.7660912748462	-4.52200112914824	alpha-tubulin N-acetyltransferase 1-like
LOC128232963	NA	4.21261978850688e-52	430.410268873996	-15.6096852456787	-6.23652854326268	uncharacterized LOC128232963
LOC128205214	NA	7.68483821674154e-52	539.556875486952	-15.5697409195279	-8.26814735902323	uncharacterized LOC128205214
LOC128206740	SORCN	2.40133344060854e-51	578.273766576246	-15.4951790635425	-5.53728084208997	sorcin-like
LOC128242578	NA	7.79244279402118e-51	430.250703697986	-15.4178551706682	-8.48092664994174	uncharacterized LOC128242578
LOC128209790	CC170	8.9830842106788e-51	923.489561137048	-15.4072159648168	-6.26019119623667	coiled-coil domain-containing protein 170-like
LOC128212193	RDH11	4.14782806865046e-50	1398.95524704333	-15.3065897204507	-2.77350952705926	retinol dehydrogenase 11-like
LOC128203638	NWD2	1.22002555246427e-49	660.715202805817	-15.2348367534232	-3.18086845593016	NACHT and WD repeat domain-containing protein 2-like
LOC128216660	HYPDH	3.60219236301432e-49	311.526482938705	-15.1625273938323	-8.46681203934265	hydroxyproline dehydrogenase-like
LOC128227628	DNAS1	9.6793869819954e-49	651.536289979864	-15.0947858529627	-8.51943648311359	deoxyribonuclease-1-like
LOC128229994	NA	4.48187982222026e-48	372.241697145848	-14.9920391694972	-9.09549279952176	serine-rich adhesin for platelets-like
LOC128232783	CCD42	1.19969817651325e-47	612.28764032573	-14.9239440517777	-5.27548893866399	coiled-coil domain-containing protein 42 homolog
LOC128235647	YD023	1.08421957594543e-46	816.780447209186	-14.7726582691284	-9.21629253200686	uncharacterized LOC128235647
LOC128228466	LR74B	2.33564890034663e-46	239.772114323465	-14.7196568718426	-8.79246515105012	leucine-rich repeat-containing protein 74B-like
LOC128237297	GCP5	7.88621375727949e-46	1307.89314734533	-14.633648660767	-2.27389183214632	gamma-tubulin complex component 5-like
LOC128246086	DYL2	9.68385464414532e-46	2045.86472646299	-14.6185489240707	-7.48712427280075	dynein light chain 2%2C cytoplasmic
LOC128221752	CB081	1.30780796543472e-45	276.444286207393	-14.5969662776582	-3.05666265768871	uncharacterized protein C2orf81 homolog
LOC128219107	NA	1.32774293420063e-45	146.019711963303	-14.5948434720229	-7.35753365417959	uncharacterized LOC128219107
LOC128229284	NA	1.94437067546023e-45	310.673639990431	-14.5677290040975	-7.93873976192535	mucin-22-like
LOC128204997	NPHN	2.49346507180519e-45	414.161885321264	-14.5496635313775	-8.00992568206908	nephrin-like
LOC128215806	TSN11	2.60615538123219e-45	164.757078995672	-14.5455946125542	-5.21165372937953	leukocyte surface antigen CD53-like
LOC128207927	XRN2	5.88024900122414e-45	6834.27197214868	-14.4867527417123	-1.80704818747302	5'-3' exoribonuclease 2-like
LOC128229905	NA	1.28458417221973e-44	571.247688880855	-14.4319746211571	-7.66392322432404	uncharacterized LOC128229905
LOC128245377	NA	1.53401613797488e-44	981.19045539441	-14.4173184920189	-9.3071129723867	uncharacterized LOC128245377
LOC128215984	CHSTF	1.53401613797488e-44	383.83423312173	-14.4168350963477	-8.08105810859636	carbohydrate sulfotransferase 15-like
LOC128209778	SC5AC	1.53401613797488e-44	286.459490038897	-14.4186219653166	-7.94771785235579	sodium-coupled monocarboxylate transporter 2-like
LOC128235646	NA	1.83613336742338e-44	620.997370715627	-14.4034792225529	-9.33680678478767	uncharacterized LOC128235646
LOC128238491	GRIK2	4.73955462409563e-44	1140.17798883181	-14.3368750884313	-8.21668156713597	glutamate receptor ionotropic%2C kainate 2-like
LOC128214920	APOB	4.79648362550212e-44	457.988293093303	-14.3351267395039	-3.67283887089627	uncharacterized LOC128214920
LOC128234113	MDM4	5.33375281781321e-44	4290.20424375718	-14.3268459581128	-3.43070548523873	E3 ubiquitin-protein ligase Mdm2-like
LOC128231744	PPD	6.23228896138099e-44	684.900005240605	-14.3151301672939	-3.37440919602176	phosphonopyruvate decarboxylase-like
LOC128226495	SEM2A	7.17690866741618e-44	49871.4071530595	-14.3044295525276	-3.63119347531326	semaphorin-2A-like
LOC128222941	HMCN1	1.16395367245239e-43	1618.77801365331	-14.2695344931017	-3.7579266056726	hemicentin-1-like
LOC128236433	RPGR	5.25027562918575e-43	405.56966380454	-14.1593751197346	-3.42654236252512	X-linked retinitis pigmentosa GTPase regulator-like
LOC128218330	MEST	5.25027562918575e-43	867.231354250167	-14.1593468818012	-6.18207816840278	mesoderm-specific transcript protein-like
LOC128242222	TRIM1	8.22643564750711e-43	1752.48301628344	-14.1253369585992	-3.78690068797249	probable E3 ubiquitin-protein ligase MID2
LOC128228609	NA	1.53334101817508e-42	552.21868082911	-14.0806148660831	-8.89587105295922	uncharacterized LOC128228609
LOC128228251	NA	1.70084111402699e-42	331.075875055438	-14.0725054070475	-6.92944084233405	uncharacterized LOC128228251
LOC128231280	PI4KA	2.36045225990144e-42	5054.7134422392	-14.0485396011881	-2.93615915470354	phosphatidylinositol 4-kinase alpha-like
LOC128203311	NA	3.70814508389641e-42	179.500883631328	-14.0149859287134	-4.80734026977983	uncharacterized LOC128203311
LOC128232580	TYW1	7.83054748647576e-42	4064.59886147746	-13.9603173751941	-2.14337807912177	S-adenosyl-L-methionine-dependent tRNA 4-demethylwyosine synthase TYW1-like
LOC128229735	NA	8.26252792940476e-42	225.411886945845	-13.9557510394115	-6.74427954976352	uncharacterized LOC128229735
LOC128205613	ZMYD8	8.61423185374211e-41	8054.00991796315	-13.7847031856756	-2.92613378379122	protein kinase C-binding protein 1-like
LOC128232011	NA	8.86437143273431e-41	1280.23695503847	-13.7819261168282	-2.5920564340039	coiled-coil domain-containing protein 74A-like
LOC128208995	CO6A6	9.22270491843559e-41	686.50414380197	-13.7783609543715	-6.08313409696263	uncharacterized LOC128208995
LOC128207687	NA	1.10824085582086e-40	587.501730074562	-13.7643936675993	-8.82192948516878	uncharacterized LOC128207687
LOC128228469	NA	1.33816933492466e-40	345.873251774878	-13.750069019511	-3.00205326091191	uncharacterized LOC128228469
LOC128222844	C163B	3.3774175579501e-40	295.244010029959	-13.6802078626619	-8.9195892913454	deleted in malignant brain tumors 1 protein-like
LOC128228027	DDX49	7.98010920611689e-40	1940.01894815426	-13.6162153497473	-1.80595899794509	probable ATP-dependent RNA helicase DDX49
LOC128224627	RDH13	8.89214161862148e-40	444.390681663882	-13.6076521275051	-5.32262169965644	retinol dehydrogenase 13-like
LOC128211198	SPEF1	1.05073174741833e-39	676.774025846151	-13.5947961020186	-3.98045491123644	sperm flagellar protein 1-like
LOC128203587	EMAL	1.25161136264902e-39	133.425366788348	-13.58134488153	-7.61903165122688	echinoderm microtubule-associated protein-like 1
LOC128228995	NA	1.26919530519864e-39	150.006991965484	-13.5796833907674	-7.01178322312885	uncharacterized LOC128228995
LOC128244615	DYDC1	3.07907708552891e-39	183.820791527303	-13.5127193489428	-4.90983241141755	uncharacterized LOC128244615
LOC128224797	SC5A9	3.94237696757648e-39	941.411277497866	-13.4932765159306	-7.2197992477355	sodium/glucose cotransporter 4-like
LOC128228526	FA81B	4.89432404032952e-39	263.970324989333	-13.4761043144293	-7.12036871601575	protein FAM81A-like
LOC128237805	YRD6	6.4566485506269e-39	267.559587872239	-13.4550394854517	-9.1381899502693	uncharacterized protein K02A2.6-like
LOC128238716	CCND2	6.54827483115101e-39	27625.2241385368	-13.4533992670799	-4.47295364347078	G1/S-specific cyclin-D2-like
LOC128234578	NA	9.58201313808489e-39	166.628069437004	-13.4240419015565	-6.35706404163661	uncharacterized LOC128234578
LOC128231037	NA	1.11600529585414e-38	224.533056107801	-13.4121563162463	-4.79094576601197	uncharacterized LOC128231037
LOC128224527	CDIPT	1.27774003856015e-38	542.18160146702	-13.401535111928	-3.64414616767641	CDP-diacylglycerol--inositol 3-phosphatidyltransferase-like
LOC128208587	Y1760	1.42382228529662e-38	252.671818366854	-13.3929215200112	-5.2417080264728	probable G-protein coupled receptor 158
LOC128231301	GCY8E	1.84450578767321e-38	277.839269627581	-13.3731110209822	-7.28576374972087	soluble guanylate cyclase gcy-35-like
LOC128208359	PGBD4	1.89595179287023e-38	132.698103729706	-13.3704951450539	-6.44746905626877	piggyBac transposable element-derived protein 4-like
LOC128242694	NA	2.85352849936082e-38	119.881687373769	-13.3389221061549	-7.31774792235898	uncharacterized LOC128242694
LOC128228742	NA	3.03758632864382e-38	149.429947420532	-13.3337024847895	-7.28697703105509	uncharacterized LOC128228742
LOC128215600	SCUB1	3.79450178226655e-38	254.93840707273	-13.3165430757162	-8.87058627802272	proprotein convertase subtilisin/kexin type 5-like
