gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128243915	C1QL4	2.56803529933972e-22	327295.088182221	10.6922783468854	16.8752842752136	complement C1q-like protein 4
LOC128227558	NA	4.49001902584523e-13	254.490511359463	8.41682631726867	8.48887095813342	uncharacterized LOC128227558
LOC128209115	GGCT	2.38902195240577e-12	292.706459662533	8.13508948131784	7.94911597736288	gamma-glutamylcyclotransferase-like
LOC128243688	C1QL4	2.55470033924529e-12	4557.51369968308	8.09985966478385	10.159761200022	complement C1q-like protein 4
LOC128236780	NA	4.29539336228262e-12	812.981964137483	8.01402294715586	25.6694980849656	uncharacterized LOC128236780
LOC128237083	NA	1.1895805862838e-11	258.902940559181	7.86857856740168	23.1413987158909	uncharacterized LOC128237083
LOC128219995	NA	3.58058959264817e-11	115.94993295264	7.69744626448036	23.0610766535303	uncharacterized LOC128219995
LOC128234404	NA	5.09975425144699e-09	1664.59597385485	6.94688213976977	12.6654481902522	uncharacterized LOC128234404
LOC128236189	HMCN2	1.27136201689653e-08	237.808201412155	6.80856591518208	24.0610884178342	hemicentin-1-like
LOC128232096	HSPB1	1.52686947861502e-08	4111.30650941857	6.77435261807585	8.52194022427501	alpha-crystallin A chain-like
LOC128205597	VATH	2.17216200753218e-08	1253.01087617676	6.70860699579268	1.90484133637875	V-type proton ATPase subunit H-like
LOC128234192	HMCN2	6.17689078223705e-08	120.679471493271	6.54078476915396	23.1156581423554	hemicentin-1-like
LOC128237503	DGCR6	1.05006363912645e-07	175.224025008388	6.45452747142972	4.12047882991093	protein DGCR6-like
LOC128243530	LITD	1.10417549190981e-07	129.643537774917	6.43874301110918	9.9450273632089	uncharacterized LOC128243530
LOC128205438	PTPRA	1.10417549190981e-07	214.024596695314	6.43072540212717	5.95284916654529	receptor-type tyrosine-protein phosphatase mu-like
LOC128228283	FPGT	1.53236471446388e-07	63.2505641671135	6.36806978570643	3.7550160804566	fucose-1-phosphate guanylyltransferase-like
LOC128217404	WECH	1.58010598359596e-07	163.822947679665	6.35815451081326	5.35542533822715	uncharacterized LOC128217404
LOC128218511	NA	1.81973928600405e-07	54.2513545841514	6.32646796598546	22.0040574130153	uncharacterized LOC128218511
LOC128222415	PTPRS	1.81973928600405e-07	70.7711612206355	6.33019075449115	22.3726394894262	receptor-type tyrosine-protein phosphatase S-like
LOC128230923	NA	2.8374200782035e-07	41.7844682886886	6.248068240385	21.6397595792513	uncharacterized LOC128230923
LOC128241054	STAN	3.79060315723798e-07	34.8213693523307	6.1980998762583	21.3817736256448	cadherin-related hmr-1-like
LOC128219702	NA	3.8473202873156e-07	37.3074452707111	6.19132322446504	21.4764358830164	uncharacterized LOC128219702
LOC128209070	NA	4.2886123469005e-07	156.209831070151	6.16985700455479	5.1268094568275	uncharacterized LOC128209070
LOC128209160	CAF17	5.85562855992285e-07	68.9128906874601	6.11617313859405	7.18279734717983	putative transferase CAF17 homolog%2C mitochondrial
LOC128228729	HSPB1	6.21506549595931e-07	396.575382467284	6.10251870329103	5.85288939190997	heat shock protein 27-like
LOC128203243	EGFR	8.40631744323285e-07	101.083951764092	6.05000330874179	5.86232735207379	epidermal growth factor receptor-like
