gene	uniprot	padj	baseMean	stat	log2FoldChange	description
LOC128228576	PPBT	3.47271910809871e-159	8553.08468275221	-27.2300610748344	-6.08164211047936	alkaline phosphatase-like
LOC128228572	LACH	2.68623002978626e-135	17130.7744442831	-25.1160500270406	-8.67835619344694	lachesin-like
LOC128245507	DFP3	4.72108910525294e-91	1037.34983176195	-20.6413492183013	-8.08613958297901	uncharacterized LOC128245507
LOC128203148	NA	5.92367206970555e-88	2827.62332335328	-20.2860103828219	-5.75670413945544	uncharacterized LOC128203148
LOC128203775	FBX42	2.72166173105904e-84	3497.77979751679	-19.8491044134112	-4.57918744863915	F-box only protein 42-like
LOC128228346	FADD3	1.18220956535307e-70	694.406501630785	-18.1847059700126	-9.10602862732859	3-[(3aS%2C4S%2C7aS)-7a-methyl-1%2C5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase-like
LOC128224722	NA	5.49152038733043e-68	814.589325265221	-17.8373995033836	-6.22091055636526	protein psiQ-like
LOC128235081	HINFP	9.34922577555673e-67	3608.32865878171	-17.6716288199833	-4.32621413741883	histone H4 transcription factor-like
LOC128238542	MYPH	8.4659213674374e-66	4369.6340465334	-17.5409183692979	-5.01467071000041	myophilin-like
LOC128211508	NA	1.76392474373219e-64	2772.4072044972	-17.3647048491548	-8.56967869023604	isotocin receptor-like
LOC128223959	CCG7	5.50731953606856e-60	991.662883688739	-16.7498693847968	-12.1440379761817	epithelial membrane protein 2-like
LOC128222577	8ODP	2.34203767733461e-57	331.371109221677	-16.3789662102187	-6.95133451278378	oxidized purine nucleoside triphosphate hydrolase-like
LOC128245456	NA	2.70577799788117e-55	636.203894494125	-16.0853097053648	-11.129983894741	uncharacterized LOC128245456
LOC128218301	MET	9.46239601603167e-54	1977.25760030057	-15.8594711354326	-4.00932700661622	hepatocyte growth factor receptor-like
LOC128240186	VDR	2.52496137759749e-50	1569.08499790548	-15.3481801535586	-7.81945968546061	peroxisome proliferator-activated receptor gamma-like
LOC128221252	MIEN1	2.65394083927119e-47	1739.61568670544	-14.8862666890138	-3.59960828925332	migration and invasion enhancer 1-like
LOC128209018	NA	1.36190112473399e-46	1452.9630559872	-14.7729466741335	-11.1855447335709	uncharacterized LOC128209018
LOC128206074	NA	2.71084848992705e-46	374.419718499348	-14.7247760956758	-8.06994174826307	receptor-type tyrosine-protein phosphatase kappa-like
LOC128230299	KAPR	1.63110984667014e-45	238.790483060582	-14.5996300637503	-8.97800586114741	uncharacterized LOC128230299
LOC128241865	SACS	2.53033454328516e-45	482.261254396481	-14.5680556547097	-4.01426901698663	sacsin-like
LOC128214255	CENPW	3.4718991234438e-44	999.943694336316	-14.3848713042316	-5.15478774428771	centromere protein W-like
LOC128241411	FADD3	9.88987307608676e-44	312.679109634593	-14.3092409317624	-8.1625036446094	3-[(3aS%2C4S%2C7aS)-7a-methyl-1%2C5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase-like
LOC128229138	M130	1.23299267780184e-43	505.837835951403	-14.2924302221165	-4.71595460460585	uncharacterized LOC128229138
LOC128202808	GBP1	2.08972540123965e-43	887.563538892905	-14.2527976662729	-14.9043815752723	guanylate-binding protein 2-like
LOC128220593	EMSY	4.31183446540737e-41	9324.16684181609	-13.8689108069624	-4.74934847244777	BRCA2-interacting transcriptional repressor EMSY-like
LOC128213419	SCNNB	1.75784317338306e-40	175.684741962944	-13.7664342794238	-7.00864025242689	amiloride-sensitive sodium channel subunit beta-2-like
LOC128238294	NA	2.91309027318885e-40	817.961314965711	-13.7286017860861	-4.0807696589565	uncharacterized LOC128238294
LOC128217451	NA	2.29120966716828e-39	192.291864539386	-13.5745846212495	-8.03720687575298	uncharacterized LOC128217451
LOC128245458	NA	8.04693574934513e-39	318.000654896156	-13.4810071509672	-10.7199164209477	uncharacterized protein CXorf38 homolog
LOC128216449	GST3	1.40361616556144e-38	807.028449863864	-13.4386964004647	-7.71253827780037	glutathione S-transferase 3-like
LOC128221423	PRSS8	1.07244529480558e-37	490.098303545002	-13.2815572391289	-14.047602852926	chymotrypsin B-like
LOC128236176	ELDP1	3.97188820150236e-37	279.210055133699	-13.180947365828	-10.536467463689	EGF-like domain-containing protein 1
LOC128208805	LLR1	4.23300492753946e-36	1641.04928367913	-12.9969210613505	-4.00087906516049	leucine-rich repeat protein 1-like
LOC128237281	NA	6.76040992673012e-36	669.741113613306	-12.9579705209965	-4.21727245713542	uncharacterized LOC128237281
LOC128234985	NA	7.22759373278952e-36	1951.13730632169	-12.9518394890632	-5.29046345943974	uncharacterized LOC128234985
